＠|＠|＠|＠|＠|＠|＠|			//幼獣ガオ
True Form evolution gains increased|Defense, Move Speed, and Attack Power!|Plus, gains the Immune to Slow ability!|＠|True Form evolution gains increased|Defense, Move Speed, and Attack Power!|Plus, gains the Immune to Slow ability!|			//狂乱のユキ
True Form gains improved attack power!|＠|＠|＠|True Form gains improved attack power!|＠|＠|			//太陽神アマテラス
True Form evolution gains improved|defense! Plus, attack power gained|after taking damage is increased!|＠|True Form evolution gains improved|defense! Plus, attack power gained|after taking damage is increased!|			//繁栄神ガネーシャ
＠|＠|＠|＠|＠|＠|＠|			//チアにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//トロピカルカリファ
True form evolution adds 100% chance|of Knockback and Slow vs Angels/Black!|Also immune to Waves!|＠|True form evolution adds 100% chance|of Knockback and Slow vs Angels/Black!|Also immune to Waves!|			//真夏のホワイトラビット
True Form gains improved|attack power!|＠|＠|True Form gains improved|attack power!|＠|			//夏色ねねこ
＠|＠|＠|＠|＠|＠|＠|			//なめこ
＠|＠|＠|＠|＠|＠|＠|			//なめこタンク
＠|＠|＠|＠|＠|＠|＠|			//白ネコなめこ
＠|＠|＠|＠|＠|＠|＠|			//要塞なめこ
＠|＠|＠|＠|＠|＠|＠|			//ふてニャン
True Form evolution increases Attack and|Defense! Also gains Behemoth Slayer!|＠|＠|True Form evolution increases Attack and|Defense! Also gains Behemoth Slayer!|＠|			//ネコ阿波踊り
True Form Evolution gains increased|attack speed. Plus, gains even tougher|defense against Red enemies!|＠|True Form Evolution gains increased|attack speed. Plus, gains even tougher|defense against Red enemies!|			//猫飯拳パイパイ
＠|＠|＠|＠|＠|＠|＠|			//ネコ特急
＠|＠|＠|＠|＠|＠|＠|			//狂乱の小籠包にゃんこ
True Form Evolution gains improved attack|speed, and defense versus Floating enemies|is improved from Tough to Insanely Tough!|＠|True Form Evolution gains improved attack|speed, and defense versus Floating enemies|is improved from Tough to Insanely Tough!|			//閃雷機兵レイ
＠|＠|＠|＠|＠|＠|＠|			//ネコ球児
True Form evolution deals Massive |damage to Floating, Zombies and Relics.|Also immune to Curses!|＠|True Form evolution deals Massive |damage to Floating, Zombies and Relics.|Also immune to Curses!|//鹿目まどか
True Form evolution is Strong vs. Red,|Black and Aku enemies! Also gains|Long-range Area attacks!|＠|True Form evolution is Strong vs. Red,|Black and Aku enemies! Also gains|Long-range Area attacks!|//暁美ほむら
＠|＠|＠|＠|＠|＠|＠|			//美樹さやか
＠|＠|＠|＠|＠|＠|＠|			//巴マミ
＠|＠|＠|＠|＠|＠|＠|			//佐倉杏子
＠|＠|＠|＠|＠|＠|＠|			//キュゥべえ
＠|＠|＠|＠|＠|＠|＠|			//ネコまどか
＠|＠|＠|＠|＠|＠|＠|			//ネコほむら
＠|＠|＠|＠|＠|＠|＠|			//ネコさやか
＠|＠|＠|＠|＠|＠|＠|			//ネコマミ
＠|＠|＠|＠|＠|＠|＠|			//ネコ杏子
＠|＠|＠|＠|＠|＠|＠|			//ちびまどか
＠|＠|＠|＠|＠|＠|＠|			//ちびほむら
＠|＠|＠|＠|＠|＠|＠|			//ネコキュゥべえ
True Form evolution improves|attack power and range! Plus,|gains the ability to Freeze Aku.|＠|True Form gains improved|attack power and range! Plus,|gains the ability to Freeze Aku.|			//ネコアイスゴースト
＠|＠|＠|＠|＠|＠|＠|			//ネコ屋台
True Form evolution improves attack|distance and attack area range!|＠|＠|Ultra Form gains improved attack power!|Resists Zombies and Relics, and gains|the ability to 100% Weaken enemies.|//帝国陸軍カタパルズ
True Form evolution improves|attack speed!|＠|＠|Ultra Form gains reduced deploy cooldown!|Improved Defense, atk. speed/range!|Also gains immunity to Knockback!|			//古代軍船ガレーズ
True Form evolution improves|defense and knockback rate!|＠|＠|Gains improved defense and Omnistrike,|Explosive attacks and Sage Slayer!|Also gains Immunity to Explosions!|			//飛空襲撃ボンバーズ
True form greatly increases defense and|movement speed! Plus, Slow effects against|Zombies will last for longer!|＠|True form greatly increases defense and|movement speed! Plus, Slow effects against|Zombies will last for longer!|			//ネコジャンパー
True form greatly increases defense!|Attack range also improves, and|freeze time versus zombies increases!|＠|True form greatly increases defense!|Attack range also improves, and|freeze time versus zombies increases!|			//ネコバサミ
＠|＠|＠|＠|＠|＠|＠|			//ネコ博士
True Form evolution gains improved|Defense, plus Knockback and |Slow vs Aku enemies!|＠|True Form evolution gains improved|Defense, plus Knockback and |Slow vs Aku enemies!|			//ネコナースキャンドル
＠|＠|＠|＠|＠|＠|＠|			//ちびネコフィッシュ
＠|＠|＠|＠|＠|＠|＠|			//ちびネコトカゲ
＠|＠|＠|＠|＠|＠|＠|			//ちび巨神ネコ
True Form evolution increases|number of attacks, and decreases|cooldown time after deployments!|＠|True Form evolution increases|number of attacks, and decreases|cooldown time after deployments!|			//大掃除ねねこ
＠|＠|＠|＠|＠|＠|＠|			//ピコ太郎
True Form evolution gains improved|defense, move speed, and attack power!|＠|＠|True Form evolution gains improved|defense, move speed, and attack power!|＠|			//海王神ポセイドン
＠|＠|＠|＠|＠|＠|＠|			//CPAC
＠|＠|＠|＠|＠|＠|＠|			//巫女姫ミタマ
True Form evolution gains greatly improved |abilities and Behemoth Slayer.|＠|＠|True Form evolution gains greatly improved |abilities and Behemoth Slayer.|＠|			//殺意のネコ
＠|＠|＠|＠|＠|＠|＠|			//三原慧悟
＠|＠|＠|＠|＠|＠|＠|			//ナゾウサギ
True Form evolution gains improved|defense and attack speed! Plus, gains|immunity to enemy Weaken effects.|＠|True Form evolution gains improved|defense and attack speed! Plus, gains|immunity to enemy Weaken effects.|			//さるかに合戦
True Form evolution gains improved attack|power and defense. Plus, becomes immune |to Curses and might Freeze Relic enemies|＠|True Form evolution gains improved attack|power and defense. Plus, becomes immune |to Curses and might Freeze Relic enemies|			//宮木武蔵
＠|＠|＠|＠|＠|＠|＠|			//ネコストーン
True Form evolution gains improved defense.|Plus, attack range also improves!|＠|＠|True Form evolution gains improved defense.|Plus, attack range also improves!|＠|			//ネコボクサー
＠|＠|＠|＠|＠|＠|＠|			//メビウス
＠|＠|＠|＠|＠|＠|＠|			//ベリアル
＠|＠|＠|＠|＠|＠|＠|			//ハッピー
＠|＠|＠|＠|＠|＠|＠|			//ネコエッグ
True Form evolution gains|Colossus Slayer and Immunity|to enemy Weaken attacks.|＠|True Form evolution gains|Colossus Slayer and Immunity|to enemy Weaken attacks.|			//上杉謙信・春
True Form evolution only attacks Red|and Aku enemies, but gains Immunity|to enemy Toxic and Surge attacks.|＠|True Form evolution only attacks Red|and Aku enemies, but gains Immunity|to enemy Toxic and Surge attacks.|			//道化師エッグダック
True Form evolution gains the|ability to inflict various negative status|effects against Metal enemies.|＠|True Form evolution gains the|ability to inflict various negative status|effects against Metal enemies.|			//イースターねねこ
＠|＠|＠|＠|＠|＠|＠|			//黒獣ガオウ
True Form evolution improves all stats!|Plus, Floating and Angel enemies are|slowed for longer period of time!|＠|True Form evolution improves all stats!|Plus, Floating and Angel enemies are|slowed for longer period of time!|			//狐娘ヒメユリ
True Form evolution gains improved attack|power and defense! Plus, Red enemies are|weakened for an even longer time!|＠|True Form evolution gains improved attack|power and defense! Plus, Red enemies are|weakened for an even longer time!|			//人魚娘ルリィ
True form gains improved attack speed|and number of pushbacks against enemies.|＠|＠|True form gains improved attack speed|and number of pushbacks against enemies.|＠|			//ミイラ娘レイカ
True Form evolution gains improved|defense, move speed and attack!|＠|＠|True Form evolution increases|defense, move speed and attack!|＠|			//プリンセスケリ姫号
True Form evolution gains improved defense|and attack range. Plus, weakens Black|enemies for longer lengths of time.|＠|True Form evolution gains improved defense|and attack range. Plus, weakens Black|enemies for longer lengths of time.|			//今川義元
＠|＠|＠|＠|＠|＠|＠|			//にゃんこ城壁ユニット
＠|＠|＠|＠|＠|＠|＠|			//赤髪のゆきにゃん
True Form evolution increases Defense and|Attack Power! Gains immunity to Knockback|and the Barrier Breaker ability!|＠|True Form evolution increases Defense and|Attack Power! Gains immunity to Knockback|and the Barrier Breaker ability!|			//失われし世界のユキ
＠|＠|＠|＠|＠|＠|＠|			//ネコまねき
＠|＠|＠|＠|＠|＠|＠|			//なめネコ
True Form evolution gets|improvements to all stats.|＠|＠|True Form evolution gets|improvements to all stats.|＠|//オルトス
True Form evolution gains improved|defense and attack power! Attack speed is|slowed, but gains 100% Freeze vs Floating.|＠|True Form evolution gains improved|defense and attack power! Attack speed is|slowed, but gains 100% Freeze vs Floating.|//ミシェリア
＠|＠|＠|＠|＠|＠|＠|			//とどめき
＠|＠|＠|＠|＠|＠|＠|			//ぐでたまにゃんこ
＠|＠|＠|＠|＠|＠|＠|			//ぐでたまプレート
＠|＠|＠|＠|＠|＠|＠|			//ぐでぐでプリン
＠|＠|＠|＠|＠|＠|＠|			//ニセたま軍団
True Form evolution has shorter recovery|after deployment. Attack power and move|speed increases, plus immune to Weaken.|＠|True Form evolution has shorter recovery|after deployment. Attack power and move|speed increases, plus immune to Weaken.|			//双掌星のシシル＆コマリ
＠|＠|＠|＠|＠|＠|＠|			//ネコ仙人
＠|＠|＠|＠|＠|＠|＠|			//チョコレート
＠|＠|＠|＠|＠|＠|＠|			//常夏の果実カイ
True Form evolution gains improved|attack power and Omnistrike!|＠|＠|True Form evolution gains improved|attack power and Omnistrike!|＠|			//観測兵器ガリレオ
＠|＠|＠|＠|＠|＠|＠|			//ノラ
True form gains improved attack speed!|＠|＠|＠|True form gains improved attack speed!|＠|＠|			//狼娘ディル
True form evolution gains improved Defense!|Critical chance is also increased!|＠|＠|True form evolution gains improved Defense!|Critical chance is also increased!|＠|			//ゾンビ娘ヴェルヴェーヌ
True Form evolution increases|attack power and defense!|＠|＠|Ultra Form evolution gains improved|defense, attack power, movement speed,|attack range, and Weaken vs. Aliens!|//火の精霊メララ
True Form evolution improves|attack power and defense!|＠|＠|True Form evolution improves|attack power and defense!|＠|			//水の精霊ミズリィ
True Form evolution improves|attack power and defense!|＠|＠|Ultra Form gains increased defense and|a wider attack range with longer reach!|Plus, gains Knockback vs. Aliens!|＠|//風の精霊エアル
True Form evolution increases attack,|defense and attack range!|＠|＠|True Form evolution increases attack,|defense and attack range!|＠|			//セイバー
＠|＠|＠|＠|＠|＠|＠|			//遠坂　凛
＠|＠|＠|＠|＠|＠|＠|			//イリヤスフィール
＠|＠|＠|＠|＠|＠|＠|			//アーチャー
＠|＠|＠|＠|＠|＠|＠|			//ランサー
＠|＠|＠|＠|＠|＠|＠|			//ライダー
＠|＠|＠|＠|＠|＠|＠|			//ギルガメッシュ
＠|＠|＠|＠|＠|＠|＠|			//ネコセイバー
True Form evolution gains improved|defense and a chance to|knockback Metal enemies.|＠|True Form evolution gains improved|defense and a chance to|knockback Metal enemies.|			//ネコ桜
＠|＠|＠|＠|＠|＠|＠|			//ネコ凛
＠|＠|＠|＠|＠|＠|＠|			//ネコイリヤ
＠|＠|＠|＠|＠|＠|＠|			//ちび士郎
＠|＠|＠|＠|＠|＠|＠|			//ちび桜
＠|＠|＠|＠|＠|＠|＠|			//記念ねこ
True Form gains a boost in all stats!|Plus, becomes immune to enemy|Weaken and Slow abilities!|＠|True Form gains a boost in all stats!|Plus, becomes immune to enemy|Weaken and Slow abilities!|			//ネコ探査機
True Form evolution gains improved|defense, attack power, and attack speed.|Plus, attack warm-up completes faster.|＠|True Form evolution gains improved|defense, attack power, and attack speed.|Plus, attack warm-up completes faster.|			//ネコフェンシング
＠|＠|＠|＠|＠|＠|＠|			//黒無垢のミタマ
＠|＠|＠|＠|＠|＠|＠|			//ネコバレー
＠|＠|＠|＠|＠|＠|＠|			//幼傑ダルターニャ
＠|＠|＠|＠|＠|＠|＠|			//ねこ農家
＠|＠|＠|＠|＠|＠|＠|			//ガラスネコ
＠|＠|＠|＠|＠|＠|＠|			//謎仮面のウララー
＠|＠|＠|＠|＠|＠|＠|			//氷上聡里＆ネコ
＠|＠|＠|＠|＠|＠|＠|			//矢部明雄
＠|＠|＠|＠|＠|＠|＠|			//虹谷彩理
＠|＠|＠|＠|＠|＠|＠|			//紺野美崎
＠|＠|＠|＠|＠|＠|＠|			//片桐恋
＠|＠|＠|＠|＠|＠|＠|			//猫塚かりん
True Form evolution has slower attack|rate but greatly increased attack area!|Plus, able to attack at even longer ranges.|＠|True Form evolution has slower attack|rate but greatly increased attack area!|Plus, able to attack at even longer ranges.|			//早川あおい
True Form evolution gains greatly|increased attack speed and area!|＠|＠|True Form evolution gains greatly|increased attack speed and area!|＠|			//橘みずき
True Form evolution increases|defense and attack range!|Plus, gains area attack!|＠|True Form evolution increases|defense and attack range!|Plus, gains area attack!|			//六道聖
True Form evolution greatly increases  |attack power/speed and defense!|Plus, becomes immune to slow effects!|＠|True Form evolution greatly increases  |attack power/speed and defense!|Plus, becomes immune to slow effects!|			//新島早紀
True Form evolution has a slower attack|rate but gains increased defense, attack|power and attack range!|＠|True Form evolution has a slower attack|rate but gains increased defense, attack|power and attack range!|			//星井スバル
True Form evolution greatly increases|attack power and defense!|Plus, becomes Immune to Waves!|＠|True Form evolution greatly increases|attack power and defense!|Plus, becomes Immune to Waves!|			//小山雅
True Form evolution gains improved|defense and pushbacks against enemies!|＠|＠|True Form evolution gains improved|defense and pushbacks against enemies!|＠|			//古龍ガングリオン
True Form Evolution gains|Insanely Tough defense|against Metal enemies!|＠|Ultra Form evolution gains Omnistrike,|improved Defense, Attack and Critical chance!|Also increased debuff time vs. Metal enemies.|			//風隼さくら
＠|＠|＠|＠|＠|＠|＠|			//ハニトンくん
＠|＠|＠|＠|＠|＠|＠|			//めんトリ
＠|＠|＠|＠|＠|＠|＠|			//イモウト
True Form evolution gains improved|defense and attack. Plus, increased|length of Freeze effect vs Alien enemies!|＠|True Form evolution gains improved|defense and attack. Plus, increased|length of Freeze effect vs Alien enemies!|			//雷の精霊ボルト
＠|＠|＠|＠|＠|＠|＠|			//ちび碇シンジとネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコゲンドウ＆ネコ冬月
＠|＠|＠|＠|＠|＠|＠|			//ネコキリン(エヴァヘッド)
＠|＠|＠|＠|＠|＠|＠|			//ちび渚カヲルとネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコレイ
＠|＠|＠|＠|＠|＠|＠|			//ネコアスカ
＠|＠|＠|＠|＠|＠|＠|			//ネコマリ
True Form gains increased defense!|Also becomes Strong against Angels and|a chance to Dodge attacks!|＠|True Form gains increased defense!|Also becomes Strong against Angels and|a chance to Dodge attacks!|			//ちび綾波レイとネコ
True Form evolution gains improved|defense and attack. Plus, gains chance|of knockback vs. Red enemies!|＠|True Form evolution gains improved|defense and attack. Plus, gains chance|of knockback vs. Red enemies!|			//ちび式波・アスカとネコ
＠|＠|＠|＠|＠|＠|＠|			//ちび真希波・マリとネコ
＠|＠|＠|＠|＠|＠|＠|			//エヴァ零号機
True Form gains Mini-Surge!|Survives a lethal blow and atk power|boost after taking damage increased!|＠|True Form gains Mini-Surge!|Survives a lethal blow and atk power|boost after taking damage increased!|			//エヴァ初号機
True Form evolution gains improved attack |rate. Plus, attack buildup is shorter, and|gets more powerful after taking damage!|＠|True Form evolution gains improved attack |rate. Plus, attack buildup is shorter, and|gets more powerful after taking damage!|			//エヴァ２号機
＠|＠|＠|＠|＠|＠|＠|			//ネコシンジ
＠|＠|＠|＠|＠|＠|＠|			//ゼロムーンオペレーターズ
True Form evolution gains improved attack!|＠|＠|＠|True Form evolution gains improved attack!|＠|＠|			//温泉天国テルマエ
＠|＠|＠|＠|＠|＠|＠|			//狂乱のもねこ
＠|＠|＠|＠|＠|＠|＠|			//ポコタ
＠|＠|＠|＠|＠|＠|＠|			//オビス
＠|＠|＠|＠|＠|＠|＠|			//ココ
＠|＠|＠|＠|＠|＠|＠|			//太秦萌＆ネコ
＠|＠|＠|＠|＠|＠|＠|			//松賀咲＆ネコ
＠|＠|＠|＠|＠|＠|＠|			//小野ミサ＆ネコ
＠|＠|＠|＠|＠|＠|＠|			//太秦麗＆ネコ
True Form evolution gains improved attack|power and defense. Plus, immune to |Curses, and Strong against Relic enemies.|＠|True Form evolution gains improved attack|power and defense. Plus, immune to |Curses, and Strong against Relic enemies.|			//ぶんぶんネコライダー
True form improves defense and even|longer debuff effects. Weakens Relics,|and gains immunity to Curses.|＠|True form improves defense and even|longer debuff effects. Weakens Relics,|and gains immunity to Curses.|			//ネコクエスト
＠|＠|＠|＠|＠|＠|＠|			//そうまにゃん
＠|＠|＠|＠|＠|＠|＠|			//オタネコギーク
＠|＠|＠|＠|＠|＠|＠|			//ぐでたまネコマシン
True form gains improved attack speed!|Plus, gains 100% chance of Freeze|and Strong vs Zombie enemies.||Ultra Form evolution gains improved abilities!|Gains Sage Slayer and Immunity to Waves,|while its Wave attacks reach farther.|//亡者探偵ヴィグラー
＠|＠|＠|＠|＠|＠|＠|			//ベタックマ
＠|＠|＠|＠|＠|＠|＠|			//ネコックマ
＠|＠|＠|＠|＠|＠|＠|			//白にゃんこ剣士
＠|＠|＠|＠|＠|＠|＠|			//ちびネコヴァルキリー
True Form evolution has deploy cost halved!|Recovery time after deploy also reduced!|＠|＠|True Form evolution has deploy cost halved!|Recovery time after deploy also reduced!|＠|			//ノビルガ
Y'know, I'm kinda thinkin' about evolving |myself. But I don't think anything but a |Gold Catfruit will do. Maybe try the Shrine?|＠|Y'know, I'm kinda thinkin' about evolving |myself. But I don't think anything but a |Gold Catfruit will do. Maybe try the Shrine?|			//激・神さま
＠|＠|＠|＠|＠|＠|＠|			//灼熱のビーチクウ
True Form evolution gains improved|defense and attack power! Plus,|gains immunity to enemy Warp effects!|＠|True Form evolution gains improved|defense and attack power! Plus,|gains immunity to enemy Warp effects!|			//時空神クロノス
True Form evolution gains improved|attack power! Also can Dodge attacks|and gains the Barrier Break ability!|＠|True Form evolution gains improved|attack power! Also can Dodge attacks|and gains the Barrier Break ability!|//ベベ
＠|＠|＠|＠|＠|＠|＠|			//黒ダルターニャ
＠|＠|＠|＠|＠|＠|＠|			//子連れにゃんこ
True form evolution gains faster|attack speed, and the Strong|ability vs Traitless enemies!|＠|True form evolution gains faster|attack speed, and the Strong|ability vs Traitless enemies!|			//戦隊ドリラ
True form evolution gains increased|Attack power, and also shortened|cooldown time between deployments!|＠|True form evolution gains increased|Attack power, and also shortened|cooldown time between deployments!|			//戦隊ウチコンガ
True form evolution gains|increased Attack power, and|Immunity to Waves!|＠|True form evolution gains|increased Attack power, and|Immunity to Waves!|			//戦隊チョキンドス
True form evolution gains|Surge Attack abilities!|＠|＠|True form evolution gains|Surge Attack abilities!|＠|			//戦隊ショベリン
True form evolution increases|Defense & Attack power, and|gains Barrier Breaker abilities!|＠|True form evolution increases|Defense & Attack power, and|gains Barrier Breaker abilities!|			//戦隊チャッソ
True Form evolution gains increased|Vitality and attack power! Gains Colossus|Slayer, Slows, and immunity to Weaken!|＠|True Form evolution gains increased|Vitality and attack power! Gains Colossus|Slayer, Slows, and immunity to Weaken!|			//宮本武蔵
＠|＠|＠|＠|＠|＠|＠|			//聖会長ジャンヌダルク
True Form evolution gains increased defense!|Also gains immunity to Knockback and Toxic,|and gains Colossus Slayer!|＠|True Form evolution gains increased defense!|Also gains immunity to Knockback and Toxic,|and gains Colossus Slayer!|			//天城龍バベル
＠|＠|＠|＠|＠|＠|＠|			//うしわか丸
＠|＠|＠|＠|＠|＠|＠|			//古代ネコ
＠|＠|＠|＠|＠|＠|＠|			//きたろう
＠|＠|＠|＠|＠|＠|＠|			//目玉おやじ
＠|＠|＠|＠|＠|＠|＠|			//ワンダー・モモコ
True Form gains increased Attack Speed!|Also gains Soulstrike and immunity|to Freeze attacks!|＠|True Form gains increased Attack Speed!|Also gains Soulstrike and immunity|to Freeze attacks!|			//間桐 桜
＠|＠|＠|＠|＠|＠|＠|			//ネコ士郎
＠|＠|＠|＠|＠|＠|＠|			//アーチャーネコ
＠|＠|＠|＠|＠|＠|＠|			//ネコライダー
＠|＠|＠|＠|＠|＠|＠|			//ネコ言峰＆ネコギルガメッシュ
＠|＠|＠|＠|＠|＠|＠|			//レジェルガ
True Form evolution improves all traits!|Also gains 100% chance to Freeze Relics!|＠|＠|True Form evolution improves all traits!|Also gains 100% chance to Freeze Relics!|＠|			//フィリバスターX
＠|＠|＠|＠|＠|＠|＠|			//終末兵器ムー
True Form evolution improves all traits!|Also gains Colossus Slayer and|Behemoth Slayer!|＠|True Form evolution improves all traits!|Also gains Colossus Slayer and|Behemoth Slayer!|			//土偶戦士ドグ丸
＠|＠|＠|＠|＠|＠|＠|			//465
＠|＠|＠|＠|＠|＠|＠|			//ブラックゼウス
True Form evolution gains tougher|defense and longer Weaken time|against Traited enemies!|＠|True Form evolution gains tougher|defense and longer Weaken time|against Traited enemies!|			//スーパーゼウス
True Form evolution gains big changes|to its abilities, including Strong vs|Floating, Alien and Black enemies!|＠|True Form evolution gains big changes|to its abilities, including Strong vs|Floating, Alien and Black enemies!|			//聖フェニックス
True Form evolution gains improved|defense and knock-back rate!|Plus, faster movement speed!|＠|True Form evolution gains improved|defense and knock-back rate!|Plus, faster movement speed!|			//スーパーデビル
＠|＠|＠|＠|＠|＠|＠|			//サタンマリア
|||＠||||//ヘラクライスト
||＠|＠|||＠|//ネロ魔身
＠|＠|＠|＠|＠|＠|＠|			//ヤマト王子
＠|＠|＠|＠|＠|＠|＠|			//十字架天使
＠|＠|＠|＠|＠|＠|＠|			//ネコ若神子
＠|＠|＠|＠|＠|＠|＠|			//ネコデビル
＠|＠|＠|＠|＠|＠|＠|			//ネコの助
＠|＠|＠|＠|＠|＠|＠|			//幻の精霊ルミナ
＠|＠|＠|＠|＠|＠|＠|			//グミネコ
＠|＠|＠|＠|＠|＠|＠|			//ねこ娘
＠|＠|＠|＠|＠|＠|＠|			//超越科学者ヘヴン博士
True Form evolution gains|guaranteed Slow against Floating enemies|and gains the Weaken ability!|＠|True Form evolution gains|guaranteed Slow against Floating enemies|and gains the Weaken ability!|			//幸せを願った少年ソウマ
＠|＠|＠|＠|＠|＠|＠|			//カノとソウマ
＠|＠|＠|＠|＠|＠|＠|			//黒ちびヴァルキリー
＠|＠|＠|＠|＠|＠|＠|			//カレット
＠|＠|＠|＠|＠|＠|＠|			//娘剣士（ひな）
＠|＠|＠|＠|＠|＠|＠|			//エヴァ8号機
True Form evolution increases|Defense, move speed, and attack speed!|Plus, becomes immune to slow effects!|＠|True Form evolution increases|Defense, move speed, and attack speed!|Plus, becomes immune to slow effects!|			//空中艦艇ネコヴンダー
＠|＠|＠|＠|＠|＠|＠|			//ちびミサト
＠|＠|＠|＠|＠|＠|＠|			//ちびリツコ
＠|＠|＠|＠|＠|＠|＠|			//ちびアヤナミレイ(仮称)
＠|＠|＠|＠|＠|＠|＠|			//492
＠|＠|＠|＠|＠|＠|＠|			//創造神ガイア
＠|＠|＠|＠|＠|＠|＠|			//潮風のセーラーカッパー
True Form evolution gains tougher defense!|Plus, faster movement speed!|＠|＠|True Form evolution gains tougher defense!|Plus, faster movement speed!|＠|			//ネコ闘牛士
True Form evolution greatly increases |Defense! Plus, chance of Savage Blows| will also increase!|＠|True Form evolution greatly increases |Defense! Plus, chance of Savage Blows| will also increase!|			//甲斐姫
＠|＠|＠|＠|＠|＠|＠|			//497
＠|＠|＠|＠|＠|＠|＠|			//498
＠|＠|＠|＠|＠|＠|＠|			//499
＠|＠|＠|＠|＠|＠|＠|			//500
＠|＠|＠|＠|＠|＠|＠|			//ネコブラザーズS
True Form evolution gains hugely improved|defense and a wider Wave Attack area!|＠|＠|True Form evolution gains hugely improved|defense and a wider Wave Attack area!|＠|			//英雄令嬢メルシュ
＠|＠|＠|＠|＠|＠|＠|			//ネコ２Ｄ
＠|＠|＠|＠|＠|＠|＠|			//おやじネコ(店主)
True Form evolution gains improved|defense. Plus, gains 100% Knockback|and Slow vs Traitless enemies!|＠|True Form evolution gains improved|defense. Plus, gains 100% Knockback|and Slow vs Traitless enemies!|			//エンペラーズ8体目
True Form gains Wave Attack!|＠|＠|＠|True Form gains Wave Attack!|＠|＠|			//アイウォルツ
＠|＠|＠|＠|＠|＠|＠|			//スーパーにゃん
＠|＠|＠|＠|＠|＠|＠|			//ネコリュウ
＠|＠|＠|＠|＠|＠|＠|			//ネコ春麗
＠|＠|＠|＠|＠|＠|＠|			//豪鬼
True Form Evolution gains increased|chance of Savage Blow, with stronger|attacks after taking damage!|＠|True Form Evolution gains increased|chance of Savage Blow, with stronger|attacks after taking damage!|			//リュウ
＠|＠|＠|＠|＠|＠|＠|			//春麗
＠|＠|＠|＠|＠|＠|＠|			//ガイル
＠|＠|＠|＠|＠|＠|＠|			//ザンギエフ
＠|＠|＠|＠|＠|＠|＠|			//ブランカ
＠|＠|＠|＠|＠|＠|＠|			//ダルシム
＠|＠|＠|＠|＠|＠|＠|			//ケン
＠|＠|＠|＠|＠|＠|＠|			//ゴウキリン
True form evolution increases Defense &|Attack power, plus improved Strengthen|and immunity to Toxic and Surge Attacks!|＠|True form evolution increases Defense &|Attack power, plus improved Strengthen|and immunity to Toxic and Surge Attacks!|			//ラスヴォース
＠|＠|＠|＠|＠|＠|＠|			//ネコ七福神
＠|＠|＠|＠|＠|＠|＠|			//ネコメデューサ
True Form evolution gains improved|defense and Knockback vs Aku.|＠|＠|True Form evolution gains improved|defense and Knockback vs Aku.|＠|			//泉のネコ女神
True Form evolution gains improved|defense and Immunity to Slow!|＠|＠|True Form evolution gains improved|defense and Immunity to Slow!|＠|			//ネコ武闘家
＠|＠|＠|＠|＠|＠|＠|			//ソラカラちゃん
True Form evolution gains improved Defense|& Attack, plus Curse attack vs. Angels!|＠|＠|True Form evolution gains improved Defense|& Attack, plus Curse attack vs. Angels!|＠|			//きんたろう
＠|＠|＠|＠|＠|＠|＠|			//冬天使のシシル＆コマリ
＠|＠|＠|＠|＠|＠|＠|			//ネコスライム
＠|＠|＠|＠|＠|＠|＠|			//ネコサック
＠|＠|＠|＠|＠|＠|＠|			//厄災の子キャスリィ
＠|＠|＠|＠|＠|＠|＠|			//エルメ
＠|＠|＠|＠|＠|＠|＠|			//ネコックマ
True Form evolution gains increased|defense, attack range, and attack!|Gains Colossus/Behemoth Slayer!|＠|True Form evolution gains increased|defense, attack range, and attack!|Gains Colossus/Behemoth Slayer!|			//フェンリルとウルス
True Form evolution can only attack|Alien/Relic enemies, but gains Immunity|to Curses that block allied abilities!|＠|True Form evolution can only attack|Alien/Relic enemies, but gains Immunity|to Curses that block allied abilities!|			//マッドシューター・サキ
True Form evolution gains|immunity to Slow and Knockback|effects from enemy attacks!|＠|True Form evolution gains|immunity to Slow and Knockback|effects from enemy attacks!|			//冥界神ハデス
＠|＠|＠|＠|＠|＠|＠|			//初音ミク
＠|＠|＠|＠|＠|＠|＠|			//桜ミク
＠|＠|＠|＠|＠|＠|＠|			//鏡音リン＆鏡音レン
＠|＠|＠|＠|＠|＠|＠|			//ネコミク
＠|＠|＠|＠|＠|＠|＠|			//ラグビー（仮）
＠|＠|＠|＠|＠|＠|＠|			//日清コラボネコUFO
＠|＠|＠|＠|＠|＠|＠|			//うまい太い大きいネコ
＠|＠|＠|＠|＠|＠|＠|			//ねこせんせい
＠|＠|＠|＠|＠|＠|＠|			//黒キャスリィ
＠|＠|＠|＠|＠|＠|＠|			//京坂七穂
＠|＠|＠|＠|＠|＠|＠|			//新ドロップキャラ
True Form evolution gains improved Defense!|Plus. Curse effect lasts longer, and|gains Immunity to Surge Attacks!|＠|True Form evolution gains improved Defense!|Plus. Curse effect lasts longer, and|gains Immunity to Surge Attacks!|			//オイルガ
＠|＠|＠|＠|＠|＠|＠|			//547
＠|＠|＠|＠|＠|＠|＠|			//548
＠|＠|＠|＠|＠|＠|＠|			//549
＠|＠|＠|＠|＠|＠|＠|			//550
＠|＠|＠|＠|＠|＠|＠|			//551
