%s|Un tenero shiba, rivale dei Battle Cats.|Quest'anno vuole andare all'università.|Molto premuroso, manda regali|di compleanno al Gatto ogni anno.|
%s|Usa gli acquerelli per il body painting.|Quindi... non resiste molto all'acqua.|Questa informazione non ha niente a|che fare con il gioco.|
%s|Un gruppo di bulli a cui piace coalizzarsi.|Si sono conosciuti su internet.|Stranamente|sono tutti molto ricchi.|
%s|Questo pericoloso ippopotamo|ha fiducia nella sua potenza e resistenza.|Lui/lei ha una capacità di multi attacco.|Non sappiamo se sia un lui o una lei.|
%s (Rosso)|Ama farsi le lampade,|ecco perché ha la pelle rossa.|Nato in un allevamento bio all'aperto.|Sapevi che i maiali amano la pulizia?|
%s|Adora guardare i film di kung-fu,|sogna di sfondare a Hollywood.|Usa un kung-fu da autodidatta.||
%s|È riuscito a farsi cacciare dallo zoo|per la sua faccia spaventosa.|Non ha lavoro né istruzione,|perciò si è dato ad alcol e gioco d'azzardo.|
%s|Nome banale. Aspetto banale.|Ha il terrore di essere troppo normale.|Prova a rimediare con lezioni di comicità|alla scuola di recitazione.|
%s (Rosso)|Arrivato in città|dalla placida spiaggia.|Voleva più attenzioni, così|si è dipinto di rosso.|
%s|Ha una portata estremamente lunga.|Gli piacciono le donne in carne. Molto in carne.|Colleziona un sacco di riviste...|Non chiedere quali.|
%s|Sognava di diventare pugile|Non ci è riuscito|perché... beh, è un canguro.|Storia tristissima.|
%s (Rosso)|Ama aiutare il prossimo.|Lavora part time dai pompieri.|Tuttavia, essendo così lento|non arriva mai in tempo all'incendio.|
%s|Un maestro d'asilo. ADORA i bambini.|I suoi artigli affilati non sono l'ideale.|Non è parente di quell'altro orso.|Nessuno sa il suo vero nome.|
%s|Salvato da Dundee.|Infatuato della didattica a distanza.|È riuscito a ottenere diversi titoli.|Certificato di videoscrittura di serie B.|
%s (Rosso)|Ha lasciato una multinazionale|e ora dirige 4 aziende.|Spera di diventare sindaco prima o poi.||
%s|Parla un antico dialetto inglese.|No, davvero, sembra inglese ma|è impossibile capire cosa dica.|Lavora alla scuola inglese accanto alla stazione.|
%s (Nero)|Con licenza di uccidere.|La crisi finanziaria globale non lo aiuta|molto, però. Guarda i volantini.|Offre un milione a uccisione.|
%s (Rosso/Flutt.)|Terribilmente timido.|Adora cantare, ma non lo ha|mai fatto davanti a nessuno.|... lo specchio vale? Karaoke in solitaria.|
%s (Fluttuante)|È rimasto senza corpo dopo una dieta ferrea.|Non si sa perché fluttui.|Davvero, qualcuno lo sa?|(Meglio non provarci a casa.)|
|||||
|||||
%s|Sacro guardiano della Torre celestiale. Solo|chi supera la sua prova è ritenuto degno.|A causa dei pochi visitatori, ha accettato|di insegnare danza moderna ai bambini dell'asilo.|
|||||
|||||
|||||
|||||
|||||
|||||
%s (Rosso)|Aspirante lanciatore la cui passione ardente|di solito finisce per riscaldare la panchina.|Spera di provare la potenza del suo attacco|da lontano con la palla prima o poi!|
%s (Alieno)|Pecora stellare con una potente barriera.|Sembra abbia il pelo a punta, ma è|il segno del cuscino. Poiché tutti la|tengono a distanza, è paranoica sul suo alito.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Fluttuante)|Artefatto di un antico impero che un tempo regnava|sulla Terra. Un'oscura congrega di Cani ha riportato|in vita questa forza terribile, ma per fortuna hanno|solo una copia delle istruzioni da condividere!|
%s (Antico)|Un artefatto inarrestabile che distrugge senza pietà|qualsiasi intruso nel regno degli Antichi.|Le profezie parlano di qualcuno che possa resistere|alle oscure maledizioni lanciate da questo guardiano.|
%s (Antico)|Nemesi ancestrale dell'Impero dei Gatti.|Serio e diligente come ogni Cane,|ma a volte sbadatamente gli scappa una maledizione|se si concentra a lungo. Ops, scusate!|
|||||
|||||
|||||
|||||
%s (Antico)|Parla solo in inglese antico: ciò|significa che è un giovane Antico.|Se i Gatti prendessero sul serio lo studio,|potrebbero imparare molto da lui.|
%s (Antico)|Un antico profeta che scopre le tragedie|imminenti viaggiando nel tempo. I suoi viaggi|non sono molto precisi, quindi quando arriva|a casa le cose peggiori sono già accadute...|
%s (Antico/Flutt.)|Sindaca dell'antico ducato dei Lepidotteri.|I cittadini odiano le sue storie lunghe e|farneticanti che fanno andare avanti le|riunioni del consiglio comunale fino a tardi.|
|||||
|||||
%s (Alieno)|Consegne espresse in tutta la galassia!|La sua ragazza pensa si debba trovare|un vero lavoro, così si è unito all'élite|delle truppe d'assalto aliene.|
%s (Alieno)|Chef geniale sottovalutato di un bistrot|stellato. Teletrasporta ciò che gli sembra|poco invitante di nuovo in cucina. Qual è il miglior|vino da abbinare al Gatto?|
%s|Ciao! Sono io, il Gatto divino più amato di sempre!|Te la sei spassata nel capitolo 2 di Cosmo?|Sai, la vita può essere difficile... Dalla|settimana scorsa sono tornato a vivere da mia madre...|
%s (Antico)|Celebrità in voga lo scorso anno, famosa per|il suo gusto eccentrico in fatto di occhiali. Ma|in realtà i suoi occhi sono proprio così... Strano che|li porti così bene. Antichi, dico bene?|
|||||
|||||
%s (Antico/Flutt.)|Forma di vita il cui scopo è far estinguere i Gatti.|Pensava di averli distrutti mille anni fa durante|una battaglia con l'armata felina originale.|È la più piccola e bella tra le Facce.|
%s (Antico)|Struzzo che è anche uno storico cabarettista.|Fonte di ispirazione per i giovani comici, sta|però diventando più consapevole del gap|generazionale sul palco.|
|||||
|||||
%s (Zombi)|Fatto dalle parti più forti di diversi|Professor Orsi defunti. La testa non voleva|stare dritta, così è stata imbullonata.|La voglia di uccidere sembra in ascesa...|
%s (Zombi)|Grazie a un tragico incidente con una|permanente, questo maialino adesso ha degli|stilosi rasta... ed è un ex-cinghiale.|Che improvviso cambio di immagine.|
|||||
|||||
%s (Nero)|Un'adorabile mangia-sogni che vaga|mezza-addormentata. Porta ancora il pannolino anche|se ha 14 anni. Non spaventare questa tenera|sonnambula, non importa quanto forte russi.|
|||||
|||||
|||||
|||||
|||||
|||||
%s (Antico)|Il più antico dei cicloni, nato proprio dal|Big Bang. Non si è indebolito nemmeno|dopo aver divorato i dinosauri. Infligge maledizioni,|diventa più forte dopo aver subito danni.|
|||||
|||||
|||||
|||||
%s (Alieno)|Si dice sia il figlio segreto di una famosa|tempesta. Impossibile capire di chi,|però. Teletrasporta chiunque si avvicini.|Ha poca resistenza, quindi vai a oltranza!|
%s (Alieno)|Questa malvagia banda di pesci cattivoni|ne ha abbastanza dei Gatti che causano problemi|nel loro territorio. Fuori dal fango, pronti a lottare!|Non chiamateli serpenti, non gli piace.|
%s (Alieno)|Una salamandra spaziale allergica ai gatti.|I suoi implacabili starnuti provocano potenti|spostamenti d'aria che i Gatti piccoli dovrebbero|evitare, se non vogliono finire in un'altra dimensione.|
%s|Oh, eccoti di nuovo! Il Gatto divino non si|sconfigge così facilmente! Sì, ti è andata bene|nell'ultimo capitolo di Cosmo, direi. Forse|hai dimostrato di poter lavorare come mio aiutante...|
%s (Alieno/Flutt.)|Dopo millenni sperduta tra le stelle, una|strana forza ancora una volta devasta|l'Impero galattico dei Gatti. Il caos che|scatena potrebbe riscrivere le leggi della realtà.|
|||||
|||||
%s (Antico)|Un antico combattente estratto dai Cani.|Il corpo in argilla sembra debole ma è rinforzato|con potere Antico. Il suo busto umano è stato|per errore attaccato a un corpo di cavallo, ma funziona.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Zombi)|Uno scienziato pazzo si è dato fuoco|alla coda per testare i limiti del potere|aviario. Il panico gli ha dato la|forza necessaria per volare in paradiso.|
%s (Zombi)|Quei tipi sono sempre insieme, vivi o morti.|Per fortuna c'era una navetta dal cimitero|fino al campo di battaglia. La non-morte|non cura la codipendenza...|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Antico)|Direttore di filiale di un'azienda di|commerci sottomarini. Noto per la sua|personalità tossica, il matrimonio lo ha reso|più alla mano, nonostante l'aspetto appuntito.|
|||||
%s (Alieno)|Un aspirante idolo che appare una volta ogni|100 anni, spesso scambiato per un asteroide.|Il suo entourage di fan fedeli forma una coda|luccicante visibile ad anni luce di distanza.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Rosso/Nero)|Un'espressione maliziosa si cela dietro questa|immagine tradizionale di innocente virtù.|Cerca vendetta su chiunque abbia|approfittato della sua ingenuità giovanile.|
%s (Angelico)|Gli esami di abilitazione per arcangelo|si avvicinano, così si porta i libri ovunque.|I Gatti che interromperanno il suo studio|saranno puniti con magie tossiche. Shhh!|
%s (Antico/Flutt.)|Regina del palco che ha iniziato come semplice|ballerina di riserva 888 anni fa. Amata da|tutto l'alveare anche in età avanzata. Alcuni|droni dicono che lei è la vera regina...!|
|||||
%s|Questo mostriciattolo sembra sempre in pace|mentre mangia cetrioli nello stagno,|finché non scatta e ti colpisce con|un attacco a valanga assurdo!|
%s (Antico)|Guardiani delle lande primordiali.|Nessun intruso è mai uscito vivo dalla loro|foresta sacra. Solo chi li sconfigge|può sbirciare dietro la maschera.|
%s (Metallico)|Cocco si offrì volontario per la cyborgizzazione|per diventare il membro più potente|del suo clan. Il budget è finito a metà|strada, ma lui fa funzionare il look.|
%s (Fluttuante)|Tacchino che è anche un venditore provetto.|È andato da un veggente a ottobre e|ha ricevuto pessime notizie sul suo futuro.|Si prepara a scappare allenando le ali.|
%s (Rosso/Gigante)|Un laboratorio segreto ha modificato un genoma|per creare la Foca migliore. Si consiglia |estrema cautela: causa immobilità e indebolimento.|La sua letalità aumenta a ogni battaglia.|
|||||
|||||
|||||
|||||
|||||
|||||
%s (Alieno)|Playboy n. 1 dell'universo, amato dalle|signore solitarie di tutta la galassia.|Bastano poche parole da parte sua|e chiunque comincerà a vedere le stelle.|
|||||
|||||
|||||
%s (Nero/Gigante)|Un laboratorio segreto ha modificato un genoma|per creare l'Elenoir migliore, di impareggiabile|stazza e aggressività, con attacchi che rallentano.|La sua letalità aumenta a ogni battaglia.|
%s (Zombi)|Una specie di Clionel in qualche modo sopravvissuto (?)|all'estinzione di massa degli oceani inquinati del suo|mondo. Non avvicinarti mai più a me o ai miei figli.|Pare che paralizzi i Gatti con la paura.|
%s (Zombi)|Amato nipote dello zio senza figli Ziclone.|Ha la forza della madre e lo spirito timido del|padre, e li unisce in una piccola tempesta affamata|che nasconde al primo segno di pericolo.|
%s (Angelico)|Leale fino alla fine, attende pazientemente|l'arrivo del suo padrone ai cancelli del paradiso.|Una famosa statua che lo rappresenta durante un attacco a|valanga è un punto di incontro gettonato tra gli adolescenti.|
%s|Un bebè esperto con oltre 7 anni di esperienza|nell'infanzia. Ha perfezionato il pianto finto, abbastanza|potente da stendere gli estranei. Rifiutato|da 2 asili d'élite a causa di questo "talento".|
%s (Fluttuante/Gigante)|Un laboratorio segreto ha modificato un genoma|per creare la Falena migliore. Con le sue ali|giganti provoca respinte ai danni delle prede.|La sua letalità aumenta a ogni battaglia.|
%s|Capo di un potente clan in pensione, comanda|ancora segretamente. Ha costruito un nascondiglio segreto|su un'alta torre per passare del tempo con la sua ragazza,|prima che si intrufolassero quei Gatti cafoni!|
%s (Metallico)|Mascotte/allenatore di base per i campioni dell'NLB, i|Koala Kattivi. Costringe a rigiocare tante partite|perché invade il campo quando la squadra sta perdendo.|La durezza del suo allenamento è temuta da tutti.|
|||||
|||||
|||||
%s (Rosso/Alieno/Zombi)|Un musicista da metropolitana che cambia i suoi tratti|concentrandosi su un'immagine diversa. Faceva parte di|una band molto famosa, ma l'ha abbandonata appeeena|prima che sfondassero per iniziare una carriera da solista.|
|||||
|||||
|||||
%s (Alieno/Gigante)|Un laboratorio segreto ha modificato un genoma|per creare l'Yppo migliore, di stazza enorme|con l'abilità di rallentamento su chi oppone resistenza.|La sua letalità aumenta a ogni battaglia.|
%s (Antico)|Soggetto 002 (Forma di vita paleobatterica)|Potenziale di combattimento: Incommensurabile.|Nonostante l'apparenza, tratto Fluttuante non presente|Rendimento corrispondente a capacità ridotta|
%s (Zombi/Flutt.)|Un uccello così in forma da poter attraversare|il Fiume Stige ogni volta che vuole.|Sconvolto dal fatto di non poter impedire alla massa|che ha coltivato tanto duramente di marcire.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Antico)|Il promesso signore dei Gatti, divorato dall'orgoglio|nella sua maestria delle antiche stregonerie della foresta.|Ora è il re della rovina e si scaglia contro questo|mondo decadente con furiose valanghe e maledizioni.|
|||||
|||||
%s|"Nessuno tingerà QUESTO Cinghio" grida il|giovane ribelle prima di andarsene sulla sua motocicletta.|A lui non interessa il giudizio del mondo degli adulti,|a lui interessa solo percorrere liberamente la sua strada.|
|||||
|||||
%s (Rosso)|Dopo aver imparato Attacco a valanga con un corso online,|questa volpe ha accidentalmente colpito Suino con un'ondata|mentre si allenava illegalmente nel parco. Ora si camuffa|per sfuggire al lungo braccio della legge...|
|||||
|||||
|||||
|||||
|||||
%s|Ha rinunciato al riferimento al leone.|Come mai...? Gli studiosi hanno|provato a chiederglielo, ma per|la rabbia fa un attacco a mini-ondata.|
|||||
%s (Nero/Behemoth)|Guerriero aziendalista votato a una malvagia multinazionale.|Ha gli occhi iniettati di sangue dopo giorni di straordinari,|e vedere il tizio nuovo andarsene alle|17 lo ha fatto diventare pazzo.|
|||||
%s (Antico)|Nel cuore dell'antica foresta, la tribù|Doron vive nascosta dietro maschere|benedette dagli dei. Spezzare la maschera|libera una letale esplosione di energia divina.|
%s (Aku)|Stanco della vita liceale, il fratello del Cane|è scappato per unirsi agli Aku.|Anche se il clan lo ritiene un traditore,|continua a pagare in segreto la retta del Cane.|
%s (Aku)|Serpe segnata dalla fiamma blu del potere Aku.|Lancia un attacco a valanga al momento della morte.|Forse l'acqua è il suo punto debole, ma è un'informazione|totalmente inutile in questo gioco.|
%s (Aku)|Un trio di abitanti della rete che ha venduto le proprie|anime cliccando sull'e-mail di spam per il reclutamento Aku.|Erano nemici rossi di basso livello, ma ora|sono imprenditori di successo che investono nel male.|
%s (Aku)|Famoso per aver recitato in "Insonnia di Ping".|Per fare anche il seguito, ha fatto un patto Aku|per avere un corpo che non deve riposare. Gli hanno|anche messo un raggio che può sparare dalla fronte.|
%s (Aku)|Licenziato dal paradiso per i continui errori in ufficio,|è stato presto reclutato dagli Aku|per la sua faccia spaventosa. Ora trasmette|in diretta la sua vita quotidiana nel Vortice Aku.|
%s (Aku)|Ha fatto un patto con gli Aku: la sua anima|in cambio di foto molto difficili da trovare...|Niente domande. Ha uno scudo per proteggere|meglio l'inestimabile collezione di foto.|
%s (Aku)|Ambasciatore d'élite dei regni Aku.|Stretta di mano decisa e sorriso abbagliante|per una contrattazione fisica impeccabile.|Se le cose si mettono male... va bene anche un'atomica.|
%s (Aku)|Nessuno osa avvicinarsi a questo potentissimo Aku!|È quello che crede lui, ma in realtà ha un|carattere terribile ed è portatore di un gran numero|di batteri disgustosi. (Fonte: Ricercatore di Aku)|
%s (Aku)|Una vasta tempesta del male che distrugge tutto. Le anime|che risucchia vengono mandate nei regni Aku|per unirsi alle armate malvagie di quel reame. Se perfori|il suo scudo potresti avere una possibilità.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Aku)|Un malvagio prete che vuole dominare tutti|i regni Aku. Usa altari per sigillare il potere dei|suoi nemici e risucchiare la loro forza vitale|per realizzare le sue oscure ambizioni.|
%s (Aku)|Un mago che ruba energia vitale da usare nella|risurrezione rituale del Signore della Rovina.|Il mondo perfetto dei suoi sogni si realizzerà|o ci saranno delle sorprese inaspettate?|
%s (Aku)|Il dio della distruzione, un tempo imprigionato|da grandi eroi e ora tornato in vita grazie ai rituali|di un Prete oscuro. Un'era di devastazione a lungo|dimenticata tornerà ancora una volta...|
%s (Aku)|Nella sua ricerca ossessiva, l'imperatrice ha aperto|un grimorio maledetto ed è stata posseduta da un male|supremo. Con l'anima macchiata dal male, conduce|l'impero verso il disastro totale.|
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
%s (Aku)|Aku con crisi di identità. "Sono un|serpente, un leone o un pesce?" chiede ai viandanti,|e li trasforma in pietra se sbagliano risposta.|Davvero pericolosa, con attacchi a valanga.|
%s (Aku)|Malefica "esperta" di questioni di cuore, dà|sempre consigli sbagliati causando delusioni|d'amore. La si può trovare spesso in centro,|a sabotare tutti i primi appuntamenti.|
%s (Aku)|Un Aku creato da una maschera maledetta per|portare avanti la risurrezione del Grande Aku.|Il miasma malefico della maschera risucchia la|linfa vitale da chiunque osi avvicinarsi.|
%s (Aku)|Un cugino di Rennana, con corna nere come la notte.|Prima tutti ridevano delle sue corna,|ora è in cerca di vendetta e non si fermerà|finché il suo naso non diventerà rosso acceso.|
%s (Aku)|Un asso del baseball dal cuore di pietra che|ha venduto l'anima del gemello agli Aku|per vincere un torneo. Un giocatore completo|che è stato scoperto dalla serie A.|
%s (Aku)|Un Kory anarchico che canta in una band deathcore|metal. Non ha mai paura di gettarsi nella mischia,|bandito da molti locali per aver colpito con|attacchi a ondata l'ignaro pubblico.|
|||||
|||||
|||||
%s (Rosso)|I. Ena ha una dipendenza da finta|Vitamiao C e ha perso il contatto con la realtà,|sostenendo di essere un Berserker fatto per la battaglia.|Attacchi a valanga tengono a distanza i nemici.|
%s (Ang./Gigante)|Un laboratorio segreto ha modificato un genoma|per creare il Mr. Angelo migliore, che guida|i peccatori con indebolimento e teletrasporto verso la|salvezza. La sua letalità aumenta a ogni battaglia.|
%s (Zombi/Gigante)|Un laboratorio segreto ha modificato un genoma|per creare il Ping migliore, a scala colossale|con l'abilità di spruzzare tossine in ogni direzione.|La sua letalità aumenta a ogni battaglia.|
|||||
|||||
|||||
|||||
%s (Antico/Behemoth)|Un essere primordiale sacro, il più antico|tra tutte le creature della foresta.|Evoca i fulmini per mettere alla prova gli intrusi.|Chi sopravvive è ritenuto degno di vivere.|
%s (Zombi)|Capy si stava godendo una splendida vacanza|alle terme... finché non è morta all'improvviso.|Una rompiscatole che protegge il suo angolo di|vasca teletrasportando lontano altri avventori.|
|||||
|||||
%s (Behemoth)|Questo cane si trovava ai tropici e ha sentito|il richiamo della natura. Allora si è licenziato,|lasciandosi alle spalle un fratello gemello pur di|trascorrere una vita alla ricerca dell'onda perfetta.|
%s (Rosso/Behemoth)|Un'anatra tornata in natura che ha evitato|per un pelo di diventare foie gras. Muove con|violenza la cresta e può trafiggere i nemici con|il suo becco gigante. Bestia tra le bestie.|
%s (Fluttuante/Behemoth)|Un Gufotto che ha scoperto il suo lato spericolato|a 79 anni. Un anziano che scende in un vulcano|e scatena anni di rabbia repressa sotto forma|di una palla di luce. Può infliggere attacco a valanga.|
%s (Alieno/Behemoth)|Un Helmut Grank che ha ricevuto l'irrazionale potere|dell'amore e un bel posto in cui vivere.|Le sue chele giganti possono rallentare i nemici,|mentre infligge dolore con multi-attacchi a distanza.|
%s (Rosso/Gigante)|Questo coniglietto è scappato da un laboratorio segreto|che modificava il genoma. I negozi che gestiva sono|falliti durante la sua assenza, ma i gioielli|sul suo didietro sono di buon auspicio.|
%s|Nipote di Cane. Viene dal futuro per modificare|il passato, in cui suo nonno fu bocciato a un esame.|Le domande al test di ingresso sono così|diverse che sta avendo problemi a modificare il passato.|
%s (Antico/Flutt.)|Un'arma distruttiva costruita dagli antichi.|Dicono che il suo raggio sia capace di grandi distruzioni.|Un saggio l'aveva nascosta sul fondo dell'oceano.|Dicono stia galleggiando in superficie.|
%s (Aku/Behemoth)|Un Behemoth potente diventato demoniaco dopo aver|perso la propria casa. Non gli piacciono gli |alberi della giungla in cui si trova. Può sparare|aculei dalla coda che immobilizzano i movimenti.|
%s (Nero/Behemoth)|Il terzo dei tre Fratelli Uccelli. A casa nell'oscurità,|ha coltivato piante pericolose, o almeno così|dicono. Può abbattere i nemici con ripetuti|colpi del becco e infliggere veleno.|
%s (Antico)|Un cane di argilla creato per fare da guardia alle case.|Ha una serie di funzionalità di interferenza e disturbo|per impedire a chiunque di raggiungere la casa.|Miglior caratteristica: assomiglia al padrone.|
%s (Ang./Behemoth)|Sovrano della natura con un volto spaventoso che|nasconde il suo cuore gentile e il desiderio di proteggere|l'ambiente. Con ondate, valanghe e il suo sacro|pugno, sconfigge i malvagi bracconieri.|
%s (Zombie/Behemoth)|Una formica che ha lavorato duramente per raccogliere cibo|per l'inverno, per poi mangiare troppo e ritrovarsi|in bilico tra la vita e la morte.|Il suo stomaco esplode se si innervosisce.|
%s (Ang./Gigante)|Figlio di un imprenditore, ha trovato lavoro grazie a delle|conoscenze. Si è sottoposto a un intervento al genoma|per non essere paragonato al proprio padre.|In futuro ha intenzione di candidarsi alle elezioni.|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
%s (Behemoth)|Uccello ancestrale avvolto nei tuoni che vive in|una torre nel cielo. Le leggende dicono che è uno|spettacolo da vedere, ma nasconde una personalità violenta|che diventa più feroce quando viene messo in difficoltà.|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
%s (Antico/Behemoth)|Anatra anziana seguita da tre piccoli.|Tende a perdere il controllo. Madre severa|che alleva gli anatroccoli che un giorno lasceranno|il nido. Invia denaro al suo anatroccolo più giovane.|
%s (Antico/Behemoth)|Una grande scimmia che custodisce i Boschi Sacri|fin dall'antichità. È ritenuto il progenitore|dell'uomo. Può resistere ai Behemoth che|esercitano la "Maledizione Antica".|
%s (Antico/Gigante)|Assorbe l'energia che compone ogni cosa.|Se risveglia tutto il suo potere, colpisce qualsiasi cosa|con i suoi enormi pugni senza alcuna pietà e|finisce la sua preda con una potenza implacabile.|
%s (Fluttuante)|Vaga per i mondi lasciando una scia |di distruzione e creazione. La sua|composizione è misteriosa quanto il suo potere.|È immune a tutti gli effetti negativi.|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
【%s】|仮1|仮2|仮3|仮4|
%s (Aku/Behemoth)|Un apprezzato scultore che vive nella natura. |Ha fatto un patto Aku per ottenere la visione a raggi X|per scolpire meglio soggetti nudi, ma ora|vede attraverso i vestiti e la pelle, fino alle ossa...|
【%s】|仮1|仮2|仮3|仮4|
%s (Aku)|Inganna con la bellezza e il prestigio per attirare|l'attenzione. Vive una vita molto lussuriosa.|Nota per aver fatto scalpore con la sua moda.|Dona tutti i suoi soldi ai meno fortunati.|
%s (Aku/Gigante)|Un laboratorio segreto ha modificato un genoma|per migliorare gli amici di Cerbero, di misura gigante,|con attacchi valanga/immobilizzanti.|La sua letalità aumenta a ogni battaglia.|
%s (Fluttuante)|Fratellino di Ciclone bianco. Studia aspirazione e|durata all'ultimo anno di università. Per via dell'aumento|di aspirapolveri robot, sta avendo difficoltà|a trovare un posto di lavoro.|
%s (Rosso/Behemoth)|Enorme Pegaso che può incendiare i cieli e trasformare|la terra in cenere. Chiunque posi gli occhi su di lui|viene inghiottito da mini-ondate e legato sul posto|per essere bruciato vivo.|
%s (Alieno/Behemoth)|Maiale da compagnia della 56ª regina del Regno dei Suini.|Fuggito dopo aver sopportato fin troppo di andare |in giro vestito. Mentre si gode la vita da maiale selvatico,|si rende conto che i vestiti erano la sua stessa pelliccia.|
%s (Behemoth)|Cresciuto in un mondo violento, non ha tatto quando |si tratta di donne. Dopo essere stato rifiutato |mille volte, ha acquisito la forza mentale|per superare qualsiasi effetto di stato negativo.|
%s (Aku)|Dopo 560.000 anni è tornato nel nostro mondo|nella forma di un tiranno infernale per farsi una foto |in vista di un appuntamento al buio. Vuole far colpo con|l'altezza, i successi e la glicemia alta.|
%s|Strega raccapricciante che risiede nelle profondità|di un labirinto. Sottopone le vittime cadute nelle sue|trappole a storie infinite e senza senso,|sempre sul fratello maggiore nei regni Aku.|
%s|||||
%s|||||
%s|||||
%s|||||
%s|||||
%s (Angelico)|Lontra che lavora ai cancelli del paradiso.|Manda chi non è degno di entrare nei cieli|negli inferi con la sua sfera dorata. Evoca|mostri con il potere della valanga.|
%s (Antico/Behemoth)|L'antenato di tutte le specie invasive. Doveva|sterminare le bestie nocive, ma il suo|incontrollabile appetito lo ha reso difficile da|domare ed è diventato un pericolo per tutti.|
%s|||||
%s (Zombi/Flutt./Behemoth)|Dopo 10 test di ingresso falliti,|ha rinunciato: infatti non serve|una laurea per essere non-morti.|Ha ancora dei rimpianti...|
%s|Grande yokai addomesticato, vive nelle paludi.|Un colpo potente, potenziato da una dieta a|base di melone amaro, lo rende temibile,|ma a casa lo tiene a bada sua moglie.|
