item_pack_name_0	ลดราคาบูสเตอร์: แพ็กอาหารแมว!
Castle_AutoChange	<flash>ได้เปลี่ยนทุกส่วน!!</flash>
Castle_shoter00	ใช้ %@ หรือไม่?,ระยะเวลาโครงการจะลดลง %d ชั่วโมง
Castle_shoter01	ระยะเวลาโครงการลดลงอีก , ชั่วโมง!
castle_connection_failed	ไม่สามารถยืนยันเวลาโครงการที่เหลืออยู่ ตรวจสอบการเชื่อมต่อเครือข่ายของคุณ!
castle_fraud	เวลาที่อุปกรณ์อาจเปลี่ยนไป อย่าปรับเปลี่ยนใดๆ ที่นาฬิกาของคุณอีก
beacon_event_date	開催期間: %d年%d月%d日～%d年%d月%d日まで
beacon_event_before	にゃんこビーコンのイベントは<br>現在、開催してないにゃ
beacon_event_held	にゃんこビーコン電波を<br>検索してるにゃ～
beacon_event_held2	イベント報酬を受け取ると<br>取得済マークがつくにゃ
beacon_bluetooth_off	にゃんこビーコン受信するなら<br>Bluetoothをオンにして<br>ほしいにゃ～
beacon_location_off	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_location_authorization	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_pushinfo_off	にゃんこビーコン受信するなら<br>プッシュ通知設定をオンにするにゃ
beacon_wifi_off	にゃんこビーコン受信するなら<br>Wi-Fiをオンにするにゃ
beacon_reward_before	にゃんこビーコン報酬はまだ取得していません
beacon_reward_received	にゃんこビーコン報酬は受け取り済みです
beacon_event_2017520	京都みやこめっせで記念キャラを取得しよう！<br>5/20～5/21に開催されるBitSummit2017会場の<br>にゃんこブースに訪問すれば<br>記念キャラ「ネコまねき」を取得可能！<br>※にゃんこビーコン受信設定が必要です<br>※詳細はバナーをタップ！
beacon_unsupported_device	この端末/OSバージョンには対応していません
not_enough_space_left_on_device	ดาวน์โหลดไม่สำเร็จเพราะขาดพื้นที่ดิสก์
ranking_description	<flash>ด่านจัดอันดับ</flash><br>เพิ่มอันดับของคุณด้วยการได้คะแนนสูงขึ้น!<br>※ต้องใช้การเชื่อมต่อเครือข่ายเพื่อเล่นด่านนี้<br>※การจัดอันดับและคะแนนจะรีเซ็ตในตอนสิ้นสุดอีเวนต์
ranking_unauthorized	อาหารแมวไม่เพียงพอ...<br>ต้องใช้อาหารแมวเพื่อท้าทายด่านนี้
ranking_suspend	ออกจากการต่อสู้หรือไม่?
ranking_error01	ไม่สามารถเชื่อมต่อเซิร์ฟเวอร์จัดอันดับ
ranking_default	―
ranking_title01	แกรนด์มาสเตอร์
ranking_title02	มาสเตอร์
ranking_title03	เชี่ยวชาญ
ranking_title04	สันทัด
ranking_title05	ศิษย์
ranking_title06	ผู้เริ่มต้น
ranking_title07	ผู้ฝึกหัด
ranking_resultcomment	<flash>อันดับปัจจุบัน: ในอันดับสูงสุด %d％ แรก</flash><br> คุณจะได้อันดับ "%@"!
ranking_start	<flash>อันดับโรงฝึกเปิดแล้วตอนนี้!</flash><br>(ระยะเวลาการจัดอันดับ: %d/%02d/%02d ～ %d/%02d/%02d)<br>ประลองฝีมือกับผู้เล่นอื่นในด่านจัดอันดับ!<br>รับรางวัลจากคะแนนที่ได้เมื่ออีเวนต์สิ้นสุด!
ranking_announce01	<flash>ผลอีเวนต์จัดอันดับ</flash><br>(ระยะเวลาการจัดอันดับ: %d/%02d/%02d ～ %d/%02d/%02d)<br>อันดับปัจจุบัน: ในอันดับสูงสุด %d％ แรก<br>รับรางวัลของคุณได้ที่กล่องจดหมาย!<br>(รางวัลที่ไม่ได้รับจะหมดอายุหลังจาก 1 เดือน)
ranking_announce02	<flash>อันดับโรงฝึกประกาศแล้ว:</flash><br>(อีเวนต์เปิด: %d/%02d/%02d ~ %d/%02d/%02d)<br>ผลสุดท้าย: ติด %d อันดับแรก!<br>ไม่ได้รับรางวัล... <br>ขอให้โชคดีกว่านี้ในครั้งต่อไป!
ranking_no_reward	ไม่มี
urguerrilla_warning00	เคลียร์ %d ครั้งก่อนที่ด่านนี้จะหายไป!<br>พยายามจนกว่าคุณได้ไปถึงขีดจำกัดการเคลียร์ด่าน!
mission_receive_achieved	<flash>ภารกิจสำเร็จแล้ว!</flash>
mission_receive_item	<color=255,255,0>รางวัล: ${itemNum} ${itemName}</color>
mission_receive_item_xp	<color=255,255,0>รางวัล: +${itemNum} ${itemName}</color>
mission_receive_item_chara	<color=255,255,0>รางวัลยูนิตแมว: "${charaName}"</color>
mission_receive_item_chara_evolve	<color=255,255,0>รางวัลร่างจริง: "${charaName}"</color>
everyplay_mapname_E	ด่านพิเศษ
everyplay_mapname_N	เรื่องราวแห่งตำนาน
everyplay_mapname_S	ด่านพิเศษ
everyplay_mapname_C	คอลแลบ
everyplay_mapname_T	โรงฝึกเล็บแมว
everyplay_mapname_V	ด่านพิเศษ
everyplay_mapname_J	จักรวรรดิแมวบทที่ %d
everyplay_mapname_W	สู่อนาคตบทที่ %d
everyplay_mapname_P	แมวแห่งห้วงอวกาศบทที่ %d
everyplay_mapname_Z	ซอมบี้
lang	th
network_unavailable	ไม่สามารถเข้าเครือข่ายนี้
connecting	กำลังเชื่อมต่อ
error	พบข้อผิดพลาด
gamecenter_noauth	โปรดล็อกอินเข้าเกมเซ็นเตอร์
purchase_unavailable	การซื้อไม่ได้เปิดใช้งาน โปรดเปิดใช้งานในการซื้อแอปในการตั้งค่าแอปที่จำกัดไว้
purchase_failed	การซื้อล้มเหลว
purchase_verifying	กำลังยืนยันการซื้อ...
disconnected	ขาดการเชื่อมต่อ
invalid_data_received	ได้รับข้อมูลไม่ถูกต้อง
nekokan_bonus_msg	<span class='kakoi2'>บันทึก %d!!</span>
Copied_txt	คัดลอกไปที่คลิปบอร์ด
err_txt	การอ่านข้อมูลข้อผิดพลาด
err_v_txt	เวอร์ชันของเกมนี้\nไม่รองรับ\nการโอนย้ายข้อมูลที่บันทึกไว้\nโปรดอัปเดตเกม\nก่อนดำเนินการต่อ\nโดยแตะที่ "อัปเดต"
nyanko_url	https://ponosgames.com/dl/index_th.html
nyanko_update	อัปเดต
catfoodbuy_txt	การซื้อสำเร็จ!
catfoodtapjoy_txt	คุณได้รับอาหารแมว<br> %d กระป๋อง!
adreward_txt	%@ +%d<br>ได้รับแล้ว!
twitter_hash	#battlecats
yes_txt	ใช่
no_txt	ไม่
Rank_txt0	อันดับผู้ใช้
Rank_txt1	มูลค่าแต้มรวมกันของคะแนนยูนิตและไอเทมของคุณ
Rank_txt2	จะกำหนดอันดับผู้ใช้ของคุณ
Rank_txt3	การเคลียร์อันดับผู้ใช้ที่กำหนดได้จะทำให้คุณได้รับ
Rank_txt4	โบนัสในเกมและรางวัลพิเศษ!
downloading	กำลังดาวน์โหลด
download_wrn_cellular	ไม่ตรวจพบการเชื่อมต่อ Wi-Fi\n※จะใช้ข้อมูลโทรศัพท์เคลื่อนที่แทน\nโปรดทราบว่าการใช้ข้อมูลนี้อาจทำให้เกิดค่าใช้จ่ายเพิ่มเติม
download_err	ดาวน์โหลดล้มเหลว\nตรวจสอบเครือข่ายของคุณ
download_retry	ลองใหม่
warning_text1	เกม "The Battle Cats" เล่นได้ฟรีทั้งหมด
warning_text2	แต่โปรดทราบว่ามีเนื้อหาที่ต้องจ่ายเงิน
url_err	ใช้กับเวอร์ชั่นปัจจุบันไม่ได้ หรือไม่สามารถใช้งานได้ในขณะนี้
sign_in	ลงชื่อเข้าใช้
sign_out	ออกจากระบบ
model_conversion	บันทึกข้อมูล
notice	ข้อความเตือน
push_on	เปิด
push_off	ปิด
local_push	ข้อความเตือน
local_notification	พลังงานแมวของคุณเต็มแล้ว!
local_notification_expedition	กามาโตโต้กลับมาแล้ว!
google_1	กำลังโหลด
google_2	กำลังบันทึก
google_3	กำลังรับ
nyanko_storage	ส่งไปที่ตู้เย็นแมว %d
settle_nyanko	คุณมีสิ่งนี้จำนวน %d
boss_hp	HP บอส:
clear_1	โบนัสเคลียร์ครั้งแรก!
clear_2	อาหารแมว 30 กระป๋อง!
pause_1	มีการต่อสู้กำลังดำเนินอยู่
pause_2	คุณต้องการทำการต่อสู้นี้ต่อไปหรือไม่?
ok_txt	ตกลง
evolveWarningText0	เลเวล
evolveWarningText1	XP
evolveWarningText2	วัสดุวิวัฒน์
evolveWarningText3	ขาด:
evolveWarningText4	/
gamatotoReward_1	ค้นพบอาหารแมว!
gamatotoReward_1_1	รับโชค!
gamatotoReward_2	ดูโฆษณาเพื่อขุดมันขึ้นมา!
gamatotoReward_3	※ สุ่มรับไอเทมต่อไปนี้
gama_collabo_00_popup	<flash>PowerPro Baseball Collab!</flash><br>PowerPro's mascot "Gunder"<br>appears to help the Gamatoto crew!<br>During the collab, Gamatoto rewards increase!<br>※ Cat Food drops will not increase.
gama_collabo_00_name	Gunder
gama_collabo_00_charatext	Canine hero, here from PowerPro for a<br>limited time! Increases Gamatoto rewards!<br>※ Cat Food drops will not increase.
gama_collabo_01_popup	<flash>Shoumetsu Toshi Collab!</flash><br>Takuya's loyal buddy "The Geek"<br>appears to help the Gamatoto crew!<br>During the collab, Gamatoto rewards increase!<br>※ Cat Food drops will not increase.
gama_collabo_01_name	The Geek
gama_collabo_01_charatext	A tech wizard, visiting from Shoumetsu Toshi<br>for a limited time! Increases Gamatoto rewards!<br>※ Cat Food drops will not increase.
gama_collabo_02_popup	<flash>Merc Storia Collab!</flash><br>The helpful monster "Toto"<br>appears to help the Gamatoto crew!<br>While they are here, Gamatoto rewards increase!<br>※ Cat Food excluded.
gama_collabo_02_name	Toto
gama_collabo_02_charatext	A mini monster ally, here from Merc Storia for a<br>limited time! Increases Gamatoto rewards!<br>※ Cat Food drops will not increase.
beginnerPack1_Title	แพ็กเริ่มต้น $4.99 ซื้อแล้ว!
beginnerPack2_Title	แพ็กเริ่มต้น $11.99 ซื้อแล้ว!
beginnerPack3_Title	แพ็กเริ่มต้น $29.99 ซื้อแล้ว!
rankupSale1_Title	ดีลดีมาก! ซื้ออาหารแมว 160 กระป๋องแล้ว!
rankupSale2_Title	ดีลดีมาก! ซื้อ 150,000XP แล้ว!
rankupSale3_Title	ดีลดีมาก! ซื้อเซ็ตไอเทมใหญ่แล้ว!
beginnerPack1	อาหารแมว: %d →
beginnerPack2	XP: %d →
beginnerPack3	เรดาร์สมบัติ: %d →
beginnerPack4	แมวเศรษฐี: %d →
beginnerPack5	งานแมว: %d →
beginnerPack6	แมวซุ่มยิง: %d →
beginnerPack1_result	%d
beginnerPack2_result	%d
beginnerPack3_result	%d
beginnerPack4_result	%d
beginnerPack5_result	%d
beginnerPack6_result	%d
rankupSale1	อาหารแมว %d→ 
rankupSale2	XP %d → 
rankupSale3	เร่งความเร็ว %d→ 
rankupSale4	เรดาร์สมบัติ %d→ 
rankupSale5	ซีพียูแมว %d→ 
rankupSale1_result	%d
rankupSale2_result	%d
rankupSale3_result	%d
rankupSale4_result	%d
rankupSale5_result	%d
tapjoy_video_error	ข้อผิดพลาดการเล่นสื่อย้อนกลับ ตรวจสอบการเชื่อมต่อเครือข่ายของคุณ
line_appli_url	https://itunes.apple.com/app/line/id443904275?mt=8
line_appli_url_android	https://play.google.com/store/apps/details?id=jp.naver.line.android
line_message	ฉันกำลังพิชิตโลกด้วย The Battle Cats! ลองเล่นฟรี!
serial_txt1	ป้อนรหัส Serial สำเร็จl!\nยืนยันรางวัลของคุณโดยแตะที่ปุ่ม "กล่องจดหมาย" ที่หน้าจอแรก
serial_txt2	* คุณใช้งานส่วนนี้ได้หลังจากเคลียร์ด่านญี่ปุ่นแล้ว
serial_txt3	* คุณต้องล็อกอินเข้าเกมเซ็นเตอร์เพื่อรับของขวัญ
serial_txt4	* รหัส Serial สำหรับของขวัญที่ยังไม่ได้รับนี้ใช้ไม่ได้แล้ว\nโปรดยืนยันรายละเอียดที่เมนูการป้อนรหัส
warningtxt1	แอปนี้ถูกกู้คืนไปยังการตั้งค่า\nเริ่มต้น - ไม่พบข้อมูลที่บันทึกไว้
autoSave_txt1	รหัสสอบถาม\n%@\nต้องใช้รหัสนี้เพื่อกู้ข้อมูลของคุณ\nยืนยันได้ที่เมนูหน้าแรกหรือเมนูการตั้งค่า
autoSave_txt2	รหัสสอบถาม: 
autoSave_txt3	โปรดจดและบันทึกรหัสสอบถามของคุณ!
autoSave_txt4	ถ้าไม่มีข้อมูลนี้ ความก้าวหน้าของคุณจะกู้คืนไม่ได้ถ้าสูญหายไป
autoSave_txt5	รหัสสอบถาม
autoSave_txt6	จดและบันทึกเลขนี้ไว้เพื่อป้องกันข้อมูลสูญหาย!
collaboration_txt1	ของขวัญคอลแลบ: %d!
collaboration_txt2	คุณได้รับของขวัญคอลแลบ!
nyancombo_txt1	แตะเพื่อดูชื่อยูนิด
nyancombo_txt2	<color=255,212,0>[ธรรมดา]</color>
nyancombo_txt3	<color=255,212,0>[พิเศษ]</color>
nyancombo_txt4	<color=255,212,0>[แรร์]</color>
nyancombo_txt5	<color=255,212,0>[ซูเปอร์แรร์]</color>
nyancombo_txt6	<color=255,212,0>[อูเบอร์แรร์]</color>
nyancombo_txt7	<color=255,212,0>[ระดับตำนาน]</color>
nyancombo_txt8	???
nyancombo_txt9	 ？？？？？
nyancombo_txt10	วางยูนิตที่ถูกต้องที่ช่องด้านบนเพื่อปลดล็อกทักษะพิเศษ!
nyancombo_txt11	แตะชื่อคอมโบแมวที่ใช้สองครั้งเพื่อติดตั้งยูนิตอัตโนมัติ
nyancombo_pop0	ยูนิต "%@" ทั้งหมดจะ
nyancombo_pop1	ถูกติดตั้งในกระบวนทัพ
nyancombo_pop2	ยืนยันหรือไม่?"
pictureBook1	คอมโบแมว: %@
pictureBook2	ใช้คำใบ้เพื่อปลดล็อกคอมโบนี้!
picBook_getCatFood	<flash>%@ ปลดล็อกแล้ว!</flash> คุณได้อาหารแมว 5 กระป๋อง!<br>
picBook_filteringMiss1	ไม่มียูนิตที่ตรงกับ
picBook_filteringMiss2	เงื่อนไขตัวกรองเหล่านี้! ลองค้นหาอีกครั้ง!
picBook_Rarity0	ธรรมดา
picBook_Rarity1	พิเศษ
picBook_Rarity2	แรร์
picBook_Rarity3	ซูเปอร์แรร์
picBook_Rarity4	อูเบอร์ซูเปอร์แรร์
picBook_Rarity5	ระดับตำนาน
gamestop	ข้อมูลบันทึกปัจจุบันละเมิด\nข้อตกลงการอนุญาตใช้ซอฟต์แวร์ของ Battle Cats\nไม่สามารถเล่นเกมต่อด้วยไฟล์บันทึกนี้ได้
gamestop_base	บัญชีถูกระงับ<br>กำลังกลับไปที่หน้าแรก
daily_login_date	วันที่ %d
filter_err1	ไม่มียูนิตที่ตรงกับ
filter_err2	เงื่อนไขตัวกรองเหล่านี้! ลองค้นหาอีกครั้ง!
exstage_text1	ด่านพิเศษ: "%@" ปลดล็อกแล้ว!
exstage_text2	รับภารกิจท้าทายนี้หรือไม่?
exstage_text3	เอฟเฟกต์ไอเทมปัจจุบัน (ยกเว้นเร่งความเร็ว) จะไม่ดำเนินต่อในด่านนี้
unit_evol_0	f
unit_evol_1	c
unit_evol_2	s
unit_evol_3	u
img001.png	img001_th.png
img001.imgcut	img001_th.imgcut
img002.png	img002_th.png
img002.imgcut	img002_th.imgcut
img004.png	img004_th.png
img004.imgcut	img004_th.imgcut
img006.png	img006_th.png
img006.imgcut	img006_th.imgcut
img008.png	img008_th.png
img008.imgcut	img008_th.imgcut
img009.png	img009_th.png
img009.imgcut	img009_th.imgcut
img010.png	img010_th.png
img010.imgcut	img010_th.imgcut
img011.png	img011_th.png
img011.imgcut	img011_th.imgcut
img012.png	img012_th.png
img012.imgcut	img012_th.imgcut
img019.png	img019_th.png
img019.imgcut	img019_th.imgcut
img022.png	img022_th.png
img022.imgcut	img022_th.imgcut
img023.png	img023_th.png
img023.imgcut	img023_th.imgcut
img024.png	img024_th.png
img024.imgcut	img024_th.imgcut
img027.png	img027_th.png
img027.imgcut	img027_th.imgcut
img028.png	img028_th.png
img028.imgcut	img028_th.imgcut
img029.png	img029_th.png
img029.imgcut	img029_th.imgcut
img031.png	img031_th.png
img031.imgcut	img031_th.imgcut
img033.png	img033_th.png
img033.imgcut	img033_th.imgcut
img037.png	img037_th.png
img037.imgcut	img037_th.imgcut
img041.png	img041_th.png
img041.imgcut	img041_th.imgcut
img100.png	img100_th.png
img100.imgcut	img100_th.imgcut
item000.png	item000_th.png
ec047.png	ec047_th.png
ec047.imgcut	ec047_th.imgcut
ec048.png	ec048_th.png
ec048.imgcut	ec048_th.imgcut
nyancombo_autoset1	ยูนิต "%@" จะ<br>ถูกติดตั้งในกระบวนทัพ<br>โอเคหรือไม่?
nyancombo_autoset2	ยูนิต "%@" จะ<br>ถูกติดตั้งในกระบวนทัพ<br><color=255,0,0>แมวที่อยู่ในกระบวนทัพในปัจจุบันจะถูกแทนที่<br>โอเคหรือไม่?</color>
nyancombo_autoset3	มีแมวบางตัวที่ต้องวิวัฒน์ก่อน<br>"%@" จะถูกวางในกระบวนทัพได้<br>※ยืนยันวิวัฒนาการปัจจุบันของแมวของคุณ!
challenge_popup	ยินดีต้อนรับสู่การต่อสู้ท้าทาย!<br>ได้คะแนนสูงขึ้นจากการปราบศัตรูให้เร็วที่สุดเท่าที่จะทำได้!<br>พยายามกี่ครั้งก็ได้เพื่อให้ได้อันดับสูงสุด!<br>※ห้ามใช้ไอเทมใดๆ ในด่านเหล่านี้
everyplay_mapname_M	ด่านพิเศษ
everyplay_mapname_R	ด่านจัดอันดับ
stage_restriction_dot	・
stage_restriction_cost_over	เพียง %d￠ หรือมากกว่า
stage_restriction_cost_under	เพียง %d￠ หรือน้อยกว่า
stage_restriction_cost_just	เพียง %d￠
stage_restriction_limit_1	ความหายาก: เพียง <color=255,255,0>%@</color>
stage_restriction_limit_2	ใช้แมวในสนามรบได้สูงสุด: <color=255,255,0>%d</color>
stage_restriction_limit_3	ใช้งานจากแถว <color=255,255,0>%d เท่านั้น</color>
stage_restriction_limit_4	ค่าใช้งานแมว: <color=255,255,0>%@</color>
stage_restriction_limit_5	การจำกัดยูนิต: <color=255,255,0>%@</color>
stage_restriction_text_0	ข้อจำกัดการต่อสู้
stage_restriction_text_1	กระบวนทัพนี้ไม่ตรงเงื่อนไข!
stage_restriction_warning	ไม่สามารถใช้ยูนิตนี้ได้!
stage_restriction_level_select	<color=255,255,0>ข้อจำกัดการต่อสู้</color>
stage_restriction_charagroup_1	
stage_restriction_charagroup_2	ไม่มีโฮมูระเล็ก/โฮมูระ อาเคมิ
stage_restriction_charagroup_3	ไม่มีเบเบ้/นากิซ่าและแมว
initializing_adgeneration	กำลังโหลดฟีเจอร์\n โปรดรอ
VAMPErrorCodeNotSupportedOsVersion	เกม The Battle Cats ไม่รองรับเวอร์ชัน OS นี้
VAMPErrorCodeUnknown	ข้อผิดพลาดไม่ทราบสาเหตุ
VAMPErrorCodeServerError	ข้อผิดพลาดการเชื่อมต่อ
VAMPErrorCodeNoAdnetwork	การเชื่อมต่อหมดเวลา
VAMPErrorCodeNeedConnection	ไม่มีการเชื่อมต่อเครือข่าย
VAMPErrorCodeMediationTimeout	การเชื่อมต่อหมดเวลา
VAMPErrorCodeUserCancel	ถูกยกเลิก
VAMPErrorCodeNoAdStock	ไม่มีเนื้อหาโฆษณา
VAMPErrorCodeAdnetworkError	การเชื่อมต่อหมดเวลา
VAMPIncentiveError	ไม่สามารถเก็บได้เพราะมี<br>ข้อผิดพลาดการอ่าน...
everyplay_community_url	https://everyplay.com/the-battle-cats/home
GiftMessage_000	<flash>☆★☆ ไอเทมโบนัส ☆★☆</flash><br>เคลียร์ "จักรวรรดิแมว" บทที่ 2<br>และรับแมววาลคีรี!
GiftMessage_001	<flash>☆★☆ ไอเทมโบนัส ☆★☆</flash><br>เคลียร์ "จักรวรรดิแมว" บทที่ 3<br>และรับแมวบาฮามุต!
GiftMessage_002	<flash>☆★☆ ไอเทมโบนัส ☆★☆</flash><br>เคลียร์ "สู่อนาคต" บทที่ 2 เพื่อ<br>ปลดล็อกร่างจริงของแมววาลคีรี!
GiftMessage_003	<flash>☆★☆ ไอเทมโบนัส ☆★☆</flash><br>เคลียร์ด่านกรีซเพื่อปลดล็อก<br>ยูนิตพิเศษ "แมวถั่ว"
GiftMessage_004	<flash>☆★☆ ไอเทมโบนัส ☆★☆</flash><br>เคลียร์ "จักรวรรดิแมว" บทที่ 1 เพื่อปลดล็อก<br>ยูนิตพิเศษ "โมเนโกะ"
GiftMessage_005	<flash>รางวัลเคลียร์ด่าน 1</flash><br>เคลียร์ "นักหลบหนีผู้ยิ่งใหญ่" เพื่อ<br>โอกาสรับยูนิตพิเศษ<br>หมาป่าอุรูรุน!
GiftMessage_006	<flash>รางวัลเคลียร์ด่าน 2</flash><br>เคลียร์ "จิ้งจอกแดงนักบุญ" เพื่อ<br>โอกาสรับยูนิตพิเศษ<br>เนียนดัมเล็ก!
GiftMessage_007	<flash>☆★☆ ไอเทมโบนัส ☆★☆</flash><br>เคลียร์ "สู่อนาคต" บทที่ 3 เพื่อ<br>ปลดล็อกร่างจริงของแมวบาฮามุต!
GiftMessage_008	<flash>รางวัลเคลียร์ด่าน 3</flash><br>เคลียร์ "เรียนรู้ที่จะรัก" เพื่อ<br>โอกาสรับยูนิตพิเศษ<br>มีนาหนูน้อยหมวกแดง!
GiftMessage_009	<flash>รางวัลเคลียร์ด่าน 4</flash><br>เคลียร์ "สตูดิโอมัลติเวอร์แซล" เพื่อ<br>โอกาสรับยูนิตพิเศษ<br>มิยาโมกุ มูซาชิ!
GiftMessage_010	<flash>☆★☆ รางวัลเคลียร์ด่าน 1 ☆★☆</flash><br>เคลียร์ "แมวแห่งห้วงอวกาศ" บทที่ 1<br>และรับรางวัลลึกลับ...
GiftMessage_011	<flash>☆★☆ ไอเทมโบนัส ☆★☆</flash><br>เคลียร์ "สู่อนาคต" บทที่ 1 เพื่อปลดล็อก<br>คอมโบแมวใหม่เพื่อใช้ในการต่อสู้!
GiftMessage_012	<flash>โบนัสเคลียร์ด่าน!</flash><br>เคลียร์ด่านสุดท้ายของ "ตำนานใหม่"<br>เพื่อปลดล็อกร่างจริงของเมคา-บัน!
GiftMessage_013	<flash>โบนัสเคลียร์ด่าน!</flash><br>เคลียร์ด่านสุดท้ายของ "ความหลงใหลของพระเจ้าแมว"<br>เพื่อปลดล็อกรางวัลลึกลับ!
GiftMessage_014	<flash>☆★☆ โบนัสเคลียร์ด่าน ☆★☆</flash><br>เคลียร์ด่านสุดท้ายของ<br>บทที่ 3 และรับ<br>รางวัลสุดยอด!
GiftMessage_015	<flash>☆★☆ โบนัสเคลียร์ด่าน ☆★☆</flash><br>ปราบสิ่งมีชีวิตทรงพลังที่กำลังรออยู่ใน<br>บทที่ 3 และรับ<br>รางวัลสุดยอด!
GiftMessage_016	<flash>รางวัลเคลียร์ด่าน 6</flash><br>เคลียร์ "วิญญาณดึกดำบรรพ์" เพื่อ<br>โอกาสรับยูนิตพิเศษ<br>โดกุมารุ!
GiftMessage_017	<flash>รางวัลเคลียร์ด่าน 7</flash><br>เคลียร์ด่านสุดท้ายของ "เหมืองเจลาติน"<br>เพื่อโอกาสเล็กๆ ที่จะปลดล็อก <br>แมวพิเศษ "เออร์สและเฟนเรอร์"!
GiftMessage_018	<flash>สิ่งมีชีวิตแปลกประหลาดปรากฏตัวขึ้นใน<br>ห้องทดลองของซากวัตถุ (เลเวล 4)!</flash>
LvUpLimit_txt	ยูนิตนี้ไปถึงเลเวลสูงสุดที่เป็นไปได้แล้ว
LvUpLimitMax_txt	ถึงเลเวลสูงสุดสำหรับเวอร์ชันปัจจุบันแล้ว
option_qrcode_title	รหัสคิวอาร์ของฉัน
option_qrcode_txt1	รหัสคิวอาร์นี้ใช้ได้ในอีเวนต์พิเศษ
option_qrcode_txt2	โปรดอย่าใช้รหัสนี้นอกระยะเวลาอีเวนต์ที่ระบุไว้
option_qrcode_txt3	โปรดตรวจให้แน่ใจว่าหน้าจอของคุณสว่างพอสำหรับการอ่านอย่างชัดเจน
matatabi_growup_1	${itemName} x ${Num} จะถูกใช้<br>เพื่อปลูกผลไม้เหมียวให้โตเต็มที่ <br>※มีโอกาสน้อยนิดที่จะได้ผลไม้เหมียวเอปิก!
matatabi_growup_2	${itemName} x ${Num} จะถูกใช้<br>เพื่อปลูกผลไม้เหมียวให้โตเต็มที่
drop_popup_item	${rewardName}<br><color=255,255,0>ไอเทม</color>${itemName} +${itemNum}<br>${itemPossession}
drop_popup_xp	${rewardName}:<br>${itemName} +${itemNum}
drop_reward	ได้รับ<flash>รางวัลดร็อป!!</flash>
score_reward	ได้รับ<flash>รางวัลคะแนน!!</flash>
item_possession	<color=178,178,178>(# มีอยู่: ${itemNum1} → ${itemNum2})</color>
drop_popup_chara_first	%@<br>%@ "%@" ได้รับแล้ว!<br><flash>เปิดใช้งานได้ที่เมนูอัปเกรด!</flash>
drop_popup_treasure	<color=255,255,0>สมบัติ: </color>%@ %@<br><flash>ได้รับแล้ว!</flash>
drop_popup_chara_third_evolve	%@<br>%@ "%@"<br>ร่างจริง!<br><flash>ปลดล็อกหลังจากได้เลเวล 20!</flash>
drop_popup_chara_levelup1	%@<br>%@ %@ ได้รับแล้ว!<br><flash>ได้อัปเกรดไปที่</flash><br>เลเวล %d → เลเวล %d +%d
drop_popup_chara_levelup2	%@<br>%@ %@ ได้รับแล้ว!<br><flash>ได้อัปเกรดไปที่</flash><br>เลเวล %d +%d → เลเวล %d +%d
drop_popup_chara_levelmax1	%@<br>%@ %@ ได้รับแล้ว!<br><flash>เพดานเลเวลสูงสุดใหม่!</flash><br>เลเวล %d → เลเวล %d +%d
drop_popup_chara_levelmax2	%@<br>%@ %@ ได้รับแล้ว!<br><flash>เพดานเลเวลสูงสุดใหม่!</flash><br>เลเวล %d +%d → เลเวล %d +%d
drop_popup_chara_limit	%@<br>%@ %@ ได้รับแล้ว!<br> อาจไม่ได้อัปเกรดกับ<br>เลเวล MAX+ เพิ่มเติมในตอนนี้
drop_rarity_1	แมวพิเศษ
drop_rarity_2	แมวแรร์
drop_rarity_3	แมวซูเปอร์แรร์
drop_rarity_4	แมวอูเบอร์แรร์
drop_rarity_5	แมวแรร์ระดับตำนาน
nekovitan_Tutorial00	ใช้วิตาเมี้ยวที่มีเพื่อท้าทายด่านบลิตซ์เหล่านี้!<br>สามารถหาวิตาเมี้ยวได้ที่ร้านไอเทม!
nekovitan_battle00	ยอมแพ้ศึกนี้หรือไม่?<br>คุณจะได้วิตาเมี้ยวคืน(เมื่อระยะเวลาการต่อสู้แค่ 10 วิหรือน้อยกว่านั้น)
rareGatya_omakeTicket	สุ่มกาชาแรร์ตอนนี้เพื่อรับของขวัญครั้งเดียวเป็น<br><flash> %@</flash>หนึ่งหน่วย!
nekovitan_shop0	วิตาเมี้ยวไม่พอ!<br>ไปที่ร้านไอเทมหรือไม่?
nekovitan_shop1	ไปที่ร้านไอเทม<br>เพื่อซื้อวิตาเมี้ยวตุนไว้หรือไม่?
kill_application	ออกจากแอปหรือไม่?
receive_item_none_BoxText	※ไม่มีไอเทมให้รับในกล่องจดหมาย
nyanko_club_gift_txt_clubitemID0	<flash>บัตรผ่านทองสมาคมนายทหาร!<br>รางวัลของคุณ: ตั๋วแรร์ 1 ใบ!</flash><br>
nyanko_club_gift_txt_clubitemID1	<flash>บัตรผ่านทองสมาคมนายทหาร!<br>เร่งความเร็วไม่จำกัดนาน 30 วัน!</flash><br>
nyanko_club_expiration_date_txt1	บัตรผ่านทองของคุณใช้ได้อีกแค่<br>%d วันเท่านั้น!<br>ต่ออายุบัตรผ่านทองได้ที่สมาคมนายทหาร!
