item_pack_name_0	Ofertón: ¡Lote de Friskas!
beacon_event_2017520	京都みやこめっせで記念キャラを取得しよう！<br>5/20～5/21に開催されるBitSummit2017会場の<br>にゃんこブースに訪問すれば<br>記念キャラ「ネコまねき」を取得可能！<br>※にゃんこビーコン受信設定が必要です<br>※詳細はバナーをタップ！
beacon_unsupported_device	この端末/OSバージョンには対応していません
not_enough_space_left_on_device	No se ha podido completar la descarga porque no hay suficiente espacio.
ranking_description	<flash>¡Fases clasificatorias!</flash><br>Obtén la mayor puntuación para mejorar tu rango.<br>* Necesitas conexión a internet para jugar a estas fases.<br>* La clasificación y la puntuación se reiniciarán al final del evento.
ranking_unauthorized	No tienes suficientes Friskas...<br>Necesitas más para acceder a esta fase.
ranking_suspend	¿Quieres abandonar la batalla?
ranking_error01	No se ha podido conectar con los servidores de clasificación...
ranking_default	―
ranking_title01	Gran maestro
ranking_title02	Maestro
ranking_title03	Experto
ranking_title04	Adepto
ranking_title05	Discípulo
ranking_title06	Iniciado
ranking_title07	Aprendiz
ranking_resultcomment	<flash>Clasificación actual: entre los %d %% mejores</flash><br>Nuevo rango: %@
ranking_start	<flash>¡Ya está disponible el evento clasificatorio del dojo!</flash><br>(Del %d/%02d/%02d al %d/%02d/%02d).<br>Enfréntate a otros jugadores en las fases clasificatorias.<br>Cuando acabe el evento, conseguirás premios según tu puntuación.
ranking_announce01	<flash>Resultados del evento clasificatorio</flash><br>(Del %d/%02d/%02d al %d/%02d/%02d).<br>Clasificación actual: entre los %d % mejores<br>Encontrarás tus premios en el buzón.<br>(Los premios que no recojas caducarán dentro de un mes).
ranking_announce02	<flash>Evento clasificatorio del dojo</flash><br>(Del %d/%02d/%02d al %d/%02d/%02d).<br>Resultado final: entre los %d mejores<br>No has ganado ningún premio... <br>¡La próxima vez será!
ranking_no_reward	Nada
urguerrilla_warning00	Supera la fase %d vez/veces antes de que se esfume.<br>¡Inténtalo hasta superarla ese número de veces!
mission_receive_achieved	<flash>¡Misión cumplida!</flash>
mission_receive_item	<color=255,255,0>Premio: ${itemName} x ${itemNum}</color>
mission_receive_item_xp	<color=255,255,0>Premio: ${itemName} x ${itemNum}</color>
mission_receive_item_chara	<color=255,255,0>Unidad felina de premio: ${charaName}</color>
mission_receive_item_chara_evolve	<color=255,255,0>Forma final de premio: ${charaName}</color>
everyplay_mapname_E	Fase especial
everyplay_mapname_N	Fases legendarias
everyplay_mapname_S	Fases especiales
everyplay_mapname_C	Fases colaborativas
everyplay_mapname_T	Dojo Afilagarras
everyplay_mapname_V	Fases especiales
everyplay_mapname_J	Capítulo %d de Imperio de los Gatos
everyplay_mapname_W	Capítulo %d de Hacia el Futuro
everyplay_mapname_P	Capítulo %d de Gatos Galácticos
everyplay_mapname_Z	(Zombi)
lang	es
network_unavailable	Error al conectarse a internet
connecting	Conectando...
error	Se ha producido un error.
gamecenter_noauth	Inicia sesión en Game Center.
purchase_unavailable	Las compras están desactivadas. Ve a Ajustes > Restricciones > Compras dentro de la app y activa la opción.
purchase_failed	Error en la compra
purchase_verifying	Confirmando la compra...
disconnected	Desconectado
invalid_data_received	Datos no válidos recibidos
nekokan_bonus_msg	<span class='kakoi2'>¡%d menos!</span>
Copied_txt	Copiado al portapapeles
err_txt	Error en la lectura de datos
err_v_txt	La versión actual no es\ncompatible con los datos de\nguardado que quieres transferir.\nToca el botón «Actualizar»\npara actualizar el juego\ny poder continuar.
nyanko_url	https://ponosgames.com/dl/index_es.html
nyanko_update	Actualizar
catfoodbuy_txt	¡Compra realizada!
catfoodtapjoy_txt	¡Has ganado %d<br>Friskas!
adreward_txt	Has recibido esto:<br>¡%@ x%d!
twitter_hash	#battlecats
yes_txt	Sí
no_txt	No
Rank_txt0	Rango total
Rank_txt1	Los niveles combinados de tus unidades y tus objetos
Rank_txt2	determinarán tu rango total.
Rank_txt3	Al alcanzar un rango determinado,
Rank_txt4	conseguirás premios y bonus del juego.
downloading	Descargando...
download_wrn_cellular	No se ha encontrado ninguna conexión inalámbrica.\n* Se utilizarán los datos móviles.\nTen en cuenta que esto podría generar cargos adicionales.
download_err	Error en la descarga.\nComprueba tu conexión a internet.
download_retry	Reintentar
warning_text1	Jugar a The Battle Cats es totalmente gratis.
warning_text2	No obstante, ten en cuenta que hay contenidos de pago.
url_err	No es compatible con la versión actual o no está disponible actualmente.
sign_in	Conectar
sign_out	Desconectar
model_conversion	Datos de guardado
notice	Notificaciones de energía
push_on	SÍ
push_off	NO
local_push	Notificaciones de energía
local_notification	¡Tienes la energía al máximo!
local_notification_expedition	¡Gamatoto ha regresado!
google_1	Cargando...
google_2	Guardando...
google_3	Recibiendo...
nyanko_storage	Objetos enviados al almacén felino: %d
settle_nyanko	Tienes %d.
boss_hp	PV del jefe:
clear_1	¡Bonus por superar la fase por primera vez!
clear_2	¡30 Friskas!
pause_1	Hay una batalla en curso.
pause_2	¿Quieres continuarla?
ok_txt	Vale
evolveWarningText0	Niveles
evolveWarningText1	XP
evolveWarningText2	Objetos
evolveWarningText3	Necesitas más 
evolveWarningText4	/
gamatotoReward_1	¡Has encontrado Friskas!
gamatotoReward_1_1	¡Fortuna concedida!
gamatotoReward_2	¡Mira un anuncio para desenterrarlo!
gamatotoReward_3	※ Recibe una cantidad aleatoria de los objetos indicados abajo.
gama_collabo_00_popup	<flash>¡Evento colaborativo de PowerPro!</flash><br>Gunder, la mascota de PowerPro,<br>aparecerá para ayudar a Gamatoto.<br>Durante este evento, Gamatoto encontrará más premios.<br>* No se aplica a los Friskas.
gama_collabo_00_name	Gunder
gama_collabo_00_charatext	Un héroe canino que llega desde PowerPro<br>por tiempo limitado. ¡Ayuda a Gamatoto a encontrar más premios!<br>* No se aplica a los Friskas.
gama_collabo_01_popup	<flash>Shoumetsu Toshi Collab!</flash><br>Takuya's loyal buddy "The Geek"<br>appears to help the Gamatoto crew!<br>During the collab, Gamatoto rewards increase!<br>※ Cat Food drops will not increase.
gama_collabo_01_name	The Geek
gama_collabo_01_charatext	A tech wizard, visiting from Shoumetsu Toshi<br>for a limited time! Increases Gamatoto rewards!<br>※ Cat Food drops will not increase.
gama_collabo_02_popup	<flash>¡Evento colaborativo de Merc Storia!</flash><br>Toto es un monstruo muy útil<br>que aparecerá para ayudar a Gamatoto.<br>Durante este evento, Gamatoto encontrará más premios.<br>* No se aplica a los Friskas.
gama_collabo_02_name	Toto
gama_collabo_02_charatext	Un monstruito aliado que llega desde Merc Storia por<br>tiempo limitado. ¡Gamatoto encontrará más premios!<br>* No se aplica a los Friskas.
beginnerPack1_Title	¡Has comprado un superlote de inicio de 4,99 USD!
beginnerPack2_Title	¡Has comprado un superlote de inicio de 11,99 USD!
beginnerPack3_Title	¡Has comprado un superlote de inicio de 29,99 USD!
rankupSale1_Title	¡Vaya chollo! ¡Has comprado 160 Friskas!
rankupSale2_Title	¡Vaya chollo! ¡Has comprado 150 000 XP!
rankupSale3_Title	¡Vaya chollo! ¡Has comprado un gran lote de objetos!
beginnerPack1	Friskas: %d →
beginnerPack2	XP: %d →
beginnerPack3	Radar de tesoros: %d →
beginnerPack4	Gato ricachón: %d →
beginnerPack5	Sabelotodo: %d →
beginnerPack6	Gatotirador: %d →
beginnerPack1_result	%d
beginnerPack2_result	%d
beginnerPack3_result	%d
beginnerPack4_result	%d
beginnerPack5_result	%d
beginnerPack6_result	%d
rankupSale1	Friskas: %d → 
rankupSale2	XP: %d → 
rankupSale3	Acelerador: %d → 
rankupSale4	Radar de tesoros: %d → 
rankupSale5	Gatomático: %d → 
rankupSale1_result	%d
rankupSale2_result	%d
rankupSale3_result	%d
rankupSale4_result	%d
rankupSale5_result	%d
tapjoy_video_error	Error del reproductor multimedia. Comprueba tu conexión a internet.
line_appli_url	https://itunes.apple.com/app/line/id443904275?mt=8
line_appli_url_android	https://play.google.com/store/apps/details?id=jp.naver.line.android
line_message	Estoy conquistando el mundo en The Battle Cats. ¡Juega gratis!
serial_txt1	¡Código aceptado!\nConfirma tu premio desde el buzón de la pantalla de título.
serial_txt2	* Podrás acceder tras superar la fase de Japón.
serial_txt3	* Debes haber iniciado sesión en Game Center para recibir tu regalo.
serial_txt4	* Este código de regalo ya no es válido.\nComprueba la información en el menú de introducción del código.
warningtxt1	Se han restaurado los ajustes de la aplicación.\nNo se han encontrado datos de guardado.
autoSave_txt1	Identificador\n%@\nSe requiere este identificador para recuperar tus datos.\nLo verás en la pantalla de título o en el menú de ajustes.
autoSave_txt2	Identificador: 
autoSave_txt3	¡Anota tu identificador y guárdalo!
autoSave_txt4	Sin esta información, no podrás recuperar tu progreso en caso de que lo pierdas.
autoSave_txt5	Identificador
autoSave_txt6	Anota y guarda este número para no perder tus datos.
collaboration_txt1	Premio colaborativo: ¡%d!
collaboration_txt2	¡Has ganado un premio colaborativo!
nyancombo_txt1	Toca una unidad para ver su nombre
nyancombo_txt2	<color=255,212,0>[Normal]</color>
nyancombo_txt3	<color=255,212,0>[Especial]</color>
nyancombo_txt4	<color=255,212,0>[Raro]</color>
nyancombo_txt5	<color=255,212,0>[Superraro]</color>
nyancombo_txt6	<color=255,212,0>[Megarraro]</color>
nyancombo_txt7	<color=255,212,0>[Legendario]</color>
nyancombo_txt8	???
nyancombo_txt9	 ？？？？？
nyancombo_txt10	Coloca las unidades correctas en el set de la parte superior para desbloquear sus habilidades especiales.
nyancombo_txt11	Toca dos veces el nombre de un gatocombo que ya hayas usado para seleccionar esas unidades automáticamente.
nyancombo_pop0	Todas las unidades del gatocombo %@
nyancombo_pop1	se incluirán en la formación de combate.
nyancombo_pop2	¿Estás de acuerdo?
pictureBook1	Gatocombo: %@
pictureBook2	¡Utiliza las pistas para activar el gatocombo!
picBook_getCatFood	<flash>Has activado esta unidad: %@.</flash><br>¡Has conseguido 5 Friskas!
picBook_filteringMiss1	No tienes ninguna unidad que
picBook_filteringMiss2	se ajuste a este filtro. ¡Haz otra búsqueda!
picBook_Rarity0	Normales
picBook_Rarity1	Especiales
picBook_Rarity2	Raros
picBook_Rarity3	Superraros
picBook_Rarity4	Megarraros
picBook_Rarity5	Legendarios
gamestop	Los datos de guardado actuales incurren en una violación del\nacuerdo de licencia de software de The Battle Cats.\nNo se podrá seguir jugando con esta partida guardada.
gamestop_base	Se ha suspendido la cuenta.<br>Regresando a la pantalla de título...
daily_login_date	Día %d
filter_err1	No tienes ninguna unidad que
filter_err2	se ajuste a este filtro. ¡Haz otra búsqueda!
exstage_text1	Fase especial desbloqueada: ¡%@!
exstage_text2	¿Te atreves con ella?
exstage_text3	Los potenciadores actuales no estarán disponibles en esta fase (a excepción de los aceleradores).
unit_evol_0	f
unit_evol_1	c
unit_evol_2	s
unit_evol_3	u
img001.png	img001_es.png
img001.imgcut	img001_es.imgcut
img002.png	img002_es.png
img002.imgcut	img002_es.imgcut
img004.png	img004_es.png
img004.imgcut	img004_es.imgcut
img006.png	img006_es.png
img006.imgcut	img006_es.imgcut
img008.png	img008_es.png
img008.imgcut	img008_es.imgcut
img009.png	img009_es.png
img009.imgcut	img009_es.imgcut
img010.png	img010_es.png
img010.imgcut	img010_es.imgcut
img011.png	img011_es.png
img011.imgcut	img011_es.imgcut
img012.png	img012_es.png
img012.imgcut	img012_es.imgcut
img019.png	img019_es.png
img019.imgcut	img019_es.imgcut
img022.png	img022_es.png
img022.imgcut	img022_es.imgcut
img023.png	img023_es.png
img023.imgcut	img023_es.imgcut
img024.png	img024_es.png
img024.imgcut	img024_es.imgcut
img027.png	img027_es.png
img027.imgcut	img027_es.imgcut
img028.png	img028_es.png
img028.imgcut	img028_es.imgcut
img029.png	img029_es.png
img029.imgcut	img029_es.imgcut
img031.png	img031_es.png
img031.imgcut	img031_es.imgcut
img033.png	img033_es.png
img033.imgcut	img033_es.imgcut
img037.png	img037_es.png
img037.imgcut	img037_es.imgcut
img041.png	img041_es.png
img041.imgcut	img041_es.imgcut
img100.png	img100_es.png
img100.imgcut	img100_es.imgcut
item000.png	item000_es.png
ec047.png	ec047_es.png
ec047.imgcut	ec047_es.imgcut
ec048.png	ec048_es.png
ec048.imgcut	ec048_es.imgcut
nyancombo_autoset1	Las unidades del gatocombo %@<br>se incluirán en la formación de combate.<br>¿Estás de acuerdo?
nyancombo_autoset2	Las unidades del gatocombo %@<br>se incluirán en la formación de combate.<br><color=255,0,0>Se sustituirán los gatos de la formación actual.<br>¿Estás de acuerdo?</color>
nyancombo_autoset3	Tienes que mutar a algunos gatos<br>para poder usar el gatocombo %@.<br>* Consulta las mutaciones disponibles.
challenge_popup	¡Estas son las batallas de desafío!<br>Derrota a enemigos tan rápido como puedas para obtener la mayor puntuación.<br>El objetivo es superar tu propio récord y no hay límite de intentos.<br>* Ten en cuenta que en estas fases no podrás utilizar potenciadores.
everyplay_mapname_M	Fases especiales
everyplay_mapname_R	Fases clasificatorias
stage_restriction_dot	・
stage_restriction_cost_over	Solo %d ￠ o más
stage_restriction_cost_under	Solo %d ￠ o menos
stage_restriction_cost_just	Solo %d ￠
stage_restriction_limit_1	Rareza: solo <color=255,255,0>%@</color>
stage_restriction_limit_2	Máximo de gatos que puedes desplegar: <color=255,255,0>%d</color>
stage_restriction_limit_3	Desplegar solo desde la fila <color=255,255,0>%d</color>
stage_restriction_limit_4	Coste de despliegue: <color=255,255,0>%@</color>
stage_restriction_limit_5	Restricciones de unidades: <color=255,255,0>%@</color>
stage_restriction_text_0	Restricciones de batalla
stage_restriction_text_1	Esta formación no cumple los requisitos...
stage_restriction_warning	No puedes desplegar esta unidad...
stage_restriction_level_select	<color=255,255,0>Restricciones de batalla</color>
stage_restriction_charagroup_1	
stage_restriction_charagroup_2	ni Minihomura ni Homura Akemi
stage_restriction_charagroup_3	ni Bebe ni Nagisa y Gato
initializing_adgeneration	Cargando funciones...\nEspera.
VAMPErrorCodeNotSupportedOsVersion	The Battle Cats no es compatible con esta versión del sistema operativo.
VAMPErrorCodeUnknown	Error desconocido
VAMPErrorCodeServerError	Error de conexión
VAMPErrorCodeNoAdnetwork	Tiempo de conexión excedido
VAMPErrorCodeNeedConnection	Sin conexión a internet
VAMPErrorCodeMediationTimeout	Tiempo de conexión excedido
VAMPErrorCodeUserCancel	Cancelado
VAMPErrorCodeNoAdStock	Contenido no disponible
VAMPErrorCodeAdnetworkError	Tiempo de conexión excedido
VAMPIncentiveError	No se puede recoger debido<br>a un error de lectura...
everyplay_community_url	https://everyplay.com/the-battle-cats/home
GiftMessage_000	<flash>☆★☆ Objeto de bonus ☆★☆</flash><br>Supera el capítulo 2 de Imperio de los Gatos<br>para llevarte a la Gata Valquiria.
GiftMessage_001	<flash>☆★☆ Objeto de bonus ☆★☆</flash><br>Supera el capítulo 3 de Imperio de los Gatos<br>para llevarte al Gato Bégimo.
GiftMessage_002	<flash>☆★☆ Objeto de bonus ☆★☆</flash><br>Supera el capítulo 2 de Hacia el Futuro<br>para desbloquear la forma final de la Gata Valquiria.
GiftMessage_003	<flash>☆★☆ Objeto de bonus ☆★☆</flash><br>Supera la fase de Grecia<br>para llevarte la unidad especial Dúo Vaina.
GiftMessage_004	<flash>☆★☆ Objeto de bonus ☆★☆</flash><br>Supera el capítulo 1 de Imperio de los Gatos<br>para llevarte la unidad especial Moneko.
GiftMessage_005	<flash>Premio 1 por superar la fase</flash><br>Supera El Gran Evasor<br>y podrás llevarte la unidad especial<br>Lobo Ururun.
GiftMessage_006	<flash>Premio 2 por superar la fase</flash><br>Supera San Zorro Rojo<br>y podrás llevarte la unidad especial<br>Mininyandam.
GiftMessage_007	<flash>☆★☆ Objeto de bonus ☆★☆</flash><br>Supera el capítulo 3 de Hacia el Futuro<br>para desbloquear la forma final del Gato Bégimo.
GiftMessage_008	<flash>Premio 3 por superar la fase</flash><br>Supera Aprendió a Amar<br>y podrás llevarte la unidad especial<br>Mina Caperucita.
GiftMessage_009	<flash>Premio 4 por superar la fase</flash><br>Supera Estudios Multiversal<br>y podrás llevarte la unidad especial<br>Miyamoku Musashi.
GiftMessage_010	<flash>☆★☆ Premio 1 por superar la fase ☆★☆</flash><br>Supera el capítulo 1 de Gatos Galácticos<br>y te llevarás un premio sorpresa.
GiftMessage_011	<flash>☆★☆ Objeto de bonus ☆★☆</flash><br>Supera el capítulo 1 de Hacia el Futuro<br>para desbloquear nuevos gatocombos.
GiftMessage_012	<flash>Bonus por superar la fase</flash><br>Supera la última fase en Una Nueva Leyenda<br>para desbloquear la forma final de Bun Bun Mecánico.
GiftMessage_013	<flash>Bonus por superar la fase</flash><br>Supera la última fase en La Pasión del Misidiós<br>para desbloquear un premio sorpresa.
GiftMessage_014	<flash>☆★☆ Bonus por superar la fase ☆★☆</flash><br>Supera la última fase del capítulo 3<br>de Gatos Galácticos<br>para llevarte un premio increíble.
GiftMessage_015	<flash>☆★☆ Bonus por superar la fase ☆★☆</flash><br>Vence al jefe final del capítulo 3<br>de Gatos Galácticos<br>para llevarte un premio increíble.
GiftMessage_016	<flash>Premio 6 por superar la fase</flash><br>Supera Almas Primitivas<br>y podrás llevarte la unidad especial<br>Chuchomaru.
GiftMessage_017	<flash>Premio 7 por superar la fase</flash><br>Supera la última fase en Minas de Gelatina<br>y tendrás una pequeña probabilidad de desbloquear<br>la unidad especial Urs y Fenrir.
GiftMessage_018	<flash>¡Una extraña forma de vida aparece en Laboratorio de Reliquias (nvl. 4)!</flash>
LvUpLimit_txt	Esta unidad ha alcanzado su nivel máximo.
LvUpLimitMax_txt	Has alcanzado el nivel máximo de esta versión.
option_qrcode_title	Mi código QR
option_qrcode_txt1	Podrás usarlo en eventos especiales.
option_qrcode_txt2	No lo utilices fuera de las fechas de evento especificadas.
option_qrcode_txt3	Asegúrate de que el brillo de la pantalla permita una lectura cómoda.
matatabi_growup_1	Se utilizarán ${Num} ${itemName}<br>para cultivar una fruta felina madura.<br>* ¡Pequeña probabilidad de fruta épica!
matatabi_growup_2	Se utilizarán ${Num} ${itemName}<br>para cultivar una fruta felina madura.
drop_popup_item	${rewardName}<br><color=255,255,0>Objeto</color> ${itemName} +${itemNum}<br>${itemPossession}
drop_popup_xp	${rewardName}:<br>${itemName} +${itemNum}
drop_reward	¡<flash>Has conseguido</flash> Premios (botín)!
score_reward	¡<flash>Has conseguido</flash> Premios (tiempo)!
drop_popup_chara_first	%@<br>%@ ¡Has recibido «%@»!<br><flash>¡Se activa en el menú «Mejorar»!</flash>
drop_popup_treasure	<color=255,255,0>Has recibido este tesoro:</color><br><flash>¡%@ %@!</flash>
drop_popup_chara_third_evolve	%@<br>%@ ¡Has conseguido la forma final<br>de «%@»!<br><flash>¡Se desbloquea en el nivel 20!</flash>
drop_popup_chara_levelup1	%@<br>Has recibido esto: ¡%@ %@!<br><flash>Mejóralo</flash><br>al nivel %d → Nivel %d +%d
drop_popup_chara_levelup2	%@<br>Has recibido esto: ¡%@ %@!<br><flash>Mejóralo</flash><br>al nivel %d +%d → Nivel %d +%d
drop_popup_chara_levelmax1	%@<br>Has recibido esto: ¡%@ %@!<br><flash>¡Nuevo nivel máximo!</flash><br>Nivel %d → Nivel %d +%d
drop_popup_chara_levelmax2	%@<br>Has recibido esto: ¡%@ %@!<br><flash>¡Nuevo nivel máximo!</flash><br>Nivel %d +%d → Nivel %d +%d
drop_popup_chara_limit	%@<br>Has recibido esto: ¡%@ %@!<br> Ahora mismo quizá no se pueda<br>mejorar a niveles extras.
drop_rarity_1	- Gato especial -
drop_rarity_2	- Gato raro -
drop_rarity_3	- Gato superraro -
drop_rarity_4	- Gato megarraro -
drop_rarity_5	- Gato legendario -
nekovitan_Tutorial00	Utiliza la gatamina que te sobre para probar suerte en las fases de bote.<br>¡Puedes comprar gatamina en la tienda con Friskas!
nekovitan_battle00	¿Quieres rendirte?<br>Se te devolverá la gatamina usada al no haber pasado más de 10 segundos desde el inicio de la batalla.
rareGatya_omakeTicket	¡Prueba a abrir bolas raras y podrás llevarte<br><flash>1 %@</flash>!
nekovitan_shop0	No tienes suficiente gatamina...<br>¿Quieres ir a la tienda?
nekovitan_shop1	¿Quieres ir a la tienda<br>para aprovisionarte de gatamina?
kill_application	¿Quieres salir del juego?
receive_item_none_BoxText	* No hay nada que puedas recoger en el buzón.
nyanko_club_gift_txt_clubitemID0	<flash>Pase de oro del Club de Oficiales<br>Tu premio: ¡1 tique raro!</flash><br>
nyanko_club_gift_txt_clubitemID1	<flash>Pase de oro del Club de Oficiales<br>¡30 días de aceleradores ilimitados!</flash><br>
nyanko_club_expiration_date_txt1	El pase de oro solo estará disponible durante<br>%d días más.<br>Puedes renovarlo en el Club de Oficiales.
nyanko_club_expiration_date_txt2	¡El pase de oro<br>caducará pronto!<br>Puedes renovarlo en el Club de Oficiales.
nyanko_club_error_time_manipulation_txt1	Se ha detectado un problema con la hora del dispositivo. * Puede tardar hasta 48 horas en resolverse desde el último cambio de hora.
nyanko_club_error_already_gold_txt1	¡Ya tienes un pase de oro activo!
nyanko_club_error_gold_400_txt1	Se ha producido un error.
nyanko_club_error_gold_500_txt1	Se ha producido un error.
nyanko_club_error_out_of_term_txt1	Ahora no se puede comprar este objeto.
nyanko_club_error_gold_none_user_data_txt1	Se ha producido un error.
nyanko_club_error_normal_none_user_ID_txt1	Se ha producido un error.
nyanko_club_error_normal_400_txt1	Se ha producido un error.
nyanko_club_error_normal_500_txt1	Se ha producido un error.
nyanko_club_error_other_txt1	Error de conexión
nyanko_club_char_change_txt1	Toca para cambiar el icono
potential_exchange_np	Se cambiará por NP.<br>¿Quieres continuar? (%d → <color=255,255,0>%d</color>)
potential_exchange_np_set	Se cambiarán %d por NP.<br>¿Quieres continuar?<br>(%d → <color=255,255,0>%d</color>)
potential_exchange_all_item	Se cambiará todo.<br>¿Quieres NP o XP?
potential_exchange_all_item_np	Todas las unidades del almacén<br>se cambiarán por NP.<br>¿Quieres continuar? (%d → <color=255,255,0>%d</color>)
potential_exchange_gatya_result	¿Cambiar por NP o por XP?
potential_skill_acquisition	¿Quieres gastar NP<br>para desbloquear un talento?
potential_skill_levelup	¿Quieres gastar NP<br>para mejorar un talento?
potential_skill_warning00	No tienes suficiente NP...
potential_skill_lvmax	¡Nivel máximo alcanzado!<br>Ya no se puede mejorar<br>más en esta versión.
potential_exchange_error	No hay más unidades ni objetos<br>que puedan cambiarse por NP.
potential_skill_get	Se han desbloqueado todas las mejoras de este talento.
potential_acquisition_result	<flash>Has desbloqueado esto: ¡%@!<flash>
potential_levelup_result	<flash>¡Mejora de %@ al nivel %d!<flash>
potential_skill_name01	Desgaste
potential_skill_name02	Paralización
potential_skill_name03	Ralentización
potential_skill_name04	Objetivo único
potential_skill_name05	Eficacia
potential_skill_name06	Superdureza
potential_skill_name07	Superfuerza
potential_skill_name08	Repulsión
potential_skill_name09	Abducción
potential_skill_name10	Arrebato
potential_skill_name11	Supervivencia
potential_skill_name12	Destruyebases
potential_skill_name13	Daño crítico
potential_skill_name14	Matazombis
potential_skill_name15	Rompebarreras
potential_skill_name16	Dinero extra
potential_skill_name17	Oleada
potential_skill_name18	Resistencia a desgaste
potential_skill_name19	Resistencia a paralización
potential_skill_name20	Resistencia a ralentización
potential_skill_name21	Resistencia a repulsión
potential_skill_name22	Resistencia a oleada
potential_skill_name23	Inmunidad a oleada
potential_skill_name24	Bloqueo de abducción
potential_skill_name25	Coste reducido
potential_skill_name26	Aumento de recuperación
potential_skill_name27	Aumento de movimiento
potential_skill_name28	Mejora de repulsión
potential_skill_name29	Inmunidad a maldición
potential_skill_name30	Resistencia a maldición
potential_skill_name31	Mejora de ataque
potential_skill_name32	Mejora de defensa
potential_skill_name33	Objetivo: rojos
potential_skill_name34	Objetivo: voladores
potential_skill_name35	Objetivo: negros
potential_skill_name36	Objetivo: metálicos
potential_skill_name37	Objetivo: ángeles
potential_skill_name38	Objetivo: álienes
potential_skill_name39	Objetivo: zombis
potential_skill_name40	Objetivo: reliquias
potential_skill_name41	Objetivo: sin rasgos
potential_skill_name44	Inmunidad a desgaste
potential_skill_name45	Inmunidad a paralización
potential_skill_name46	Inmunidad a ralentización
potential_skill_name47	Inmunidad a repulsión
potential_skill_name48	Inmunidad a oleada
potential_skill_name49	Bloqueo de abducción
potential_skill_name50	Golpetazo
potential_skill_name51	Evasión
potential_skill_name52	Resistencia a toxicidad
potential_skill_name53	Inmunidad a toxicidad
potential_skill_name54	Resistencia a réplicas
potential_skill_name55	Inmunidad a réplicas
potential_skill_name56	Réplica
return_stageselect_error00	El evento ha terminado.<br>Volviendo a la base gatuna...
return_stageselect_error01	Ya no puedes participar en este evento.<br>Volviendo a la base gatuna...
return_stageselect_error02	¡Te espera un premio!<br>Volviendo a la base gatuna...
h13_inquiry_button	Enviar informe
h13_inquiry_error	No se ha podido acceder a internet.\nComprueba tu conexión\ny vuelve a intentarlo.
filter_option_description0	<color=0,0,0>Marca a tus gatos favoritos en la<br>gatopedia para ver solo esas unidades.<br>Debes tener al menos un favorito para usar este filtro.</color>
filter_option_description1	<color=0,0,0>Solo se muestran los gatos que cumplen con las restricciones de la fase.</color>
sort_tutorial_txt1	<flash>¡Se han desbloqueado las opciones de ordenar y filtrar!</flash><br>Para filtrar, usa el<br>botón a la derecha del centro. Para ordenar,<br>el botón a la izquierda del centro.
item_pack_purchased_chara	Unidad %@<color=255,255,0> [%@]</color><br>
enemy_list_title	Enemigos que aparecen
enemy_name_question	???
calendar_title	¡Uno de tus eventos marcados ha comenzado!
calendar_error	Se ha producido un error de comunicación<br>con el servidor o con la hora del dispositivo.<br>Comprueba tu conexión a internet o los ajustes del reloj.
legendquest_tutorial1	¡Este es el Reto Legendario!<br>Aquí podrás ponerte a prueba en fases especiales<br>con un equipo aleatorio.
legendquest_tutorial2	Se necesitan coronas para enfrentarse a esta fase.<br>Puedes conseguir coronas superando<br>fases legendarias (nvl. 1-4).
legendquest_tutorial3	Recuerda que no recuperarás coronas, energía<br>ni potenciadores si decides<br>huir de una batalla del Reto Legendario.
legendquest_Cancel	¿Quieres huir de la batalla?<br><color=255,0,0>No recuperarás coronas, energía ni potenciadores.</color>
legendquest_warning	No tienes suficientes coronas.<br>Puedes conseguir coronas<br>superando fases legendarias.
legendquest_popup	<flash>Reto Legendario</flash><br>¡Enfréntate a una fase aleatoria con una formación de combate al azar!<br>* Para participar necesitas energía y las coronas que ganes en las fases legendarias.<br>* Cada nuevo intento tendrá un coste de coronas más elevado que el anterior.<br>* Si decides huir de la batalla, no recuperarás las coronas, la energía ni los potenciadores utilizados.
score_sns	Mis gatos han conseguido %d puntos en %@. %s %s
legend_sns	Mis gatos han invadido el Reto Legendario %@. %s %s
nekodojo_sns	Mis gatos han conseguido %d puntos en %@ en el Dojo Afilagarras. %s %s
ranking_sns	Mis gatos han conseguido %d puntos en la fase clasificatoria %@. %s %s
challenge_sns	Mis gatos han conseguido %d puntos en la batalla de desafío %@. %s %s
tower_sns	Mis gatos han conquistado el %@ de la Torre Celestial. %s %s
sns_txt1	Mis gatos han invadido %@ en su misión de conquistar el mundo. %s %s
gpp_item_popup	¡Has recibido un premio!<br>Ve a tu buzón para recogerlo.
age_confirmation	Debido a un cambio en la política de la tienda,<br>debes confirmar tu fecha de nacimiento<br>para que podamos mostrarte anuncios.
error_age_confirmation	Se ha producido un error de conexión.<br>Comprueba tu conexión a internet.
restart_item	<flash>¡Lote de regreso adquirido!</flash><br>¡Capítulo 3 de Imperio de los Gatos superado!<br>¡13 unidades felinas recibidas!<br>¡10 tiques gatunos recibidos!<br>¡1 tique raro recibido!
restart_overwrite	¿Quieres utilizar el lote de regreso?<br><color=255,0,0>* Al hacerlo, se sobrescribirá tu progreso del juego.<br>* Si no lo usas, el contenido adquirido será invalidado.</color>
restart_reflect	Ya está disponible el contenido adquirido.<br>¡Has superado Imperio de los Gatos!<br>¡Has recibido tiques gatunos!
slot_message	Has ganado esto: <flash>¡%s x%d!</flash>
