item_pack_name_0	Promo booster : pack de Miam !
beacon_event_2017520	京都みやこめっせで記念キャラを取得しよう！<br>5/20～5/21に開催されるBitSummit2017会場の<br>にゃんこブースに訪問すれば<br>記念キャラ「ネコまねき」を取得可能！<br>※にゃんこビーコン受信設定が必要です<br>※詳細はバナーをタップ！
beacon_unsupported_device	この端末/OSバージョンには対応していません
not_enough_space_left_on_device	Échec du téléchargement en raison d’un manque d’espace sur le disque.
ranking_description	<flash>Niveaux classés</flash><br>Réalise de meilleurs scores pour améliorer ton rang !<br>* Connexion Internet requise pour ce lieu.<br>* Le classement et le score seront réinitialisés à la fin de l’événement.
ranking_unauthorized	Pas assez de Miam...<br>Miam requis pour accéder à ce niveau.
ranking_suspend	Quitter la bataille ?
ranking_error01	Échec de connexion aux serveurs de classement.
ranking_default	―
ranking_title01	Grand maître
ranking_title02	Maître
ranking_title03	Expert
ranking_title04	Adepte
ranking_title05	Disciple
ranking_title06	Initié
ranking_title07	Stagiaire
ranking_resultcomment	<flash>Classement actuel : top %d %%</flash><br> Tu vas atteindre le rang %@ !
ranking_start	<flash>Classement du dojo en cours !</flash><br>(Période du classement : du %d/%02d/%02d au %d/%02d/%02d)<br>Affronte d’autres joueurs dans les niveaux classés !<br>Gagne des récompenses à la fin de l’événement !
ranking_announce01	<flash>Résultats de l’événement de classement</flash><br>(Période du classement : du %d/%02d/%02d au %d/%02d/%02d)<br>Classement actuel : top %d %<br>Récupère tes récompenses au courrier !<br>(Les récompenses non récupérées expirent au bout d’un mois)
ranking_announce02	<flash>Classement du dojo annoncé :</flash><br>(Événement accessible du %d/%02d/%02d au %d/%02d/%02d)<br>Résultat final : top %d !<br>Aucune récompense gagnée...<br>Tu auras plus de chance la prochaine fois !
ranking_no_reward	Aucune
urguerrilla_warning00	Complète %d fois ce niveau avant qu'il ne disparaisse !<br>Tu peux le compléter autant de fois jusqu'à sa limite !
mission_receive_achieved	<flash>Mission accomplie !</flash>
mission_receive_item	<color=255,255,0>Récompense : ${itemNum} ${itemName}</color>
mission_receive_item_xp	<color=255,255,0>Récompense : ${itemName} +${itemNum} </color>
mission_receive_item_chara	<color=255,255,0>Unité féline en récompense : ${charaName}</color>
mission_receive_item_chara_evolve	<color=255,255,0>Forme ultime en récompense : ${charaName}</color>
everyplay_mapname_E	Niveau spécial
everyplay_mapname_N	Histoires légendaires
everyplay_mapname_S	Niveaux spéciaux
everyplay_mapname_C	Collaborations
everyplay_mapname_T	Dojo Griffélin
everyplay_mapname_V	Niveaux spéciaux
everyplay_mapname_J	L’empire des Chats ch. %d
everyplay_mapname_W	Vers le futur ch. %d
everyplay_mapname_P	Les Chats du cosmos ch. %d
everyplay_mapname_Z	(Zombie)
lang	fr
network_unavailable	Connexion au réseau impossible
connecting	Connexion...
error	Erreur survenue
gamecenter_noauth	Connecte-toi à Game Center.
purchase_unavailable	Achats non activés. Active les achats intégrés dans les paramètres sous Restrictions.
purchase_failed	Échec de l’achat
purchase_verifying	Confirmation de l’achat...
disconnected	Absence de connexion
invalid_data_received	Données invalides reçues
nekokan_bonus_msg	<span class='kakoi2'>%d Miam gratuits !</span>
Copied_txt	Copié dans le presse-papiers
err_txt	Erreur de lecture des données
err_v_txt	La version de ce jeu\nne prend pas en charge\nle transfert des données.\nMets à jour le jeu\navant de continuer\nen touchant Mettre à jour.
nyanko_url	https://ponosgames.com/dl/index_fr.html
nyanko_update	Mettre à jour
catfoodbuy_txt	Achat réussi !
catfoodtapjoy_txt	Tu as reçu %d<br>Miam !
adreward_txt	Tu as reçu<br>+%d %@ !
twitter_hash	#battlecats
yes_txt	Oui
no_txt	Non
Rank_txt0	Rang joueur
Rank_txt1	La somme des scores d’unité et d’objet
Rank_txt2	détermine ton rang joueur !
Rank_txt3	Atteindre un rang joueur spécifique te fera gagner
Rank_txt4	des bonus et récompenses spéciales !
downloading	Téléchargement.
download_wrn_cellular	Aucune connexion WiFi détectée.\n* Les données mobiles vont être utilisées.\nAttention, des frais additionnels peuvent s’appliquer.
download_err	Échec du téléchargement.\nVérifie ta connexion.
download_retry	Réessayer.
warning_text1	The Battle Cats est un jeu gratuit.
warning_text2	Cependant, il propose du contenu payant.
url_err	Pas compatible avec la version actuelle ou actuellement indisponible.
sign_in	Se connecter
sign_out	Se déconnecter
model_conversion	Sauvegarde des données
notice	Msg push
push_on	OUI
push_off	NON
local_push	Msg push
local_notification	Ton Charburant est plein !
local_notification_expedition	Gamatoto est de retour !
google_1	Chargement
google_2	Sauvegarde
google_3	Réception
nyanko_storage	%d envoyé(s) dans la réserve
settle_nyanko	Tu en as %d.
boss_hp	PV du boss :
clear_1	1er bonus de niveaux terminés !
clear_2	30 Miam !
pause_1	Bataille en cours.
pause_2	Veux-tu poursuivre cette bataille ?
ok_txt	Confirmer
evolveWarningText0	Niveaux
evolveWarningText1	XP
evolveWarningText2	Objets
evolveWarningText3	Besoin de : 
evolveWarningText4	/
gamatotoReward_1	Miam découvert !
gamatotoReward_1_1	Fortune obtenue !
gamatotoReward_2	Regarde une pub pour la déterrer !
gamatotoReward_3	* Tu recevras une quantité aléatoire des objets ci-dessous.
gama_collabo_00_popup	<flash>Collab. PowerPro Baseball !</flash><br>La mascotte de PowerPro, Gunder,<br>fait son apparition pour aider l’équipe de Gamatoto !<br>Pendant cette collab., les récompenses de Gamatoto augmentent !<br>* À l’exception des Miam.
gama_collabo_00_name	Gunder
gama_collabo_00_charatext	Un héros canin venu de PowerPro<br>pour une durée limitée ! Augmente les récompenses de Gamatoto !<br>* Les apparitions de Miam n’augmenteront pas.
gama_collabo_01_popup	<flash>Shoumetsu Toshi Collab!</flash><br>Takuya's loyal buddy "The Geek"<br>appears to help the Gamatoto crew!<br>During the collab, Gamatoto rewards increase!<br>※ Cat Food drops will not increase.
gama_collabo_01_name	The Geek
gama_collabo_01_charatext	A tech wizard, visiting from Shoumetsu Toshi<br>for a limited time! Increases Gamatoto rewards!<br>※ Cat Food drops will not increase.
gama_collabo_02_popup	<flash>Collab. Merc Storia !</flash><br>Toto le gentil monstre<br>vient en aide à l’équipe de Gamatoto !<br>Les récompenses de Gamatoto augmentent tant qu’il est là !<br>* À l’exception des Miam.
gama_collabo_02_name	Toto
gama_collabo_02_charatext	Un mini-monstre allié venu de Merc Storia pour une<br>durée limitée ! Augmente les récompenses de Gamatoto !<br>* À l’exception des Miam.
beginnerPack1_Title	Pack de démarrage à 0,00 USD acheté !
beginnerPack2_Title	Pack de démarrage à 0,00 USD acheté !
beginnerPack3_Title	Pack de démarrage à 0,00 USD acheté !
rankupSale1_Title	Quelle bonne affaire ! 160 Miam achetés !
rankupSale2_Title	Quelle bonne affaire ! 150 000 XP achetés !
rankupSale3_Title	Quelle bonne affaire ! Gros ensemble d’objets acheté !
beginnerPack1	Miam : %d →
beginnerPack2	XP : %d →
beginnerPack3	Détecteur de trésor : %d →
beginnerPack4	Chat fortuné : %d →
beginnerPack5	Chat diplômé : %d →
beginnerPack6	Chat tireur : %d →
beginnerPack1_result	%d
beginnerPack2_result	%d
beginnerPack3_result	%d
beginnerPack4_result	%d
beginnerPack5_result	%d
beginnerPack6_result	%d
rankupSale1	%d Miam → 
rankupSale2	XP %d → 
rankupSale3	Accélération %d → 
rankupSale4	Détecteur de trésor %d → 
rankupSale5	Chat numérique %d → 
rankupSale1_result	%d
rankupSale2_result	%d
rankupSale3_result	%d
rankupSale4_result	%d
rankupSale5_result	%d
tapjoy_video_error	Erreur de lecture du média. Vérifie ta connexion Internet.
line_appli_url	https://itunes.apple.com/app/line/id443904275?mt=8
line_appli_url_android	https://play.google.com/store/apps/details?id=jp.naver.line.android
line_message	Je pars à la conquête du monde avec The Battle Cats ! Un jeu gratuit !
serial_txt1	Code de série correctement saisi !\nConfirme ta récompense en touchant le bouton du courrier sur l’écran titre.
serial_txt2	* Accessible après avoir terminé le Japon.
serial_txt3	* Connexion à Game Center nécessaire pour recevoir le cadeau.
serial_txt4	* Ce code de série pour un cadeau non récupéré n’est plus valide.\nConfirme les détails dans le menu de saisie du code.
warningtxt1	Cette appli a été réinitialisée avec ses paramètres d’origine.\nDonnées sauvegardées introuvables.
autoSave_txt1	Code de sauvegarde\n%@\nCe code est nécessaire pour récupérer tes données.\nConfirmé à l’écran titre ou dans le menu Paramètres.
autoSave_txt2	Code de sauvegarde : 
autoSave_txt3	Note ton code de sauvegarde quelque part !
autoSave_txt4	Sans ce code, ta progression sera définitivement perdue.
autoSave_txt5	Code de sauvegarde
autoSave_txt6	Note bien ce nombre pour éviter la perte de données !
collaboration_txt1	Cadeaux de collab. : %d !
collaboration_txt2	Tu as reçu un cadeau de collab. !
nyancombo_txt1	Touche pour voir le nom de l’unité
nyancombo_txt2	<color=255,212,0>[Normal]</color>
nyancombo_txt3	<color=255,212,0>[Spécial]</color>
nyancombo_txt4	<color=255,212,0>[Rare]</color>
nyancombo_txt5	<color=255,212,0>[Super rare]</color>
nyancombo_txt6	<color=255,212,0>[Ultra rare]</color>
nyancombo_txt7	<color=255,212,0>[Légendaire]</color>
nyancombo_txt8	???
nyancombo_txt9	 ？？？？？
nyancombo_txt10	Place les bonnes unités dans l’emplacement supérieur pour débloquer des compétences spéciales !
nyancombo_txt11	Touche 2x les noms des combos félins pour définir les unités automatiquement !
nyancombo_pop0	Tous les Chats %@
nyancombo_pop1	seront ajoutés à la formation de bataille.
nyancombo_pop2	Confirmer ?
pictureBook1	Combo félin : %@
pictureBook2	Utilise le conseil pour activer ce combo !
picBook_getCatFood	<flash>Tu as débloqué %@ !</flash><br>Tu as reçu 5 Miam !
picBook_filteringMiss1	Aucune unité ne correspond aux filtres
picBook_filteringMiss2	choisis. Effectue une nouvelle recherche !
picBook_Rarity0	Classique
picBook_Rarity1	Spécial
picBook_Rarity2	Rare
picBook_Rarity3	Super rare
picBook_Rarity4	Ultra rares
picBook_Rarity5	Légendaires
gamestop	Les données sauvegardées actuelles ne respectent pas\nle contrat de licence de l’application The Battle Cats.\nImpossible de jouer au jeu sur ce fichier de sauvegarde.
gamestop_base	Le compte a été suspendu.<br>Retour à l’écran titre.
daily_login_date	Jour %d
filter_err1	Aucune unité ne correspond aux filtres
filter_err2	choisis. Effectue une nouvelle recherche !
exstage_text1	Niveau spécial débloqué : %@ !
exstage_text2	Relever le défi ?
exstage_text3	Les effets actuels des objets (à l’exception des accélérations) ne seront pas conservés dans ce niveau.
unit_evol_0	f
unit_evol_1	c
unit_evol_2	s
unit_evol_3	u
img001.png	img001_fr.png
img001.imgcut	img001_fr.imgcut
img002.png	img002_fr.png
img002.imgcut	img002_fr.imgcut
img004.png	img004_fr.png
img004.imgcut	img004_fr.imgcut
img006.png	img006_fr.png
img006.imgcut	img006_fr.imgcut
img008.png	img008_fr.png
img008.imgcut	img008_fr.imgcut
img009.png	img009_fr.png
img009.imgcut	img009_fr.imgcut
img010.png	img010_fr.png
img010.imgcut	img010_fr.imgcut
img011.png	img011_fr.png
img011.imgcut	img011_fr.imgcut
img012.png	img012_fr.png
img012.imgcut	img012_fr.imgcut
img019.png	img019_fr.png
img019.imgcut	img019_fr.imgcut
img022.png	img022_fr.png
img022.imgcut	img022_fr.imgcut
img023.png	img023_fr.png
img023.imgcut	img023_fr.imgcut
img024.png	img024_fr.png
img024.imgcut	img024_fr.imgcut
img027.png	img027_fr.png
img027.imgcut	img027_fr.imgcut
img028.png	img028_fr.png
img028.imgcut	img028_fr.imgcut
img029.png	img029_fr.png
img029.imgcut	img029_fr.imgcut
img031.png	img031_fr.png
img031.imgcut	img031_fr.imgcut
img033.png	img033_fr.png
img033.imgcut	img033_fr.imgcut
img037.png	img037_fr.png
img037.imgcut	img037_fr.imgcut
img041.png	img041_fr.png
img041.imgcut	img041_fr.imgcut
img100.png	img100_fr.png
img100.imgcut	img100_fr.imgcut
item000.png	item000_fr.png
ec047.png	ec047_fr.png
ec047.imgcut	ec047_fr.imgcut
ec048.png	ec048_fr.png
ec048.imgcut	ec048_fr.imgcut
nyancombo_autoset1	Les Chats %@ seront ajoutés<br>à la formation de bataille.<br>Confirmer ?
nyancombo_autoset2	Les Chats %@ seront ajoutés<br>à la formation de bataille.<br><color=255,0,0>Les unités actuellement en formation seront remplacées.<br>Confirmer ?</color>
nyancombo_autoset3	Certains Chats doivent évoluer avant que le combo<br>%@ puisse être placé dans la formation.<br>* Confirme les évolutions actuelles de tes Chats !
challenge_popup	Bienvenue dans le mode Défi !<br>Réalise de meilleurs scores en battant tous les ennemis aussi vite que possible !<br>Essaie autant de fois que tu le veux pour atteindre le haut du classement !<br>* Aucun objet ne peut être utilisé dans ces niveaux.
everyplay_mapname_M	Niveaux spéciaux
everyplay_mapname_R	Niveaux classés
stage_restriction_dot	・
stage_restriction_cost_over	À partir de %d ￠ seulement
stage_restriction_cost_under	Moins de %d ￠ seulement
stage_restriction_cost_just	%d ￠ seulement
stage_restriction_limit_1	Rareté : <color=255,255,0>%@</color> seulement
stage_restriction_limit_2	Nombre maximum d'unités à déployer : <color=255,255,0>%d</color>
stage_restriction_limit_3	Déployer à partir de la rangée <color=255,255,0>%d uniquement</color>
stage_restriction_limit_4	Coût de déploiement du Chat : <color=255,255,0>%@</color>
stage_restriction_limit_5	Restriction d’unité : <color=255,255,0>%@</color>
stage_restriction_text_0	Restriction de bataille
stage_restriction_text_1	Cette formation ne respecte pas les conditions !
stage_restriction_warning	Cette unité ne peut pas être déployée !
stage_restriction_level_select	<color=255,255,0>Restrictions de bataille</color>
stage_restriction_charagroup_1	
stage_restriction_charagroup_2	Pas de P’tite Homura/Homura Akemi
stage_restriction_charagroup_3	Pas de Bébé/Nagisa et Chat
initializing_adgeneration	Chargement des fonctionnalités.\nMerci de patienter.
VAMPErrorCodeNotSupportedOsVersion	The Battle Cats n’est pas compatible avec cette version du système d’exploitation.
VAMPErrorCodeUnknown	Erreur inconnue
VAMPErrorCodeServerError	Erreur de connexion
VAMPErrorCodeNoAdnetwork	Connexion expirée
VAMPErrorCodeNeedConnection	Aucune connexion Internet
VAMPErrorCodeMediationTimeout	Connexion expirée
VAMPErrorCodeUserCancel	Annulé
VAMPErrorCodeNoAdStock	Contenu de la pub indisponible
VAMPErrorCodeAdnetworkError	Connexion expirée
VAMPIncentiveError	Récupération impossible en raison<br>d’une erreur de lecture...
everyplay_community_url	https://everyplay.com/the-battle-cats/home
GiftMessage_000	<flash>☆★☆ Objet bonus ☆★☆</flash><br>Termine L’empire des Chats ch. 2<br>et obtiens Chalkyrie !
GiftMessage_001	<flash>☆★☆ Objet bonus ☆★☆</flash><br>Termine L’empire des Chats ch. 3<br>et obtiens le Chat Bahamut !
GiftMessage_002	<flash>☆★☆ Objet bonus ☆★☆</flash><br>Termine Vers le futur ch. 2<br>pour débloquer la forme ultime de Chalkyrie !
GiftMessage_003	<flash>☆★☆ Objet bonus ☆★☆</flash><br>Termine la Grèce pour débloquer<br>l’unité spéciale Chats haricot !
GiftMessage_004	<flash>☆★☆ Objet bonus ☆★☆</flash><br>Termine L’empire des Chats ch. 1<br>pour débloquer l’unité spéciale Moneko !
GiftMessage_005	<flash>Récompense de niveau terminé 1</flash><br>Termine Le fugitif<br>pour tenter d’obtenir l’unité spéciale<br>Ururun et Loup !
GiftMessage_006	<flash>Récompense de niveau terminé 2</flash><br>Termine Renard rouge saint<br>pour tenter d’obtenir l’unité spéciale<br>P’tit Nyandam !
GiftMessage_007	<flash>☆★☆ Objet bonus ☆★☆</flash><br>Termine Vers le futur ch. 3<br>pour débloquer la forme ultime du Chat Bahamut !
GiftMessage_008	<flash>Récompense de niveau terminé 3</flash><br>Termine Apprendre à aimer<br>pour tenter d’obtenir l’unité spéciale<br>Chaperon Mina !
GiftMessage_009	<flash>Récompense de niveau terminé 4</flash><br>Termine Studios du multivers<br>pour tenter d’obtenir l’unité spéciale<br>Miyamoku Musashi !
GiftMessage_010	<flash>☆★☆ Récompense de niveau terminé 1 ☆★☆</flash><br>Termine Les Chats du cosmos ch. 1<br>pour obtenir une récompense mystère !
GiftMessage_011	<flash>☆★☆ Objet bonus ☆★☆</flash><br>Termine Vers le futur ch. 1 pour débloquer<br>de nouveaux combos félins à utiliser au combat !
GiftMessage_012	<flash>Récompense de niveau terminé !</flash><br>Termine le dernier niveau d’Une nouvelle légende<br>pour débloquer la forme ultime de Méca-Bun !
GiftMessage_013	<flash>Récompense de niveau terminé !</flash><br>Termine le dernier niveau de La passion du Dieu des Chats<br>pour débloquer une récompense mystère !
GiftMessage_014	<flash>☆★☆ Récompense de niveau terminé ☆★☆</flash><br>Termine le dernier niveau<br>de Les Chats du cosmos ch 3 pour obtenir<br>une incroyable récompense !
GiftMessage_015	<flash>☆★☆ Récompense de niveau terminé ☆★☆</flash><br>Bats l’entité toute-puissante qui rôde<br>dans le chapitre 3 pour obtenir<br>une incroyable récompense !
GiftMessage_016	<flash>Récompense de niveau terminé 6</flash><br>Termine Âmes primitives<br>pour tenter d’obtenir l’unité spéciale<br>Toutoumaru !
GiftMessage_017	<flash>Récompense de niveau terminé 7</flash><br>Termine le dernier niveau de Mines de gélatine<br>pour tenter de débloquer<br>l’unité spéciale Urs et Fenrir !
GiftMessage_018	<flash>Une forme de vie étrange apparaît dans le Labo des reliques (niveau 4) !</flash>
LvUpLimit_txt	Cette unité a atteint le plus haut niveau possible.
LvUpLimitMax_txt	Niveau maximum atteint pour la version actuelle.
option_qrcode_title	Mon code QR
option_qrcode_txt1	Ce code QR peut être utilisé pour les événements spéciaux.
option_qrcode_txt2	Ne pas utiliser ce code en dehors des périodes d’événement indiquées.
option_qrcode_txt3	Assure-toi que ton écran est assez lumineux pour scanner correctement.
matatabi_growup_1	${itemName} x${Num} seront utilisées pour<br>faire pousser un Chagrume complet.<br>* Chance minime de Chagrume épique !
matatabi_growup_2	${itemName} x${Num} seront utilisées pour faire pousser<br>un Chagrume complet.
drop_popup_item	${rewardName}<br><color=255,255,0>Objet</color> ${itemName} +${itemNum}<br>${itemPossession}
drop_popup_xp	${rewardName}:<br>${itemName} +${itemNum}
drop_reward	Récomp. butin <flash>Gagnée!!!</flash>
score_reward	Récomp. score <flash>Gagnée!!</flash>
drop_popup_chara_first	%@<br>Tu as reçu %@ %@ !<br><flash>À activer dans le menu Améliorer.</flash>
drop_popup_treasure	<color=255,255,0>Tu as reçu ce trésor :</color><br><flash>%@ %@</flash>
drop_popup_chara_third_evolve	%@<br>Forme ultime de %@<br>%@ reçue !<br><flash>Débloque-la après avoir atteint le niveau 20 !</flash>
drop_popup_chara_levelup1	%@<br>Tu as reçu %@ %@ !<br><flash>Amélioration</flash><br>Niveau %d → Niveau %d +%d
drop_popup_chara_levelup2	%@<br>Tu as reçu %@ %@ !<br><flash>Amélioration</flash><br>Niveau %d +%d → Niveau %d +%d
drop_popup_chara_levelmax1	%@<br>Tu as reçu %@ %@ !<br><flash>Nouveau niveau max !</flash><br>Niveau %d → Niveau %d +%d
drop_popup_chara_levelmax2	%@<br>Tu as reçu %@ %@ !<br><flash>Nouveau niveau maximum !</flash><br>Niveau %d +%d → Niveau %d +%d
drop_popup_chara_limit	%@<br>Tu as reçu %@ %@ !<br> Impossible d’améliorer<br>aux autres niveaux max. + pour l’instant.
drop_rarity_1	Chats spéciaux
drop_rarity_2	Chats rares
drop_rarity_3	Chats super rares
drop_rarity_4	Chats ultra rares
drop_rarity_5	Unités légendaires
nekovitan_Tutorial00	Utilise tes vichamines restantes pour te mesurer à ces niveaux Guerrilla!<br>Achète des vichamines en utilisant des Miam dans la boutique d’objets !
nekovitan_battle00	Fuir la bataille ?<br>Tes vichamines te seront rendues (bataille de moins de 10 s)
rareGatya_omakeTicket	Ouvre des Chapsules rares pour tenter d’obtenir ce cadeau unique :<br><flash> %@</flash> !
nekovitan_shop0	Pas assez de vichamines !<br>Aller à la boutique d’objets ?
nekovitan_shop1	Aller à la boutique d’objets<br>pour faire le plein de vichamines ?
kill_application	Quitter l’appli ?
receive_item_none_BoxText	* Aucun objet à récupérer au courrier.
nyanko_club_gift_txt_clubitemID0	<flash>Pass en or du Club des officiers !<br>Ta récompense : 1 ticket rare !</flash><br>
nyanko_club_gift_txt_clubitemID1	<flash>Pass en or du Club des officiers !<br>30 jours d’accélérations illimitées !</flash><br>
nyanko_club_expiration_date_txt1	Ton pass en or expire<br>dans %d jours !<br>Renouvelle-le au Club des officiers !
nyanko_club_expiration_date_txt2	Ton pass en or<br>expire bientôt !<br>Renouvelle-le au Club des officiers !
nyanko_club_error_time_manipulation_txt1	Un problème avec l'heure de ton appareil a été détecté. * Il sera résolu dans les 48 heures suivant la dernière modification de l’horloge.
nyanko_club_error_already_gold_txt1	Tu as déjà un pass en or actif !
nyanko_club_error_gold_400_txt1	- Une erreur est survenue -
nyanko_club_error_gold_500_txt1	Une erreur est survenue.
nyanko_club_error_out_of_term_txt1	Tu ne peux pas acheter cet objet pour l’instant.
nyanko_club_error_gold_none_user_data_txt1	Une erreur est survenue...
nyanko_club_error_normal_none_user_ID_txt1	-- Une erreur est survenue --
nyanko_club_error_normal_400_txt1	*Une erreur est survenue*
nyanko_club_error_normal_500_txt1	Une erreur est survenue.
nyanko_club_error_other_txt1	Erreur de connexion
nyanko_club_char_change_txt1	Touche pour changer d’icône
potential_exchange_np	Ceci sera échangé contre des NP.<br>Confirmer ? (%d → <color=255,255,0>%d</color>)
potential_exchange_np_set	Échange de %d contre des NP.<br>Confirmer ?<br>(%d → <color=255,255,0>%d</color>)
potential_exchange_all_item	Tout va être échangé.<br>Veux-tu des NP ou des XP ?
potential_exchange_all_item_np	Toutes les unités de la réserve<br>seront échangées contre des NP.<br>Confirmer ? (%d → <color=255,255,0>%d</color>)
potential_exchange_gatya_result	Échanger contre des NP ou des XP ?
potential_skill_acquisition	Utiliser des NP pour débloquer<br>un talent ?
potential_skill_levelup	Utiliser des NP pour améliorer<br>un talent ?
potential_skill_warning00	Pas assez de NP.
potential_skill_lvmax	Niveau d’amélioration maximum atteint !<br>Tu as atteint le plus haut niveau<br>possible dans cette version.
potential_exchange_error	Aucun(e) autre unité ou objet<br>ne peut être échangé(e) contre des NP.
potential_skill_get	Améliorations toutes débloquées pour ce talent.
potential_acquisition_result	<flash>Tu as débloqué %@ !<flash>
potential_levelup_result	<flash>Amélioration de %@ au niveau %d !<flash>
potential_skill_name01	Affaiblissement
potential_skill_name02	Immobilisation
potential_skill_name03	Ralentissement
potential_skill_name04	Att. uniquement
potential_skill_name05	Assure
potential_skill_name06	Balèze contre
potential_skill_name07	Dégâts massifs
potential_skill_name08	Recul
potential_skill_name09	Téléportation
potential_skill_name10	Renforcement
potential_skill_name11	Survie
potential_skill_name12	Casseur de base
potential_skill_name13	Critique
potential_skill_name14	Tueur de zombies
potential_skill_name15	Brise-barrière
potential_skill_name16	Argent aug.
potential_skill_name17	Vague offensive
potential_skill_name18	Résist. Affaiblissement
potential_skill_name19	Résist. Immobilisation
potential_skill_name20	Résist. Ralentissement
potential_skill_name21	Résist. Recul
potential_skill_name22	Résist. Vagues
potential_skill_name23	Bloque-vagues
potential_skill_name24	Resist. Téléportation
potential_skill_name25	Coût réduit
potential_skill_name26	Récupération accélérée
potential_skill_name27	Vitesse de déplac. aug.
potential_skill_name28	Recul amélioré
potential_skill_name29	Immun. Malédictions
potential_skill_name30	Résist. Malédictions
potential_skill_name31	Buff d’att.
potential_skill_name32	Buff de déf.
potential_skill_name33	Cible Rouge
potential_skill_name34	Cible Flottant
potential_skill_name35	Cible Noir
potential_skill_name36	Cible Métal
potential_skill_name37	Cible Ange
potential_skill_name38	Cible Alien
potential_skill_name39	Cible Zombie
potential_skill_name40	Cible Relique
potential_skill_name41	Cible Sans caract.
potential_skill_name44	Immun. Affaiblissement
potential_skill_name45	Immun. Immobilisation
potential_skill_name46	Immun. Ralentissement
potential_skill_name47	Immun. Recul
potential_skill_name48	Immun. Vagues
potential_skill_name49	Resist. Téléportation
potential_skill_name50	Frappe sauvage
potential_skill_name51	Esquive
potential_skill_name52	Résist. toxique
potential_skill_name53	Immun. toxique
potential_skill_name54	Résist. répliques
potential_skill_name55	Immun. répliques
potential_skill_name56	Réplique offensive
return_stageselect_error00	Cet événement est terminé...<br>Retour à la base féline...
return_stageselect_error01	Cet événement n’est plus accessible...<br>Retour à la base féline...
return_stageselect_error02	Une récompense t’attend !<br>Retour à la base féline !
h13_inquiry_button	Envoyer un rapport
h13_inquiry_error	Accès au réseau impossible.\nVérifie ta connexion\net réessaie.
filter_option_description0	<color=0,0,0>Définis tes Chats favoris dans le menu du Guide Chats<br>pour les afficher rapidement !<br>Tu dois définir au moins un Chat favori pour sélectionner cette option du filtre.</color>
filter_option_description1	<color=0,0,0>N’afficher que les unités qui correspondent aux restrictions de niveau.</color>
sort_tutorial_txt1	<flash>Options de tri et de filtrage débloquées !</flash><br>Filtre à l’aide du bouton<br>au centre droit. Trie avec le bouton<br>au centre gauche.
item_pack_purchased_chara	%@ Unité<color=255,255,0>「%@」</color><br>
enemy_list_title	Ennemis qui apparaissent
enemy_name_question	???
calendar_title	Ton événement signalé a commencé !
calendar_error	Une erreur de communication avec le serveur<br>ou d’horloge de l’appareil est survenue. Vérifie ta connexion Internet<br>ou tes paramètres d’horloge.
legendquest_tutorial1	Bienvenue dans les Quêtes légendaires !<br>Mesure-toi à un niveau spécial<br>avec des unités choisis au hasard !
legendquest_tutorial2	Il faut des couronnes pour jouer ce niveau !<br>Obtiens des couronnes en terminant les Niveaux<br>légendaires de niveau 1 à 4.
legendquest_tutorial3	Sache que les couronnes, le Charburant et les<br>objets ne seront pas rendus si tu fuis<br>une bataille de Quête de légende !
legendquest_Cancel	Fuir la bataille ?<br><color=255,0,0>Les couronnes, le Charburant et les objets seront perdus.</color>
legendquest_warning	Pas assez de couronnes...<br>Récupère des couronnes en terminant<br>des niveaux légendaires.
legendquest_popup	<flash>Quête de légende</flash><br>Joue un niveau aléatoire avec une formation aléatoire !<br>* Utilise des couronnes gagnées dans les Niveaux légendaires ainsi que du Charburant pour relever le défi !<br>* Chaque essai sur un niveau coûtera plus de couronnes.<br>*Les couronnes, le Charburant et les objets ne seront pas rendus en cas de fuite.
score_sns	Mes Battle Cats ont marqué %d pts dans %@ ! %s %s
legend_sns	Mes Battle Cats ont envahi la Quête de légende %@ ! %s %s
nekodojo_sns	Mes Battle Cats ont marqué %d pts dans %@ au Dojo Griffélin ! %s %s
ranking_sns	Mes Battle Cats ont marqué %d pts dans %@ dans les niveaux classés ! %s %s
challenge_sns	Mes Battle Cats ont marqué %d pts dans %@ dans la bataille défi ! %s %s
tower_sns	Mes Battle Cats ont conquis %@ dans la Tour céleste ! %s %s
sns_txt1	Mes Battle Cats ont envahi %@ dans leur conquête du monde ! %s %s
gpp_item_popup	Tu as reçu une récompense !<br>Consulte ton courrier pour récupérer tes objets !
age_confirmation	En raison d'un changement de politique d'achat,<br>tu dois confirmer ta date de naissance afin que<br>nous puissions te montrer des publicités adaptées à ton âge.
error_age_confirmation	Une erreur de connexion est survenue.<br>Vérifie ta connexion.
restart_item	<flash>Pack de redémarrage acheté !</flash><br>L’empire des Chats ch. 3 est terminé !<br>13 unités félines reçues !<br>10 tickets Chapsules reçus !<br>1 ticket rare reçu !
restart_overwrite	Veux-tu utiliser le pack de redémarrage ?<br><color=255,0,0>* Utiliser le pack de redémarrage écrasera ta progression actuelle.<br>* Si tu ne l’utilises pas, le contenu acheté ne sera pas valide.</color>
restart_reflect	Le contenu acheté est disponible !<br>Tu as terminé L’Empire des Chats !<br>Tickets Chapsules reçus !
slot_message	Tu as reçu %s x<flash>%d</flash> !
slot_lastmessage	Résultat final !
slot_SNS_000	J’ai gagné %s Miams aux Machines à sous Chat sauvage de #TheBattleCats !<br>#BattleCats
medal_txt1	%s
medal_txt2	%d médaille(s) reçue(s) !
medal_unknown	???<br>???
