item_pack_name_0	応援セール！お得ネコカンパック 購入
Castle_UnlockDataId_1	スロウ砲の主砲開発を完了し、ユーザーランク600
Castle_UnlockDataId_2	鉄壁砲の主砲開発を完了し、ユーザーランク900
Castle_UnlockDataId_3	かみなり砲の主砲開発を完了し、ユーザーランク900
Castle_UnlockDataId_4	にゃんこ砲攻撃力合計レベル30<br>にゃんこ砲チャージ合計レベル30
Castle_UnlockDataId_5	水鉄砲の主砲開発を完了し、ユーザーランク900
Castle_UnlockDataId_6	エンジェル砲の主砲開発を完了し、ユーザーランク900
Castle_UnlockDataId_7	キャノンブレイク砲の主砲開発を完了し、ユーザーランク900
Castle_UnlockDataId_9	スロウ砲主砲を開発し、<br>レジェンドストーリー「古代研究所」クリア
Castle_UnlockDataId_10	鉄壁砲主砲を開発し、<br>レジェンドストーリー「古代研究所」クリア
Castle_UnlockDataId_11	かみなり砲主砲を開発し、<br>レジェンドストーリー「古代研究所」クリア
Castle_UnlockDataId_12	水鉄砲主砲を開発し、<br>レジェンドストーリー「古代研究所」クリア
Castle_UnlockDataId_13	エンジェル砲主砲を開発し、<br>レジェンドストーリー「古代研究所」クリア
Castle_UnlockDataId_14	キャノンブレイク砲主砲を開発し、<br>レジェンドストーリー「古代研究所」クリア
Castle_UnlockDataId_15	呪い砲主砲を開発し、<br>レジェンドストーリー「古代研究所」クリア
local_notification_custom	オトートが任務を終えて帰還したにゃ～！
Castle_AutoChange	<flash>土台・装飾・主砲の装備変更を反映しました</flash>
Castle_shoter00	%@を使用しますか？,作業時間を%d時間短くします
Castle_shoter01	作業時間が,時間短縮されました！
castle_connection_failed	開発残り時間の取得に失敗しました。通信環境の良い所で再起動してください。
castle_fraud	端末時間が変更された可能性があります。しばらくの間、開発残り時間が進みません。
Castle_mixitem00	にゃんこ砲「土台」「装飾」の改造や強化で<br>使用できる素材を合成します
beacon_event_date	開催期間: %d年%d月%d日～%d年%d月%d日まで
beacon_event_before	にゃんこビーコンのイベントは<br>現在、開催してないにゃ
beacon_event_held	にゃんこビーコン電波を<br>検索してるにゃ～
beacon_event_held2	イベント報酬を受け取ると<br>取得済マークがつくにゃ
beacon_bluetooth_off	にゃんこビーコン受信するなら<br>Bluetoothをオンにして<br>ほしいにゃ～
beacon_location_off	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_location_authorization	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_pushinfo_off	にゃんこビーコン受信するなら<br>プッシュ通知設定をオンにするにゃ
beacon_wifi_off	にゃんこビーコン受信するなら<br>Wi-Fiをオンにするにゃ
beacon_reward_before	にゃんこビーコン報酬はまだ取得していません
beacon_reward_received	にゃんこビーコン報酬は受け取り済みです
beacon_event_2017520	京都みやこめっせで記念キャラを取得しよう！<br>5/20～5/21に開催されるBitSummit2017会場の<br>にゃんこブースに訪問すれば<br>記念キャラ「ネコまねき」を取得可能！<br>※にゃんこビーコン受信設定が必要です<br>※詳細はバナーをタップ！
beacon_unsupported_device	この端末/OSバージョンには対応していません
not_enough_space_left_on_device	端末の空き容量が足りないためダウンロードに失敗しました
ranking_description	<flash>ランキングステージ</flash><br>ハイスコアで順位が変わるステージです<br>※ハイスコア登録には通信環境が必要になります<br>※イベントが終了するとスコアと順位はリセットされます
ranking_unauthorized	ネコカンが不足しています<br>このステージを挑戦するにはネコカンが必要です
ranking_suspend	戦闘を中止しますか？
ranking_error01	ランキングサーバーへの通信に失敗しました
ranking_default	―
ranking_title01	伝説
ranking_title02	免許皆伝
ranking_title03	道場主
ranking_title04	師範
ranking_title05	黒帯
ranking_title06	白帯
ranking_title07	入門者
ranking_resultcomment	<flash>暫定順位 上位 %d％！</flash><br> %@の称号を与えるにゃ
ranking_start	<flash>ネコ道場ランキングイベント開催中！</flash><br>（イベント開催期間：%d/%02d/%02d ～ %d/%02d/%02d）<br>ランキングステージに挑戦して他のユーザーと順位を競おう！<br>期間終了時に、順位に応じた報酬がもらえます
ranking_announce01	<flash>ネコ道場ランキングイベント結果発表</flash><br>（イベント開催期間：%d/%02d/%02d ～ %d/%02d/%02d）<br>最終順位：上位 %d％！<br>報酬を受信BOXから受け取ることができます<br>（受け取り期間は１か月間です）
ranking_announce02	<flash>ネコ道場ランキングイベント結果発表</flash><br>（イベント開催期間：%d/%02d/%02d ～ %d/%02d/%02d）<br>最終順位：上位 %d％！<br>今回は報酬圏外にゃ<br>つぎも頑張るにゃ～
ranking_no_reward	なし
urguerrilla_warning00	%d回クリアすると再挑戦できなくなるステージです<br>クリアするまでは何度でも挑戦できます
mission_receive_achieved	<flash>ミッション達成！</flash>
mission_receive_item	<color=255,255,0>報酬：${itemName} ${itemNum}個</color>
mission_receive_item_xp	<color=255,255,0>報酬：${itemName} +${itemNum}</color>
mission_receive_item_chara	<color=255,255,0>報酬：キャラクター「${charaName}」</color>
mission_receive_item_chara_evolve	<color=255,255,0>報酬：キャラクター「${charaName}」第3形態</color>
mission_receive_item_chara_evolve2	<color=255,255,0>報酬：キャラクター「${charaName}」第4形態</color>
mission_receive_item_map	<color=255,255,0>報酬：「${mapName}」挑戦権</color>
mission_receive_bulk	以下のミッション報酬を受け取りました
mission_receive_bulk_not_all	<color=255,255,0>所持上限を超えるため<br>ミッション報酬を受け取れませんでした</color>
mission_receive_bulk_not_part	<color=255,255,0>アイテム所持数の上限を超えます</color><br>上限を超えた分は所持数に反映されませんが<br>報酬を受け取ってミッションを達成しますか？
mission_receive_bulk_item	${itemName} ${itemNum}個
mission_receive_bulk_item_xp	${itemName} +${itemNum}
mission_receive_bulk_item_chara	キャラクター「${charaName}」
mission_receive_bulk_item_chara_evolve	キャラクター「${charaName}」第3形態
mission_receive_bulk_item_chara_evolve2	キャラクター「${charaName}」第4形態
mission_receive_bulk_item_map	「${mapName}」挑戦権
stage_shortcut	「${stageName}」<br>ステージ選択画面に移動しますか？<br>${specialText}
stage_shortcut_nekovitan	ネコビタンステージの<br>「${stageName}」<br>ステージ選択画面に移動しますか？<br>${specialText}
stage_shortcut_not_found	<color=255,255,0>まだ解放されていないステージのため<br>ステージへ移動できません</color>
stage_shortcut_out_of_term	<color=255,255,0>現在開催しているステージがないため<br>ステージへ移動できません</color>
stage_shortcut_no_interval_times	<color=255,255,0>クリア可能回数が0回のため<br>ステージへ移動できません</color>
gamatoto_shortcut	ガマトト探検隊画面に移動しますか？
gamatoto_shortcut_error	<color=255,255,0>まだ解放されていないため移動できません<br>ガマトト探検隊を解放するには<br>日本編1章の滋賀県をクリアする必要があります</color>
mission_txt	ミッション${missionNum}個達成！
everyplay_mapname_E	EXステージ
everyplay_mapname_N	レジェンドストーリー
everyplay_mapname_S	スペシャルステージ
everyplay_mapname_C	コラボステージ
everyplay_mapname_T	ネコ道場
everyplay_mapname_V	スペシャルステージ
everyplay_mapname_J	日本編%d章
everyplay_mapname_W	未来編%d章
everyplay_mapname_P	宇宙編%d章
everyplay_mapname_Z	(ゾンビ化)
lang	ja
network_unavailable	ネットワークにアクセスできません。
connecting	通信中...
error	エラーが発生しました。
gamecenter_noauth	Game Centerにログインしてください。
purchase_unavailable	課金が無効になっています。設定の機能制限でApp内での購入をオンにしてください。
purchase_unable_ios	App Storeでの購入ができません。App Storeのサインイン状態と通信環境をご確認ください。
purchase_unable_android	Google Playでの購入ができません。Google Playのログイン状態と通信環境をご確認ください。
purchase_failed	購入に失敗しました。
purchase_verifying	購入手続き中です。
disconnected	通信が切断されました。
invalid_data_received	無効なデータを受信しました。
nekokan_bonus_msg	<span class='kakoi2'>%d個お得!!</span>
Copied_txt	クリップボードにコピーしました。
err_txt	読み込みエラー
err_v_txt	アプリのバージョンが古い為、\nデータの引継ぎを\nすることができません。\n「更新」ボタンを押して\nアプリのバージョンアップを\n行って下さい。
nyanko_url	https://ponosgames.com/dl/index.html
nyanko_update	更新
catfoodbuy_txt	購入手続きが完了しました。
catfoodtapjoy_txt	無料ネコカン+%d個\nゲットしました！
adreward_txt	%@+%d個\nゲットしました！
network_unavailable_energy	通信エラーのため\n統率力を回復できません
network_unavailable_gamatoto	通信エラーのため\nネコカンを取得できません
twitter_hash	#にゃんこ大戦争
yes_txt	はい
no_txt	いいえ
Rank_txt0	ユーザーランク
Rank_txt1	キャラクターや戦力アイテムのパワーアップ数値の合計が
Rank_txt2	ユーザーランクとして表示されます
Rank_txt3	ある一定のユーザーランクに到達するごとに
Rank_txt4	ユーザーランクに応じた報酬を受け取ることができます
downloading	ダウンロード中
download_wrn_cellular	Wi-Fi環境で接続されていません。モバイルデータ通信を使用します。\n※携帯電話会社とご契約されているプランによって通信接続料が発生する可能性があります。
download_err	ダウンロードに失敗しました。\n通信環境を確認してください。
download_retry	リトライ
warning_text1	「にゃんこ大戦争」の基本プレイは無料ですが、
warning_text2	一部有料コンテンツがございます。
url_err	ご利用のバージョンでは対応していない機能です。アプリのアップデートを行ってください。
sign_in	サインイン
sign_out	サインアウト
model_conversion	機種変更
notice	PUSH通知
push_on	ON
push_off	OFF
local_push	統率力通知
local_notification	統率力がMAXにゃ～！
local_notification_expedition	ガマトトが探検から帰還したにゃ～！
google_1	ロード中
google_2	セーブ中
google_3	取得中
nyanko_storage	にゃんこ貯蔵庫に%dつ送られました
settle_nyanko	現在、%d個持っています
boss_hp	ボス残り体力
clear_1	初クリア報酬
clear_2	ネコカン+30個
pause_1	戦闘中のデータがあります
pause_2	戦闘中から復帰しますか？
ok_txt	OK
evolveWarningText0	レベル
evolveWarningText1	XP
evolveWarningText2	進化素材
evolveWarningText3	不足
evolveWarningText4	・
gamatotoReward_1	ネコカン1個発見にゃ！
gamatotoReward_1_1	小袋発見！
gamatotoReward_1_2	大袋発見！
gamatotoReward_2	広告動画を視聴して掘り起こしますか？
gamatotoReward_3	※以下のアイテムがランダムで貰えます
gamatotoReward_4	${itemName}+${itemNum}
gama_collabo_00_popup	<flash>実況パワフルプロ野球コラボ開催中！</flash><br>パワプロのマスコット犬「ガンダー」が<br>ガマトト探検隊に臨時加入！<br>コラボ期間中、獲得アイテム量がアップします<br>※ネコカンは対象外です
gama_collabo_00_name	ガンダー
gama_collabo_00_charatext	パワプロからガマトト探検隊に臨時加入したマスコット犬<br>コラボ期間中、獲得アイテム量をアップしてくれます<br>※ネコカンは対象外です
gama_collabo_01_popup	<flash>消滅都市コラボ開催中！</flash><br>タクヤを支える友だち「ギーク」が<br>ガマトト探検隊に臨時加入！<br>コラボ期間中、獲得アイテム量がアップします<br>※ネコカンは対象外です
gama_collabo_01_name	ギーク
gama_collabo_01_charatext	消滅都市からガマトト探検隊に臨時加入した技術者<br>コラボ期間中、獲得アイテム量をアップしてくれます<br>※ネコカンは対象外です
gama_collabo_02_popup	<flash>メルクストーリアコラボ開催中！</flash><br>頼れる仲間モンスター「トト」が<br>ガマトト探検隊に臨時加入！<br>コラボ期間中、獲得アイテム量がアップします<br>※ネコカンは対象外です
gama_collabo_02_name	トト
gama_collabo_02_charatext	メルクストーリアから臨時加入した仲間モンスター<br>コラボ期間中、獲得アイテム量をアップしてくれます<br>※ネコカンは対象外です
gama_collabo_03_popup	<flash>初音ミクコラボ開催中！</flash><br>「ラビット・ユキネ」がガマトト探検隊に臨時加入！<br>コラボ期間中、獲得アイテム量がアップします<br>※ネコカンは対象外です
gama_collabo_03_name	ラビット・ユキネ
gama_collabo_03_charatext	ガマトト探検隊に臨時加入した雪ミクのペットうさぎ<br>コラボ期間中、獲得アイテム量をアップしてくれます<br>※ネコカンは対象外です
gama_collabo_04_popup	<flash>にゃんこ大商店コラボ開催中！</flash><br>「ネコ店員」がガマトト探検隊に臨時加入！<br>コラボ期間中、獲得アイテム量がアップします<br>※ネコカンは対象外です
gama_collabo_04_name	ネコ店員
gama_collabo_04_charatext	ガマトト探検隊に臨時加入したネコ店員<br>コラボ期間中、獲得アイテム量をアップしてくれます<br>※ネコカンは対象外です
gama_collabo_05_popup	<flash>ソニック・サ・ヘッジホッグコラボ開催中！</flash><br>「チャオ」がガマトト探検隊に臨時加入！<br>コラボ期間中、獲得アイテム量がアップします<br>※ネコカンは対象外です
gama_collabo_05_name	チャオ
gama_collabo_05_charatext	ガマトト探検隊に臨時加入したチャオ<br>コラボ期間中、獲得アイテム量をアップしてくれます<br>※ネコカンは対象外です
beginnerPack1_Title	初心者応援パック 購入
beginnerPack2_Title	初心者超応援パック 購入
beginnerPack3_Title	初心者激応援パック 購入
beginnerPack1	「ネコカン」 %d個 → 
beginnerPack2	「経験値」 %dXP → 
beginnerPack3	「トレジャーレーダー」 %d個 → 
beginnerPack4	「ネコボン」 %d個 → 
beginnerPack5	「おかめはちもく」 %d個 → 
beginnerPack6	「スニャイパー」 %d個 → 
beginnerPack1_result	%d個
beginnerPack2_result	%dXP
beginnerPack3_result	%d個
beginnerPack4_result	%d個
beginnerPack5_result	%d個
beginnerPack6_result	%d個
tapjoy_video_error	動画の再生に失敗しました。通信環境を見直して再度お試しください。
line_appli_url	https://itunes.apple.com/jp/app/line/id443904275?mt=8
line_appli_url_android	https://play.google.com/store/apps/details?id=jp.naver.line.android&amp;hl=ja
line_message	にゃんこ大戦争を一緒にプレイしてほしいにゃ！
serial_txt1	シリアルコードが入力されました！\nタイトル画面右下の「受信ＢＯＸ」ボタンから受け取りを確認できます。
serial_txt2	※「受信ＢＯＸ」ボタンは「福岡県」クリア後に表示されます。
serial_txt3	※プレゼントの受け取りにはGame Centerへのログインが必要です。
serial_txt4	※受け取りしていないプレゼントのシリアルコードがキャンセルされました。\nコード入力ページのご注意をご確認ください。
warningtxt1	ゲームが初期状態のため\n保存するデータがありません。
autoSave_txt1	お問い合わせコード\n%@\nお問い合わせコードを紛失された場合はサポート対象外となります。\n上記コードはタイトル画面、またはオプション画面からいつでも確認できます。
autoSave_txt2	お問い合わせコード：
autoSave_txt3	お問い合わせコードは必ずメモをして、大切に保管してください。
autoSave_txt4	お問い合わせコードを紛失された場合は、いかなるサポートもお受けすることはできません。
autoSave_txt5	お問い合わせコード
autoSave_txt6	お問い合わせコードは必ずメモをして大切に保管して下さい。
autoSave_txt7	タップで表示
collaboration_txt1	コラボ特典%dをゲット！
collaboration_txt2	コラボ特典をゲット！
nyancombo_txt1	タップでキャラクター名表示
nyancombo_txt2	<color=255,212,0>【ノーマル】</color>
nyancombo_txt3	<color=255,212,0>【EX】</color>
nyancombo_txt4	<color=255,212,0>【レア】</color>
nyancombo_txt5	<color=255,212,0>【激レア】</color>
nyancombo_txt6	<color=255,212,0>【超激レア】</color>
nyancombo_txt7	<color=255,212,0>【伝説レア】</color>
nyancombo_txt8	???
nyancombo_txt9	？？？？？
nyancombo_txt10	出陣スロット1行目に該当キャラクターをセットすればスキル発動！
nyancombo_txt11	コンボ名をダブルタップすれば自動でセットすることが出来ます
nyancombo_pop0	「%@」のキャラクターを
nyancombo_pop1	現在のスロットにセットします。
nyancombo_pop2	よろしいですか？
pictureBook1	%@のにゃんコンボ
pictureBook2	これをヒントに新しいにゃんコンボを発動させよう！
picBook_getCatFood	<flash>%@を解放しました！</flash><br>ネコカンを5個ゲットしました！
picBook_filteringMiss1	絞り込みの結果、該当するキャラクターは
picBook_filteringMiss2	見つかりませんでした。
picBook_Rarity0	ノーマル
picBook_Rarity1	EX
picBook_Rarity2	レア
picBook_Rarity3	激レア
picBook_Rarity4	超激レア
picBook_Rarity5	伝説レア
gamestop	不正なセーブデータを検知しました。\n利用規約に基づき、\nアプリの利用は継続できません。
gamestop_device	お使いのセーブデータは\n他の端末でプレイを開始したため、\nこの端末ではご利用になれません。\nアプリを削除し再インストールすることで\n最初からプレイする事が可能です。
gamestop_base	アカウントの利用は停止されています。<br>タイトル画面に戻ります。
daily_login_date	%d日目
filter_err1	絞り込みの結果、該当するキャラクターは
filter_err2	見つかりませんでした。
exstage_text1	EXステージ「%@」が出現しました！
exstage_text2	挑戦しますか？
exstage_text3	スピードアップ以外のアイテム使用は継続出来ません。
unit_evol_0	f
unit_evol_1	c
unit_evol_2	s
unit_evol_3	u
img001.png	img001_ja.png
img001.imgcut	img001_ja.imgcut
img002.png	img002_ja.png
img002.imgcut	img002_ja.imgcut
img004.png	img004_ja.png
img004.imgcut	img004_ja.imgcut
img006.png	img006_ja.png
img006.imgcut	img006_ja.imgcut
img008.png	img008_ja.png
img008.imgcut	img008_ja.imgcut
img009.png	img009_ja.png
img009.imgcut	img009_ja.imgcut
img010.png	img010_ja.png
img010.imgcut	img010_ja.imgcut
img011.png	img011_ja.png
img011.imgcut	img011_ja.imgcut
img012.png	img012_ja.png
img012.imgcut	img012_ja.imgcut
img019.png	img019_ja.png
img019.imgcut	img019_ja.imgcut
img022.png	img022_ja.png
img022.imgcut	img022_ja.imgcut
img023.png	img023_ja.png
img023.imgcut	img023_ja.imgcut
img024.png	img024_ja.png
img024.imgcut	img024_ja.imgcut
img027.png	img027_ja.png
img027.imgcut	img027_ja.imgcut
img028.png	img028_ja.png
img028.imgcut	img028_ja.imgcut
img029.png	img029_ja.png
img029.imgcut	img029_ja.imgcut
img031.png	img031_ja.png
img031.imgcut	img031_ja.imgcut
img033.png	img033_ja.png
img033.imgcut	img033_ja.imgcut
img037.png	img037_ja.png
img037.imgcut	img037_ja.imgcut
img041.png	img041_ja.png
img041.imgcut	img041_ja.imgcut
img100.png	img100_ja.png
img100.imgcut	img100_ja.imgcut
item000.png	item000_ja.png
ec047.png	ec047_ja.png
ec047.imgcut	ec047_ja.imgcut
ec048.png	ec048_ja.png
ec048.imgcut	ec048_ja.imgcut
nyancombo_autoset1	「%@」のキャラクターを<br>現在のスロットにセットします。<br>よろしいですか？
nyancombo_autoset2	「%@」のキャラクターを<br>現在のスロットにセットします。<br><color=255,0,0>現在、適用中のにゃんコンボを上書きしますが<br>よろしいですか？</color>
nyancombo_autoset3	進化状態が合わないキャラがいるため<br>「%@」は発動しませんでした<br>※進化状態を確認してください
challenge_popup	チャレンジモードへようこそ！<br>クリア時間が早いほど高得点を獲得できるステージ！<br>何度も挑戦してハイスコアを目指そう！<br>※このステージではアイテムを使用できません。
everyplay_mapname_M	スペシャルステージ
everyplay_mapname_R	ランキングステージ
stage_restriction_dot	・
stage_restriction_cost_over	%d円以上
stage_restriction_cost_under	%d円以下
stage_restriction_cost_just	%d円のみ
stage_restriction_limit_1	レア度：<color=255,255,0>%@</color>
stage_restriction_limit_2	ステージに出せる最大キャラ数：<color=255,255,0>%d体</color>
stage_restriction_limit_3	出陣スロット：<color=255,255,0>%dページ目のみ</color>
stage_restriction_limit_4	生産コスト：<color=255,255,0>%@</color>
stage_restriction_limit_5	キャラ指定：<color=255,255,0>%@</color>
stage_restriction_limit_6	${rarity}${value}体以下
stage_restriction_limit_7	各レア度の同時生産数：<color=255,255,0>%@</color>
stage_restriction_limit_8	${rarity}${value}体
stage_restriction_limit_9	生産可能キャラ数：<color=255,255,0>${value}体</color>
stage_restriction_text_0	出撃可能なキャラクター条件
stage_restriction_text_1	出陣スロットが上記の条件を満たしていません
stage_restriction_warning	このキャラクターは出撃できません！
stage_restriction_level_select	<color=255,255,0>出撃制限あり</color>
stage_restriction_charagroup_1	城とドラゴンコラボキャラ
stage_restriction_charagroup_2	ちびほむら、暁美ほむら以外のキャラ
stage_restriction_charagroup_3	ベベ（なぎさ＆ネコ）以外のキャラ
stage_restriction_charagroup_4	JRAコラボキャラ
stage_restriction_charagroup_5	トキメキにゃんこ学園キャラ
stage_restriction_charagroup_6	ねこのなつやすみイベント昆虫キャラ
stage_restriction_charagroup_7	ワールドトリガーコラボキャラ
stage_restriction_charagroup_8	シン・ジャパン・ヒーローズ・ユニバースコラボキャラ
stage_restriction_charagroup_9	ネコ
initializing_adgeneration	機能を読み込んでいます。\nしばらく後にご利用ください。
VAMPErrorCodeNotSupportedOsVersion	サポートされていないOSバージョンです
VAMPErrorCodeUnknown	不明なエラー
VAMPErrorCodeServerError	サーバー間通信エラー
VAMPErrorCodeNoAdnetwork	通信がタイムアウトしました
VAMPErrorCodeNeedConnection	ネットワーク通信が行えませんでした
VAMPErrorCodeMediationTimeout	通信がタイムアウトしました
VAMPErrorCodeUserCancel	キャンセルされました
VAMPErrorCodeNoAdStock	広告在庫がありません
VAMPErrorCodeAdnetworkError	通信がタイムアウトしました
VAMPIncentiveError	読み込みエラーのため<br>受け取りに失敗しました
everyplay_community_url	https://everyplay.com/niyankoda-zhan-zheng/home
GiftMessage_000	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>第二章を全てクリアすれば、<br>超レアキャラ「ネコヴァルキリー」を<br>手に入れることが出来るぞ
GiftMessage_001	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>第三章を全てクリアすれば、<br>超レアキャラ「ネコムート」を<br>手に入れることが出来るぞ
GiftMessage_002	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>未来編第二章を全てクリアすれば、<br>ＥＸキャラ「ネコヴァルキリー」を第3形態<br>に進化することが出来るぞ
GiftMessage_003	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>滋賀県をクリアすれば、<br>超レアキャラ「マメマメにゃんこ」を<br>手に入れることが出来るぞ
GiftMessage_004	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>第一章をクリアすれば、<br>超レアキャラ「もねこ」を<br>手に入れることが出来るぞ
GiftMessage_005	<flash>ステージクリアボーナス１</flash><br>「脱獄トンネル」最終ステージクリアで<br>超レアキャラ「ウルフとウルルン」を<br>まれに手に入れることが出来るぞ
GiftMessage_006	<flash>ステージクリアボーナス２</flash><br>「終わりを告げる夜」最終ステージクリアで<br>超レアキャラ「コニャンダム」を<br>まれに手に入れることが出来るぞ
GiftMessage_007	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>未来編第三章を全てクリアすれば、<br>ＥＸキャラ「ネコムート」を第3形態<br>に進化することが出来るぞ
GiftMessage_008	<flash>ステージクリアボーナス３</flash><br>「脆弱性と弱酸性」最終ステージクリアで<br>超レアキャラ「ネコずきんミーニャ」を<br>まれに手に入れることが出来るぞ
GiftMessage_009	<flash>ステージクリアボーナス４</flash><br>「ハリーウッド帝国」最終ステージクリアで<br>超レアキャラ「宮木武蔵」を<br>まれに手に入れることが出来るぞ
GiftMessage_010	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>宇宙編第一章を全てクリアすれば、<br>謎のごほうびを<br>手に入れることが出来るぞ
GiftMessage_011	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>未来編第一章を全てクリアすれば、<br>「にゃんコンボ」に新たな力を<br>加えることが出来るぞ
GiftMessage_012	<flash>ステージクリアボーナス５</flash><br>「真・伝説のはじまり」最終ステージクリアで<br>超レアキャラ「ぶんぶんネコライダー」を第3形態<br>に進化することが出来るぞ
GiftMessage_013	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>宇宙編第二章を全てクリアすれば、<br>謎のごほうびを<br>手に入れることが出来るぞ
GiftMessage_014	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>宇宙編第三章を全てクリアすれば、<br>謎のごほうびを<br>手に入れることが出来るぞ
GiftMessage_015	<flash>☆★☆　ステージクリアボーナス　☆★☆</flash><br>宇宙編第三章で謎の生命体を倒せば、<br>謎のごほうびを<br>手に入れることが出来るぞ
GiftMessage_016	<flash>ステージクリアボーナス６</flash><br>「魂底からの帰化」最終ステージクリアで<br>超レアキャラ「土偶戦士ドグ丸」を<br>まれに手に入れることが出来るぞ
GiftMessage_017	<flash>ステージクリアボーナス７</flash><br>「ところてん金鉱」最終ステージクリアで<br>超レアキャラ「フェンリルとウルス」を<br>まれに手に入れることが出来るぞ
GiftMessage_018	<flash>「古代研究所」ステージレベル4に謎の生命体が出現！</flash>
GiftMessage_019	<flash>ステージクリアボーナス８</flash><br>「古代樹の迷宮」最終ステージクリアで<br>超レアキャラ「古神面ドロン」を<br>まれに手に入れることが出来るぞ
GiftMessage_020	<flash>ステージクリアボーナス９</flash><br>「千年獣の霊峰」最終ステージクリアで<br>超レアキャラ「古獣ナーラ」を<br>まれに手に入れることが出来るぞ
GiftMessage_021	<flash>ステージクリアボーナス１０</flash><br>「枯れた思考の庭」最終ステージクリアで<br>超レアキャラ「論の賢者ソラクティス」を<br>まれに手に入れることが出来るぞ
GiftMessage_022	<flash>「古代神樹」ステージレベル4に謎の敵が出現！</flash>
GiftMessage_023	<flash>ステージクリアボーナス１１</flash><br>「万物誘う真理の大渦」最終ステージクリアで<br>超レアキャラ「理の賢者ニュトーン」を<br>まれに手に入れることが出来るぞ
LvUpLimit_txt	パワーアップ可能なレベル上限に達しています
LvUpLimitMax_txt	現バージョンでのレベル上限に達しています
option_qrcode_title	「マイＱＲコード」
option_qrcode_txt1	このコードは特定のイベントで使用するQRコードです。
option_qrcode_txt2	大切な情報なので、必要時の提示以外には利用しないで下さい。
option_qrcode_txt3	読み取りの際は画面を明るくしていただきますようお願いします。
matatabi_growup_1	${itemName}を${Num}個まとめて<br>マタタビの実へと成長させます。<br>※ごくまれに虹マタタビに成長する場合があります
matatabi_growup_2	${itemName}を${Num}個まとめて<br>マタタビの実へと成長させます。
cube_growup_1	${itemName}を${Num}個まとめて<br>獣結晶へと成長させます。
drop_popup_item	${rewardName}<br><color=255,255,0>アイテム</color>「${itemName}+${itemNum}」<br>${itemPossession}
drop_popup_xp	${rewardName}<br>「${itemName}+${itemNum}」
drop_reward	ドロップ報酬<flash>ゲット！！</flash>
score_reward	スコア報酬<flash>ゲット！！</flash>
item_possession	<color=178,178,178>（所持数：${itemNum1} → ${itemNum2}）</color>
drop_popup_chara_first	%@<br>%@「%@」<br><flash>パワーアップ画面から取得可能です。</flash>
drop_popup_treasure	<color=255,255,0>お宝</color>　%@%@<br><flash>ゲット！！</flash>
drop_popup_chara_third_evolve	%@<br>%@<br>「%@」第3形態<br><flash>合計レベル20以上で進化可能です</flash>
drop_popup_chara_third_evolve2	%@<br>%@<br>「%@」第4形態<br><flash>合計レベル50以上で進化可能です</flash>
drop_popup_chara_levelup1	%@<br>%@「%@」ゲット！<br>レベル%d → レベル%d+%d<br><flash>パワーアップしました！</flash>
drop_popup_chara_levelup2	%@<br>%@「%@」ゲット！<br>レベル%d+%d → レベル%d+%d<br><flash>パワーアップしました！</flash>
drop_popup_chara_levelmax1	%@<br>%@「%@」ゲット！<br>レベル%d → レベル%d+%d<br><flash>限界レベルに到達しました！</flash>
drop_popup_chara_levelmax2	%@<br>%@「%@」ゲット！<br>レベル%d+%d → レベル%d+%d<br><flash>限界レベルに到達しました！</flash>
drop_popup_chara_limit	%@<br>%@「%@」ゲット！<br>現段階では、これ以上プラスレベルを<br>パワーアップすることはできません！
drop_rarity_1	EXキャラクター
drop_rarity_2	レアキャラ
drop_rarity_3	激レアキャラ
drop_rarity_4	超激レアキャラ
drop_rarity_5	伝説レアキャラ
nekovitan_Tutorial00	ネコビタンを消費してゲリラステージ等に挑戦できます<br>ネコビタンはアイテムショップ等で入手できます
nekovitan_battle00	戦闘を中止しますか？<br>今ならネコビタンが戻ります（10秒以内）
rareGatya_omakeTicket	このレアガチャをまわすと、1回につき<br><flash>%@</flash>1枚プレゼント！
nekovitan_shop0	ネコビタンが不足しています<br>アイテムショップで購入しますか？
nekovitan_shop1	ネコビタンを購入するために<br>アイテムショップに移動しますか？
kill_application	アプリを終了しますか？
receive_item_none_BoxText	※受信BOXには受け取れるアイテムがありません。
nyanko_club_gift_txt_clubitemID0	<flash>にゃんこクラブゴールド会員<br>レアチケット1枚プレゼント！</flash><br>
nyanko_club_gift_txt_clubitemID1	<flash>にゃんこクラブゴールド会員<br>30日間スピードアップが使い放題！</flash><br>
nyanko_club_expiration_date_txt1	にゃんこクラブゴールド会員の有効期限が<br>あと%d日になりました<br>ゴールド会員の継続はにゃんこクラブより可能です
