item_pack_name_0	Offerta: Pack Friskat!
ranking_description	<flash>Livelli classificati</flash><br>Alza il tuo grado facendo più punti!<br>*È necessaria una connessione per giocare questo livello.<br>*Grado e punteggio verranno azzerati alla fine dell'evento.
ranking_unauthorized	Friskat insufficiente... <br>Per affrontare questo livello è richiesto il Friskat.
ranking_suspend	Lasciare la battaglia?
ranking_error01	Impossibile connettersi ai server della classifica.
ranking_default	―
ranking_title01	Gran Maestro
ranking_title02	Maestro
ranking_title03	Esperto
ranking_title04	Valente
ranking_title05	Discepolo
ranking_title06	Iniziato
ranking_title07	Apprendista
ranking_resultcomment	<flash>Classifica attuale: Top %d％</flash><br>Otterrai il grado di "%@"!
ranking_start	<flash>Classifica dojo ATTIVA!</flash><br>(Periodo classifica:%d/%02d/%02d - %d/%02d/%02d)<br>Affronta altri giocatori nei livelli classificati!<br>Ottieni ricompense per il tuo punteggio alla fine dell'evento!
ranking_announce01	<flash>Risultati evento classificato</flash><br>(Periodo classifica:%d/%02d/%02d - %d/%02d/%02d)<br>Classifica attuale: Top %d%<br>Riscatta le ricompense nella Posta!<br>(Le ricompense non riscattate scadranno dopo 1 mese)
ranking_announce02	<flash>Annuncio classifica dojo:</flash><br>(Evento attivo: %d/%02d/%02d - %d/%02d/%02d)<br>Risultato finale: Top %d!<br>Nessuna ricompensa ottenuta...<br>Sarà per la prossima!
ranking_no_reward	Nessuna
urguerrilla_warning00	Supera il livello %d volta/e prima che sparisca!<br>Prova finché non raggiungi il limite di tentativi!
mission_receive_achieved	<flash>Missione compiuta!</flash>
mission_receive_item	<color=255,255,0>Ricompensa: ${itemName} x ${itemNum}</color>
mission_receive_item_xp	<color=255,255,0>Ricompensa: +${itemNum} ${itemName}</color>
mission_receive_item_chara	<color=255,255,0>Ricompensa unità Gatto: "${charaName}"</color>
mission_receive_item_chara_evolve	<color=255,255,0>Ricompensa Forma Reale: "${charaName}"</color>
everyplay_mapname_E	Livello speciale
everyplay_mapname_N	Saghe leggendarie
everyplay_mapname_S	Livelli speciali
everyplay_mapname_C	Collaborazioni
everyplay_mapname_T	Dojo miciodiale
everyplay_mapname_V	Livelli speciali
everyplay_mapname_J	Impero dei Gatti Cap. %d
everyplay_mapname_W	Verso il futuro Cap. %d
everyplay_mapname_P	Gatti del Cosmo Cap. %d
everyplay_mapname_Z	(Zombi)
lang	it
network_unavailable	Impossibile accedere alla rete
connecting	Connessione...
error	Errore riscontrato
gamecenter_noauth	Effettua l'accesso al Game Center.
purchase_unavailable	Acquisti non abilitati. Abilita gli acquisti in-app nelle Impostazioni in Restrizioni.
purchase_failed	Acquisto non riuscito
purchase_verifying	Conferma acquisto...
disconnected	Disconnesso
invalid_data_received	Dati non validi
nekokan_bonus_msg	<span class='kakoi2'>Risparmia %d!</span>
Copied_txt	Copiato negli appunti
err_txt	Errore lettura dati
err_v_txt	La versione di questo gioco\nnon supporta\ni dati da trasferire.\nAggiorna il gioco\nprima di continuare\ntoccando "Aggiorna".
nyanko_url	https://ponosgames.com/dl/index_it.html
nyanko_update	Aggiorna
catfoodbuy_txt	Acquisto avvenuto!
catfoodtapjoy_txt	Hai ricevuto %d<br>Friskat!
adreward_txt	Hai ricevuto<br>%@ +%d!
twitter_hash	#battlecats
yes_txt	Sì
no_txt	No
Rank_txt0	Grado giocatore
Rank_txt1	La somma del punteggio della tua unità e dell'oggetto
Rank_txt2	determinerà il tuo grado giocatore!
Rank_txt3	Supera un determinato Grado giocatore per ottenere
Rank_txt4	bonus speciali e ricompense di gioco!
downloading	Download.
download_wrn_cellular	Nessuna connessione Wi-Fi rilevata.\n*Verranno utilizzati i dati di rete mobile.\nPotrebbero esserti addebitati costi aggiuntivi.
download_err	Download non riuscito.\nVerifica la rete.
download_retry	Riprova
warning_text1	"The Battle Cats" è completamente gratuito,
warning_text2	tuttavia sono presenti dei contenuti a pagamento.
url_err	Non compatibile con la versione attuale o attualmente non disponibile.
sign_in	Accedi
sign_out	Esci
model_conversion	Salvataggi
notice	Notif. push
push_on	SÌ
push_off	NO
local_push	Notif. push
local_notification	L'energia felina è completa!
local_notification_expedition	GAMATOTO è tornato!
google_1	Caricamento
google_2	Salvataggio
google_3	Ricezione
nyanko_storage	Inviato alla Rimessa felina %d
settle_nyanko	Hai %d di questo.
boss_hp	Salute boss:
clear_1	Primo bonus superato!
clear_2	30 Friskat!
pause_1	Al momento c'è una battaglia in corso.
pause_2	Vuoi continuare questa battaglia?
ok_txt	OK
evolveWarningText0	Livello
evolveWarningText1	XP
evolveWarningText2	Oggetti
evolveWarningText3	Insufficiente 
evolveWarningText4	/
gamatotoReward_1	Friskat scoperto!
gamatotoReward_1_1	Fortuna concessa!
gamatotoReward_2	Guarda un video per scavare!
gamatotoReward_3	*Ricevi una quantità casuale degli oggetti indicati di seguito.
gama_collabo_00_popup	<flash>Collaborazione PowerPro Baseball!</flash><br>"Gunder", la mascotte di PowerPro<br>appare per aiutare la squadra di Gamatoto!<br>Durante la collaborazione, le ricompense di Gamatoto aumentano!<br>*Il Friskat non aumenterà.
gama_collabo_00_name	Gunder
gama_collabo_00_charatext	Eroe canino, qui da PowerPro per un<br>periodo limitato! Aumenta le ricompense di Gamatoto!<br>*Il Friskat non aumenterà.
gama_collabo_01_popup	<flash>Shoumetsu Toshi Collab!</flash><br>Takuya's loyal buddy "The Geek"<br>appears to help the Gamatoto crew!<br>During the collab, Gamatoto rewards increase!<br>※ Cat Food drops will not increase.
gama_collabo_01_name	The Geek
gama_collabo_01_charatext	A tech wizard, visiting from Shoumetsu Toshi<br>for a limited time! Increases Gamatoto rewards!<br>※ Cat Food drops will not increase.
gama_collabo_02_popup	<flash>Collaborazione Merc Storia!</flash><br>Il mostriciattolo "Toto"<br>appare per aiutare la squadra di Gamatoto!<br>In questo periodo, le ricompense di Gamatoto aumentano!<br>* Friskat escluso.
gama_collabo_02_name	Toto
gama_collabo_02_charatext	Un mini mostro alleato, qui da Merc Storia per un<br>periodo limitato! Aumenta le ricompense di Gamatoto!<br>* Il Friskat non aumenterà.
beginnerPack1_Title	Pack iniziale da $0,00 acquistato!
beginnerPack2_Title	Pack iniziale da $0,00 acquistato!
beginnerPack3_Title	Pack iniziale da $0,00 acquistato!
rankupSale1_Title	Che affare! 160 Friskat acquistati!
rankupSale2_Title	Che affare! 150.000 XP acquistati!
rankupSale3_Title	Che affare! Grande set oggetti acquistato!
beginnerPack1	Friskat: %d→
beginnerPack2	XP: %d→
beginnerPack3	Radar tesori: %d→
beginnerPack4	Gatto riccone: %d→
beginnerPack5	Gatto secchione: %d→
beginnerPack6	Gatto cecchino: %d→
beginnerPack1_result	%d
beginnerPack2_result	%d
beginnerPack3_result	%d
beginnerPack4_result	%d
beginnerPack5_result	%d
beginnerPack6_result	%d
rankupSale1	Friskat %d→ 
rankupSale2	XP %d→ 
rankupSale3	Acceleraz. %d→ 
rankupSale4	Radar tesori %d→ 
rankupSale5	Gatto CPU %d→ 
rankupSale1_result	%d
rankupSale2_result	%d
rankupSale3_result	%d
rankupSale4_result	%d
rankupSale5_result	%d
tapjoy_video_error	Errore nella riproduzione del video. Verifica la connessione.
line_appli_url	https://itunes.apple.com/app/line/id443904275?mt=8
line_appli_url_android	https://play.google.com/store/apps/details?id=jp.naver.line.android
line_message	Sto conquistando il mondo con The Battle Cats! Gioca gratis!
serial_txt1	Codice seriale inserito con successo!\nConferma la ricompensa toccando il pulsante "Posta" nella Schermata del titolo.
serial_txt2	*Puoi accedere dopo aver superato il livello giapponese.
serial_txt3	*Devi avere effettuato l'accesso al Game Center per ricevere il regalo.
serial_txt4	*Questo codice seriale per un regalo non accettato non è più valido.\nConferma i dettagli nel menu Inserimento Codice.
warningtxt1	Questa app è stata ripristinata alle impostazioni\noriginali. Nessun dato trovato.
autoSave_txt1	Codice di richiesta\n%@\nQuesto codice serve a recuperare i tuoi dati.\nConfermato nel menu del titolo o nel menu Opzioni.
autoSave_txt2	Codice di richiesta:
autoSave_txt3	Conserva il tuo Codice di richiesta!
autoSave_txt4	Senza questa informazione, non potrai recuperare i tuoi progressi se li perdi.
autoSave_txt5	Codice di richiesta
autoSave_txt6	Conserva questo numero per evitare la perdita di dati!
collaboration_txt1	Regali collab: %d!
collaboration_txt2	Hai ricevuto un regalo collab!
nyancombo_txt1	Tocca per vedere nome unità
nyancombo_txt2	<color=255,212,0>[Normale]</color>
nyancombo_txt3	<color=255,212,0>[Speciale]</color>
nyancombo_txt4	<color=255,212,0>[Rara]</color>
nyancombo_txt5	<color=255,212,0>[Super rara]</color>
nyancombo_txt6	<color=255,212,0>[Ultra rara]</color>
nyancombo_txt7	<color=255,212,0>[Leggendaria]</color>
nyancombo_txt8	???
nyancombo_txt9	 ？？？？？
nyancombo_txt10	Posiziona le giuste unità negli slot in alto e sblocca abilità speciali!
nyancombo_txt11	Tocca 2 volte una combo felina per impostare automaticam. le unità!
nyancombo_pop0	Tutte le unità "%@" saranno
nyancombo_pop1	impostate nella formazione battaglia.
nyancombo_pop2	Confermi?
pictureBook1	Combo felina: %@
pictureBook2	Usa il suggerimento per attivare la combo!
picBook_getCatFood	<flash>%@ sbloccato!</flash> Hai ricevuto 5 Friskat!<br>
picBook_filteringMiss1	Nessuna unità corrisponde a questo filtro!
picBook_filteringMiss2	Prova un'altra ricerca!
picBook_Rarity0	Normale
picBook_Rarity1	Speciale
picBook_Rarity2	Raro
picBook_Rarity3	Super raro
picBook_Rarity4	Ultra raro
picBook_Rarity5	Leggendario
gamestop	I dati attuali violano\nl'Accordo di licenza del software di The Battle Cats.\nNon è possibile continuare il gioco su questi dati.
gamestop_base	L'account è stato sospeso.<br>Ritorno al titolo.
daily_login_date	Giorno %d
filter_err1	Nessuna unità corrisponde a questo filtro!
filter_err2	Prova un'altra ricerca!
exstage_text1	Livello speciale: "%@" sbloccato!
exstage_text2	Affrontare la sfida?
exstage_text3	In questo liv. non puoi usare gli effetti degli oggetti attuali (tranne Accelerazioni).
unit_evol_0	f
unit_evol_1	c
unit_evol_2	s
unit_evol_3	u
img001.png	img001_it.png
img001.imgcut	img001_it.imgcut
img002.png	img002_it.png
img002.imgcut	img002_it.imgcut
img004.png	img004_it.png
img004.imgcut	img004_it.imgcut
img006.png	img006_it.png
img006.imgcut	img006_it.imgcut
img008.png	img008_it.png
img008.imgcut	img008_it.imgcut
img009.png	img009_it.png
img009.imgcut	img009_it.imgcut
img010.png	img010_it.png
img010.imgcut	img010_it.imgcut
img011.png	img011_it.png
img011.imgcut	img011_it.imgcut
img012.png	img012_it.png
img012.imgcut	img012_it.imgcut
img019.png	img019_it.png
img019.imgcut	img019_it.imgcut
img022.png	img022_it.png
img022.imgcut	img022_it.imgcut
img023.png	img023_it.png
img023.imgcut	img023_it.imgcut
img024.png	img024_it.png
img024.imgcut	img024_it.imgcut
img027.png	img027_it.png
img027.imgcut	img027_it.imgcut
img028.png	img028_it.png
img028.imgcut	img028_it.imgcut
img029.png	img029_it.png
img029.imgcut	img029_it.imgcut
img031.png	img031_it.png
img031.imgcut	img031_it.imgcut
img033.png	img033_it.png
img033.imgcut	img033_it.imgcut
img037.png	img037_it.png
img037.imgcut	img037_it.imgcut
img041.png	img041_it.png
img041.imgcut	img041_it.imgcut
img100.png	img100_it.png
img100.imgcut	img100_it.imgcut
item000.png	item000_it.png
ec047.png	ec047_it.png
ec047.imgcut	ec047_it.imgcut
ec048.png	ec048_it.png
ec048.imgcut	ec048_it.imgcut
nyancombo_autoset1	Le unità "%@" saranno<br>impostate nella formazione di battaglia.<br>OK?
nyancombo_autoset2	Le unità "%@" saranno<br>impostate nella formazione di battaglia.<br><color=255,0,0>I Gatti attualmente in formazione saranno sostituiti.<br>OK?</color>
nyancombo_autoset3	Alcuni Gatti devono essere evoluti prima che tu possa mettere<br>"%@" in formazione.<br>*Conferma le evoluzioni attuali dei tuoi Gatti!
challenge_popup	Un benvenuto a Battaglia sfida!<br>Ottieni punti più alti sconfiggendo tutti i nemici il più velocemente possibile!<br>Prova tutte le volte che vuoi per raggiungere i gradi più alti!<br>*Non è possibile usare oggetti in questi livelli.
everyplay_mapname_M	Livelli speciali
everyplay_mapname_R	Livelli classificati
stage_restriction_dot	・
stage_restriction_cost_over	Solo %d￠ o più
stage_restriction_cost_under	Solo %d￠ o meno
stage_restriction_cost_just	Solo %d￠
stage_restriction_limit_1	Rarità: solo <color=255,255,0>%@</color>
stage_restriction_limit_2	Numero max di Gatti schierabili: <color=255,255,0>%d</color>
stage_restriction_limit_3	Schiera solo dalla fila <color=255,255,0>%d</color>
stage_restriction_limit_4	Costo schieramento Gatti: <color=255,255,0>%@</color>
stage_restriction_limit_5	Restrizione unità: <color=255,255,0>%@</color>
stage_restriction_text_0	Restrizione battaglia
stage_restriction_text_1	Questa formazione non rispetta le condizioni!
stage_restriction_warning	Questa unità non può essere schierata!
stage_restriction_level_select	<color=255,255,0>Restrizioni battaglia</color>
stage_restriction_charagroup_1	
stage_restriction_charagroup_2	No Mini Homura/Homura Akemi
stage_restriction_charagroup_3	No Bebe/Nagisa & Gatto
initializing_adgeneration	Caricamento funzionalità.\nAttendi.
VAMPErrorCodeNotSupportedOsVersion	The Battle Cats non supporta questa versione del sistema operativo.
VAMPErrorCodeUnknown	Errore sconosciuto
VAMPErrorCodeServerError	Errore di connessione
VAMPErrorCodeNoAdnetwork	Timeout connessione
VAMPErrorCodeNeedConnection	Nessuna connessione di rete
VAMPErrorCodeMediationTimeout	Timeout connessione
VAMPErrorCodeUserCancel	Eliminato
VAMPErrorCodeNoAdStock	Annuncio non disponibile
VAMPErrorCodeAdnetworkError	Timeout connessione
VAMPIncentiveError	Impossibile ottenere per un<br>errore di lettura...
everyplay_community_url	https://everyplay.com/the-battle-cats/home
GiftMessage_000	<flash>☆★☆ Oggetto bonus ☆★☆</flash><br>Supera "Impero dei Gatti" Cap. 2<br>e ottieni Gatto Valchiria!
GiftMessage_001	<flash>☆★☆ Oggetto bonus ☆★☆</flash><br>Supera "Impero dei Gatti" Cap. 3<br>e ottieni Gatto Bahamut!
GiftMessage_002	<flash>☆★☆ Oggetto bonus ☆★☆</flash><br>Supera "Verso il futuro" Cap. 2 per<br>sbloccare la Forma Reale del Gatto Valchiria!
GiftMessage_003	<flash>☆★☆ Oggetto bonus ☆★☆</flash><br>Supera il livello greco per sbloccare<br>l'unità speciale "Gatti in baccello"
GiftMessage_004	<flash>☆★☆ Oggetto bonus ☆★☆</flash><br>Supera "Impero dei Gatti" Cap. 1 per sbloccare<br>l'unità speciale "Moneko"
GiftMessage_005	<flash>Ricompensa livello 1</flash><br>Supera "La grande fuga" per<br>una possibilità di ottenere l'unità speciale<br>Lupo Ururun!
GiftMessage_006	<flash>Ricompensa livello 2</flash><br>Supera "Volpe santa" per<br>una possibilità di ottenere l'unità speciale<br>Mini Nyandam!
GiftMessage_007	<flash>☆★☆ Oggetto bonus ☆★☆</flash><br>Supera "Verso il futuro" Cap. 3 per<br>sbloccare la Forma Reale del Gatto Bahamut!
GiftMessage_008	<flash>Ricompensa livello 3</flash><br>Supera "Imparare ad amare" per<br>una possibilità di ottenere l'unità speciale<br>Cappuccetto Mina!
GiftMessage_009	<flash>Ricompensa livello 4</flash><br>Supera "Multiversal Studios" per<br>una possibilità di ottenere l'unità speciale<br>Miyamoku Musashi!
GiftMessage_010	<flash>☆★☆ Ricompensa livello 1 ☆★☆</flash><br>Supera "Gatti del Cosmo" Cap. 1<br>e ricevi una ricompensa misteriosa...
GiftMessage_011	<flash>☆★☆ Oggetto bonus ☆★☆</flash><br>Supera "Verso il futuro" Cap. 1 per sbloccare<br>nuove combo feline da usare in battaglia!
GiftMessage_012	<flash>Bonus livello!</flash><br>Supera il livello finale di "Una nuova leggenda"<br>per sbloccare la Forma Reale del Mech-Bum!
GiftMessage_013	<flash>Bonus livello!</flash><br>Supera il livello finale di "La passione del Gatto Divino"<br>per sbloccare una ricompensa misteriosa!
GiftMessage_014	<flash>☆★☆ Bonus livello ☆★☆</flash><br>Supera il livello finale del<br>Capitolo 3 e ottieni<br>un'incredibile ricompensa!
GiftMessage_015	<flash>☆★☆ Bonus livello ☆★☆</flash><br>Sconfiggi la potente entità che ti attende<br>nel Capitolo 3 e ottieni<br>un'incredibile ricompensa!
GiftMessage_016	<flash>Ricompensa livello 6</flash><br>Supera "Anime primitive" per<br>una possibilità di ottenere l'unità speciale<br>Canumaru!
GiftMessage_017	<flash>Ricompensa livello 7</flash><br>Supera il livello finale di "Miniere gelatina"<br>per una piccola possibilità di sbloccare<br>il Gatto speciale "Urs & Fenrir"!
GiftMessage_018	<flash>Una strana forma di vita appare nel Laboratorio di cimeli (livello 4)!</flash>
LvUpLimit_txt	Questa unità ha raggiunto il livello massimo possibile.
LvUpLimitMax_txt	Livello massimo per la versione attuale raggiunto.
option_qrcode_title	Il mio codice QR
option_qrcode_txt1	Questo codice QR può essere usato per eventi speciali.
option_qrcode_txt2	Non usare questo codice al di fuori dei periodi di evento indicati.
option_qrcode_txt3	Assicurati che la luminosità dello schermo sia sufficiente per leggere il codice.
matatabi_growup_1	Verranno usati ${Num} ${itemName}<br>per fare un miagrume intero. <br>*Rara prob. di miagrume epico!
matatabi_growup_2	Verranno usati ${Num} ${itemName}<br>per fare un miagrume intero.
drop_popup_item	${rewardName}<br><color=255,255,0>Oggetto</color> ${itemName} +${itemNum}<br>${itemPossession}
drop_popup_xp	${rewardName}:<br>${itemName} +${itemNum}
drop_reward	Ricompensa <flash>guadagnata!!</flash>
score_reward	Ricompensa punteggio <flash>guadagnata!!</flash>
drop_popup_chara_first	%@<br>%@: hai ricevuto "%@"!<br><flash>È attivabile nel menu Potenzia!</flash>
drop_popup_treasure	<color=255,255,0>Tesoro:</color>%@%@<br><flash>ricevuto!</flash>
drop_popup_chara_third_evolve	%@<br>%@: hai ricevuto la forma reale di "%@"!<br><flash>Sblocca dopo aver raggiunto il livello 20!</flash>
drop_popup_chara_levelup1	Hai ricevuto:%@<br>%@ %@! <br><flash>Potenziato al</flash><br>livello %d → livello %d +%d
drop_popup_chara_levelup2	Hai ricevuto:%@<br>%@ %@!<br><flash>Potenziato al</flash><br>livello%d+%d → livello %d +%d
drop_popup_chara_levelmax1	Hai ricevuto:%@<br>%@ %@!<br><flash>Nuovo Limite livello massimo!</flash><br>Livello%d → livello %d +%d
drop_popup_chara_levelmax2	Hai ricevuto:%@<br>%@ %@!<br><flash>Nuovo Limite livello massimo!</flash><br>Livello %d +%d → livello %d +%d
drop_popup_chara_limit	Hai ricevuto:%@<br>%@ %@!<br>Non puoi potenziare a<br>ulteriori livelli massimi in questa fase.
drop_rarity_1	Gatti speciali
drop_rarity_2	Gatti rari
drop_rarity_3	Gatti super rari
drop_rarity_4	Gatti ultra rari
drop_rarity_5	Unità leggendarie
nekovitan_Tutorial00	Usa le Vitamiao rimanenti per affrontare questi livelli Blitz!<br>Acquista Vitamiao usando il Friskat al negozio di oggetti!
nekovitan_battle00	Rinunciare a questa battaglia?<br>Le Vitamiao ti verranno restituite (10 sec. o meno di durata battaglia)
rareGatya_omakeTicket	Sorteggia alle capsule rare per un regalo unico: <br><flash>%@</flash>
nekovitan_shop0	Vitamiao insufficienti!<br>Andare al negozio di oggetti?
nekovitan_shop1	Andare al negozio di oggetti<br>per far scorta di Vitamiao?
kill_application	Uscire dall'app?
receive_item_none_BoxText	*Nessun oggetto disponibile da riscattare nella Posta.
nyanko_club_gift_txt_clubitemID0	<flash>Pass oro del Club Ufficiali!<br>La tua ricompensa: 1 Biglietto raro!</flash><br>
nyanko_club_gift_txt_clubitemID1	<flash>Pass oro del Club Ufficiali!<br>30 giorni di Accelerazioni illimitate!</flash><br>
nyanko_club_expiration_date_txt1	Il tuo Pass oro è valido<br>solo per altri %d giorni!<br>Rinnova il Pass oro al Club Ufficiali!
nyanko_club_expiration_date_txt2	Il tuo Pass oro sta per<br>scadere!<br>Rinnova il Pass oro al Club Ufficiali!
nyanko_club_error_time_manipulation_txt1	È stato riscontrato un problema con l'orario del dispositivo. *Per risolversi potrebbero essere necessarie fino a 48 ore dopo l'ultima modifica di orario.
nyanko_club_error_already_gold_txt1	Hai già un Pass oro attivo!
nyanko_club_error_gold_400_txt1	-Si è verificato un errore-
nyanko_club_error_gold_500_txt1	Si è verificato un errore.
nyanko_club_error_out_of_term_txt1	Al momento non è possibile acquistare questo oggetto.
nyanko_club_error_gold_none_user_data_txt1	Si è verificato un errore...
nyanko_club_error_normal_none_user_ID_txt1	--Si è verificato un errore--
nyanko_club_error_normal_400_txt1	*Si è verificato un errore*
nyanko_club_error_normal_500_txt1	Si è verificato un errore.
nyanko_club_error_other_txt1	Errore di connessione
nyanko_club_char_change_txt1	Tocca per cambiare icona
potential_exchange_np	L'elemento verrà scambiato per NP.<br>Vuoi davvero farlo?(%d → <color=255,255,0>%d</color>)
potential_exchange_np_set	Scambierai %d per NP.<br>Vuoi davvero farlo?<br>(%d → <color=255,255,0>%d</color>)
potential_exchange_all_item	Tutto verrà scambiato.<br>Vuoi NP o XP?
potential_exchange_all_item_np	Le unità nella Rimessa verranno<br>scambiate per NP.<br>Vuoi davvero farlo? (%d → <color=255,255,0>%d</color>)
potential_exchange_gatya_result	Scambiare per NP o XP?
potential_skill_acquisition	Spendere NP per sbloccare<br>un talento?
potential_skill_levelup	Spendere NP per potenziare<br>un talento?
potential_skill_warning00	NP insufficienti.
potential_skill_lvmax	Potenziamento livello massimo raggiunto!<br>Hai raggiunto il livello<br>più alto possibile in questa versione.
potential_exchange_error	Nessun altro oggetto o unità può<br>essere scambiato per NP.
potential_skill_get	Tutti i potenziamenti sbloccati per questo talento.
potential_acquisition_result	<flash>Hai sbloccato %@!<flash>
potential_levelup_result	<flash>%@ potenziato al livello %d!<flash>
potential_skill_name01	Indebolimento
potential_skill_name02	Immobilità
potential_skill_name03	Rallentamento
potential_skill_name04	Attacco mirato
potential_skill_name05	Efficace
potential_skill_name06	Forte vs
potential_skill_name07	Danni enormi
potential_skill_name08	Respinta
potential_skill_name09	Teletrasporto
potential_skill_name10	Rafforza
potential_skill_name11	Sopravvivenza
potential_skill_name12	Distruttore di basi
potential_skill_name13	Danni critici
potential_skill_name14	Ammazza zombi
potential_skill_name15	Sfondamento
potential_skill_name16	Più soldi
potential_skill_name17	Attacco a ondata
potential_skill_name18	Resistente a indebolimento
potential_skill_name19	Resistente a immobilità
potential_skill_name20	Resistente a rallentamento
potential_skill_name21	Resistente a respinta
potential_skill_name22	Resistente a ondate
potential_skill_name23	Immunità da ondate
potential_skill_name24	Blocca teletrasporto
potential_skill_name25	Costo ridotto
potential_skill_name26	Accelerazione recupero
potential_skill_name27	Accelerazione movimento
potential_skill_name28	Respinta migliorata
potential_skill_name29	Immunità da maledizioni
potential_skill_name30	Resistente a maledizioni
potential_skill_name31	Aumento attacco
potential_skill_name32	Aumento difesa
potential_skill_name33	Obiettivo rosso
potential_skill_name34	Obiettivo fluttuante
potential_skill_name35	Obiettivo nero
potential_skill_name36	Obiettivo metallico
potential_skill_name37	Obiettivo angelico
potential_skill_name38	Obiettivo alieno
potential_skill_name39	Obiettivo zombi
potential_skill_name40	Obiettivo antico
potential_skill_name41	Obiettivo senza tratti
potential_skill_name44	Immune da indebolimento
potential_skill_name45	Immune da immobilità
potential_skill_name46	Immune da rallentamento
potential_skill_name47	Immune da respinta
potential_skill_name48	Immune da ondate
potential_skill_name49	Blocca teletrasporto
potential_skill_name50	Colpo letale
potential_skill_name51	Schiva attacchi
potential_skill_name52	Resistente a veleno
potential_skill_name53	Immune a veleno
potential_skill_name54	Resistente a valanga
potential_skill_name55	Immune a valanga
potential_skill_name56	Attacco a valanga
return_stageselect_error00	Questo evento è terminato...<br>Ritorno alla Base felina...
return_stageselect_error01	Questo evento non può essere più affrontato...<br>Ritorno alla Base felina...
return_stageselect_error02	Una ricompensa ti attende!<br>Ritorno alla Base felina!
h13_inquiry_button	Invia segnalazione
h13_inquiry_error	Impossibile accedere alla connessione di rete.\nVerifica la connessione\ne riprova.
filter_option_description0	<color=0,0,0>Imposta i tuoi Preferiti nel menu Guida felina<br>per visualizzare rapidamente solo quei Gatti!<br>Devi impostare almeno un Preferito per selezionare questa opzione filtro.</color>
filter_option_description1	<color=0,0,0>Mostra solo i Gatti che corrispondono alle Restrizioni del livello.</color>
sort_tutorial_txt1	<flash>Le opzioni ordina e filtra sono state sbloccate!</flash><br>È possibile filtrare utilizzando<br>il pulsante a destra del centro. L'ordinamento si effettua con<br>il pulsante a sinistra del centro.
item_pack_purchased_chara	%@ Unità<color=255,255,0>「%@」</color><br>
enemy_list_title	Nemici che appariranno
enemy_name_question	???
calendar_title	L'evento che hai selezionato è iniziato!
calendar_error	Si è verificato un errore con la comunicazione con il server o con<br>l'orario del dispositivo. Controlla la<br>connessione di rete o le impostazioni dell'orologio.
legendquest_tutorial1	Un benvenuto alle Imprese leggendarie!<br>Affronta un livello speciale<br>con una selezione casuale di Gatti!
legendquest_tutorial2	Servono corone per affrontare questo livello!<br>Ottienile superando i livelli da 1-4<br>delle mappe leggendarie.
legendquest_tutorial3	Attenzione! Abbandonare una battaglia Impresa leggendaria<br> non ti restituirà corone, energia<br>o oggetti!
legendquest_Cancel	Abbandonare la battaglia?<br><color=255,0,0>Corone, energia e oggetti non saranno restituiti.</color>
legendquest_warning	Corone insufficienti...<br>Ottieni corone superando i livelli<br>delle mappe leggendarie.
legendquest_popup	<flash>Impresa leggendaria</flash><br>Affronta un livello casuale con una formazione casuale!<br>* Usa le corone ottenute dai livelli leggendari e l'energia per affrontarlo!<br>* Ogni tentativo farà aumentare il costo in corone per accedere alla battaglia.<br>* Corone, energia e oggetti non saranno restituiti se abbandoni la battaglia.
score_sns	I Battle Cats hanno segnato %d punti su "%@"!%s %s
legend_sns	I Battle Cats hanno invaso l'Impresa leggendaria "%@"! %s %s
nekodojo_sns	I Battle Cats hanno segnato %d punti su "%@" nel dojo miciodiale!%s %s
ranking_sns	I Battle Cats hanno segnato %d punti su "%@" nei livelli classificati!%s %s
challenge_sns	I Battle Cats hanno segnato %d punti su "%@" nella battaglia sfida!%s %s
tower_sns	I Battle Cats hanno conquistato %@ della Torre celestiale! %s %s
sns_txt1	I Battle Cats hanno invaso "%@" nella loro conquista del mondo! %s %s
gpp_item_popup	Hai ottenuto una ricompensa!<br>Controlla la Posta per ricevere gli oggetti!
age_confirmation	A causa di modifiche alla politica dell'app store,<br>devi confermare la tua data di nascita<br>per assicurare annunci pubblicitari appropriati.
error_age_confirmation	Si è verificato un errore di connessione.<br>Controlla la tua connessione di rete.
restart_item	<flash>Pack ritorno acquistato!</flash><br>Impero dei Gatti Cap. 3 superato!<br>13 unità Gatto ricevute!<br>10 Miaobiglietti ricevuti!<br>1 Biglietto raro ricevuto!
restart_overwrite	Vuoi usare il pack ritorno?<br><color=255,0,0>*Usare il pack ritorno sovrascriverà i progressi di gioco esistenti.<br>*Se non lo usi, i contenuti acquistati non saranno validi.</color>
restart_reflect	I contenuti acquistati sono ora disponibili.<br>Impero dei Gatti è stato superato!<br>Biglietti capsule ricevuti!
slot_message	Hai ricevuto %s x<flash>%d</flash>!
slot_lastmessage	Risultato finale!
slot_SNS_000	Ho ricevuto %s Friskat dalle Slot Feline su #TheBattleCats!<br>#BattleCats
medal_txt1	%s
medal_txt2	%d Medaglie ricevute!
medal_unknown	???<br>???
line_Confirmation	LINE non installato.<br>Visitare l'app store?
talk_Reward	Hai ricevuto %@<flash>x%@</flash>!
talk_000_push	Ho un altro favore da chiedere... (Ф∀Ф)✧
DL_permission	Verranno scaricati i dati di gioco più recenti.<br>Ti consigliamo di connetterti a una rete<br>Wi-Fi stabile prima di cominciare l'installazione.<br>* Le opzioni per la lingua si trovano nel menu Impostazioni.<br>Download rimanente: %s MB
