item_pack_name_0	Packaktion: Katzenbatzenpaket!
beacon_event_held2	イベント報酬を受け取ると<br>取得済マークがつくにゃ
beacon_bluetooth_off	にゃんこビーコン受信するなら<br>Bluetoothをオンにして<br>ほしいにゃ～
beacon_location_off	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_location_authorization	にゃんこビーコン受信するなら<br>位置情報の利用を許可して<br>ほしいにゃ～
beacon_pushinfo_off	にゃんこビーコン受信するなら<br>プッシュ通知設定をオンにするにゃ
beacon_wifi_off	にゃんこビーコン受信するなら<br>Wi-Fiをオンにするにゃ
beacon_reward_before	にゃんこビーコン報酬はまだ取得していません
beacon_reward_received	にゃんこビーコン報酬は受け取り済みです
beacon_event_2017520	京都みやこめっせで記念キャラを取得しよう！<br>5/20～5/21に開催されるBitSummit2017会場の<br>にゃんこブースに訪問すれば<br>記念キャラ「ネコまねき」を取得可能！<br>※にゃんこビーコン受信設定が必要です<br>※詳細はバナーをタップ！
beacon_unsupported_device	この端末/OSバージョンには対応していません
not_enough_space_left_on_device	Download fehlgeschlagen, weil nicht genug Speicherplatz frei ist.
ranking_description	<flash>Ranglisten-Level</flash><br>Steige im Rang auf, indem du mehr Punkte erzielst!<br>*Für dieses Level ist eine Netzwerkverbindung nötig.<br>*Ränge und Punkte werden nach dem Event zurückgesetzt.
ranking_unauthorized	Nicht genug Katzenbatzen ...<br>Um dieses Level zu versuchen, sind Katzenbatzen nötig.
ranking_suspend	Kampf verlassen?
ranking_error01	Verbindung zum Ranglistenserver fehlgeschlagen.
ranking_default	―
ranking_title01	Großmeister
ranking_title02	Meister
ranking_title03	Experte
ranking_title04	Adept
ranking_title05	Schüler
ranking_title06	Neuling
ranking_title07	Lehrling
ranking_resultcomment	<flash>Aktueller Rang: Top %d %%</flash><br>Du erreichst Rang „%@“!
ranking_start	<flash>JETZT: Dojo-Rangliste!</flash><br>(Ranglisten-Laufzeit: %d/%02d/%02d–%d/%02d/%02d)<br>Spiele gegen andere Spieler in Ranglisten-Leveln!<br>Du erhältst Belohnungen für deine Punkte, wenn das Event endet!
ranking_announce01	<flash>Ergebnisse des Ranglistenevents</flash><br>(Ranglisten-Laufzeit: %d/%02d/%02d–%d/%02d/%02d)<br>Aktueller Rang: Top %d %<br>Deine Belohnungen liegen im Briefkasten!<br>(Nicht abgeholte Belohnungen verfallen nach 1 Monat.)
ranking_announce02	<flash>Dojo-Ranglisten-Ankündigung:</flash><br>(Eventzeit: %d/%02d/%02d–%d/%02d/%02d)<br>Endergebnis: Top %d!<br>Keine Belohnungen verdient.<br>Mehr Glück beim nächsten Mal!
ranking_no_reward	–
urguerrilla_warning00	%dx abschließen, bevor dieses Level verschwindet!<br>Gib nicht auf, bis du das Levelabschlusslimit erreichst!
mission_receive_achieved	<flash>Mission erfüllt!</flash>
mission_receive_item	<color=255,255,0>Belohnung: ${itemNum}x ${itemName}</color>
mission_receive_item_xp	<color=255,255,0>Belohnung: +${itemNum} ${itemName}</color>
mission_receive_item_chara	<color=255,255,0>Katzeneinheitsbelohnung: „${charaName}“</color>
mission_receive_item_chara_evolve	<color=255,255,0>Wahre-Form-Belohnung: „${charaName}“</color>
everyplay_mapname_E	Sonderlevel
everyplay_mapname_N	Legenden
everyplay_mapname_S	Sonderlevel
everyplay_mapname_C	Kollaborationen
everyplay_mapname_T	Katzenkrallendojo
everyplay_mapname_V	Sonderlevel
everyplay_mapname_J	Katzenimperium Kap. %d
everyplay_mapname_W	Zukunftsreise Kap. %d
everyplay_mapname_P	Kosmische Katzen Kap. %d
everyplay_mapname_Z	(Zombie)
lang	de
network_unavailable	Netzwerkverbindung nicht möglich
connecting	Verbinden ...
error	Fehler aufgetreten
gamecenter_noauth	Melde dich bei Game Center an.
purchase_unavailable	Käufe deaktiviert. Bitte aktiviere In-App-Käufe in den Einstellungen unter Beschränkungen.
purchase_failed	Kauf fehlgeschlagen
purchase_verifying	Kauf bestätigen ...
disconnected	Verbindung getrennt
invalid_data_received	Ungültige Daten erhalten
nekokan_bonus_msg	<span class='kakoi2'>Spare %d!</span>
Copied_txt	In die Zwischenablage kopiert
err_txt	Datenlesefehler
err_v_txt	Diese Spielversion\nunterstützt die Übertagung\nvon Speicherdaten nicht.\nBitte aktualisiere das Spiel\ndurch Tippen auf „Aktualisieren“,\nbevor du fortfährst.
nyanko_url	https://ponosgames.com/dl/index_de.html
nyanko_update	Aktualisieren
catfoodbuy_txt	Kauf erfolgreich!
catfoodtapjoy_txt	Du erhältst %d<br>Katzenbatzen!
adreward_txt	%@ +%d<br>erhalten!
twitter_hash	#BattleCats
yes_txt	Ja
no_txt	Nein
Rank_txt0	Benutzerrang
Rank_txt1	Gesamtpunktzahl von Einheit und Gegenstand
Rank_txt2	bestimmen deinen Benutzerrang!
Rank_txt3	Das Erreichen eines bestimmten Benutzerrangs bringt
Rank_txt4	dir besondere Spielboni und Belohnungen ein!
downloading	Herunterladen ...
download_wrn_cellular	Keine WLAN-Verbindung gefunden.\n* Stattdessen werden mobile Daten genutzt.\nHinweis: Dabei können zusätzliche Kosten entstehen.
download_err	Download fehlgeschlagen.\nÜberprüfe deine Netzwerkverbindung.
download_retry	Wiederholen
warning_text1	„The Battle Cats“ ist gratis spielbar.
warning_text2	Es können Inhalte käuflich erworben werden.
url_err	Nicht kompatibel mit der aktuellen Version oder momentan nicht verfügbar.
sign_in	Anmelden
sign_out	Abmelden
model_conversion	Speicherdaten
notice	Push-Nachr.
push_on	AN
push_off	AUS
local_push	Push-Nachr.
local_notification	Du hast volle Katzenenergie!
local_notification_expedition	Gamatoto ist zurück!
google_1	Laden ...
google_2	Speichern ...
google_3	Erhalten ...
nyanko_storage	%d ins Katzenlager geschickt
settle_nyanko	Du hast davon %d.
boss_hp	Boss-HP:
clear_1	1.-Abschluss-Bonus!
clear_2	30 Katzenbatzen!
pause_1	Es findet gerade ein Kampf statt.
pause_2	Möchtest du den Kampf fortführen?
ok_txt	Okay
evolveWarningText0	Stufen
evolveWarningText1	XP
evolveWarningText2	Gegenstände
evolveWarningText3	Es fehlt: 
evolveWarningText4	/
gamatotoReward_1	Katzenbatzen entdeckt!
gamatotoReward_1_1	Wahrsagung erhalten!
gamatotoReward_2	Schaue zum Ausgraben Werbung an!
gamatotoReward_3	* Erhalte eine zufällige Zahl dieser Gegenst.
gama_collabo_00_popup	<flash> PowerPro-Baseball-Kollab.!</flash><br>Das Maskottchen von PowerPro „Gunder“<br>hilft dem Gamatoto-Trupp!<br>Während der Kollab., bringt Gamatoto mehr Belohnungen ein!<br>* Es gibt nicht mehr Katzenbatzen.
gama_collabo_00_name	Gunder
gama_collabo_00_charatext	Der Hundeheld von PowerPro ist für<br>kurze Zeit da! Erhöhte Gamatoto-Belohnungen!<br>* Es gibt nicht mehr Katzenbatzen.
gama_collabo_01_popup	<flash>Shoumetsu Toshi Collab!</flash><br>Takuya's loyal buddy "The Geek"<br>appears to help the Gamatoto crew!<br>During the collab, Gamatoto rewards increase!<br>※ Cat Food drops will not increase.
gama_collabo_01_name	The Geek
gama_collabo_01_charatext	A tech wizard, visiting from Shoumetsu Toshi<br>for a limited time! Increases Gamatoto rewards!<br>※ Cat Food drops will not increase.
gama_collabo_02_popup	<flash>Merc-Storia-Kollab.!</flash><br>Das hilfreiche Monster „Toto“<br>hilft dem Gamatoto-Trupp!<br>Mit seiner Hilfe gibt es mehr Gamatoto-Belohnungen!<br>* Außer Katzenbatzen.
gama_collabo_02_name	Toto
gama_collabo_02_charatext	Ein Minimonsterfreund aus Merc Storia ist<br>für kurze Zeit da! Erhöhte Gamatoto-Belohnungen!<br>* Es gibt nicht mehr Katzenbatzen.
beginnerPack1_Title	Startpaket für 4,99 USD gekauft!
beginnerPack2_Title	Startpaket für 11,99 USD gekauft!
beginnerPack3_Title	Startpaket für 29,99 USD gekauft!
rankupSale1_Title	Schnäppchen! 160 Katzenbatzen gekauft!
rankupSale2_Title	Schnäppchen! 150.000 XP gekauft!
rankupSale3_Title	Schnäppchen! Großes Gegenstandsset gekauft!
beginnerPack1	Katzenbatzen: %d →
beginnerPack2	XP: %d →
beginnerPack3	Schatzradar: %d →
beginnerPack4	Reiche Katze: %d →
beginnerPack5	Katzeneffizienz: %d →
beginnerPack6	Katzenschütze: %d →
beginnerPack1_result	%d
beginnerPack2_result	%d
beginnerPack3_result	%d
beginnerPack4_result	%d
beginnerPack5_result	%d
beginnerPack6_result	%d
rankupSale1	Katzenbatzen %d → 
rankupSale2	XP %d → 
rankupSale3	Beschleuniger %d → 
rankupSale4	Schatzradar %d → 
rankupSale5	Katzencomputer %d → 
rankupSale1_result	%d
rankupSale2_result	%d
rankupSale3_result	%d
rankupSale4_result	%d
rankupSale5_result	%d
tapjoy_video_error	Medienwiedergabe-Fehler. Überprüfe deine Netzwerkverbindung.
line_appli_url	https://itunes.apple.com/app/line/id443904275?mt=8
line_appli_url_android	https://play.google.com/store/apps/details?id=jp.naver.line.android
line_message	Ich erobere die Welt bei The Battle Cats! Spiele kostenlos!
serial_txt1	Seriennummer erfolgreich eingegeben!\nTippe auf den Briefkasten im Startbildschirm und bestätige deine Belohnung.
serial_txt2	* Du hast nach Abschluss des Japan-Levels darauf Zugriff.
serial_txt3	* Du musst bei Game Center angemeldet sein, um dein Geschenk zu erhalten.
serial_txt4	* Diese Seriennummer für ein neues Geschenk ist jetzt ungültig.\nBestätige die Infos im Eingabemenü.
warningtxt1	Diese App wurde in den Ursprungszustand\nzurückgesetzt. Keine Speicherdaten gefunden.
autoSave_txt1	Referenzcode\n%@\nDu brauchst diesen Code, um deine Daten wiederherzustellen.\nWird im Startbildschirm oder Optionen-Menü bestätigt.
autoSave_txt2	Referenzcode: 
autoSave_txt3	Notiere und speichere deinen Referenzcode!
autoSave_txt4	Ohne diese Information kann im Verlustfall dein Fortschritt nicht wiederhergestellt werden.
autoSave_txt5	Referenzcode
autoSave_txt6	Speichere diese Nummer, um Datenverlust zu vermeiden!
collaboration_txt1	Kollab.-Geschenke: %d!
collaboration_txt2	Du erhältst ein Kollab.-Geschenk!
nyancombo_txt1	Tippen, um Einheitennamen anzusehen
nyancombo_txt2	<color=255,212,0>[Normal]</color>
nyancombo_txt3	<color=255,212,0>[Besonders]</color>
nyancombo_txt4	<color=255,212,0>[Selten]</color>
nyancombo_txt5	<color=255,212,0>[Superselten]</color>
nyancombo_txt6	<color=255,212,0>[Megaselten]</color>
nyancombo_txt7	<color=255,212,0>[Legendär]</color>
nyancombo_txt8	???
nyancombo_txt9	 ？？？？？
nyancombo_txt10	Setze die richtigen Einheiten in den oberen Platz, um Spezialfertigkeiten freizuschalten.
nyancombo_txt11	Tippe doppelt auf verwendete Katzenkombos, um Einheiten automatisch auszuwählen.
nyancombo_pop0	Alle „%@“-Einheiten werden in der
nyancombo_pop1	Kampfformation eingesetzt.
nyancombo_pop2	Bestätigen?
pictureBook1	Katzenkombo: %@
pictureBook2	Aktiviere diese Kombo mit dem Tipp!
picBook_getCatFood	<flash>%@ freigeschaltet!</flash><br>Du erhältst 5 Katzenbatzen!
picBook_filteringMiss1	Keine Einheiten entsprechen dieser Filter-
picBook_filteringMiss2	einstellung! Probier es mit einer anderen!
picBook_Rarity0	Normal
picBook_Rarity1	Besonders
picBook_Rarity2	Selten
picBook_Rarity3	Superselten
picBook_Rarity4	Megaselten
picBook_Rarity5	Legendär
gamestop	Die aktuellen Speicherdaten verstoßen gegen die\nSoftware-Lizenzvereinbarung von The Battle Cats.\nDiese Speicherdaten können nicht weitergespielt werden.
gamestop_base	Konto wurde gesperrt.<br>Zurück zum Startbildschirm.
daily_login_date	Tag %d
filter_err1	Keine Einheiten entsprechen dieser Filter-
filter_err2	einstellung! Probier es mit einer anderen!
exstage_text1	Sonderlevel: „%@“ freigeschaltet!
exstage_text2	Herausforderung annehmen?
exstage_text3	Aktuelle Gegenstandseffekte (außer Beschleuniger) werden nicht in dieses Level übernommen.
unit_evol_0	f
unit_evol_1	c
unit_evol_2	s
unit_evol_3	u
img001.png	img001_de.png
img001.imgcut	img001_de.imgcut
img002.png	img002_de.png
img002.imgcut	img002_de.imgcut
img004.png	img004_de.png
img004.imgcut	img004_de.imgcut
img006.png	img006_de.png
img006.imgcut	img006_de.imgcut
img008.png	img008_de.png
img008.imgcut	img008_de.imgcut
img009.png	img009_de.png
img009.imgcut	img009_de.imgcut
img010.png	img010_de.png
img010.imgcut	img010_de.imgcut
img011.png	img011_de.png
img011.imgcut	img011_de.imgcut
img012.png	img012_de.png
img012.imgcut	img012_de.imgcut
img019.png	img019_de.png
img019.imgcut	img019_de.imgcut
img022.png	img022_de.png
img022.imgcut	img022_de.imgcut
img023.png	img023_de.png
img023.imgcut	img023_de.imgcut
img024.png	img024_de.png
img024.imgcut	img024_de.imgcut
img027.png	img027_de.png
img027.imgcut	img027_de.imgcut
img028.png	img028_de.png
img028.imgcut	img028_de.imgcut
img029.png	img029_de.png
img029.imgcut	img029_de.imgcut
img031.png	img031_de.png
img031.imgcut	img031_de.imgcut
img033.png	img033_de.png
img033.imgcut	img033_de.imgcut
img037.png	img037_de.png
img037.imgcut	img037_de.imgcut
img041.png	img041_de.png
img041.imgcut	img041_de.imgcut
img100.png	img100_de.png
img100.imgcut	img100_de.imgcut
item000.png	item000_de.png
ec047.png	ec047_de.png
ec047.imgcut	ec047_de.imgcut
ec048.png	ec048_de.png
ec048.imgcut	ec048_de.imgcut
nyancombo_autoset1	„%@“-Einheiten werden in<br>Kampfformation eingesetzt.<br>Okay?
nyancombo_autoset2	„%@“-Einheiten werden in<br>Kampfformation eingesetzt.<br><color=255,0,0>Die Katzen der aktuellen Formation werden ersetzt.<br>Okay?</color>
nyancombo_autoset3	Einige Katzen müssen entwickelt werden, bevor<br>„%@“ in die Formation aufgenommen werden kann.<br>*Überprüfe die Entwicklungen deiner Katzen!
challenge_popup	Willkommen beim Herausforderungskampf!<br>Erziele mehr Punkte, indem du schnellstmöglich alle Feinde besiegst!<br>Wiederhole den Kampf, um die höchsten Ränge zu erreichen!<br>* Keine Gegenstände in diesen Leveln verfügbar.
everyplay_mapname_M	Sonderlevel
everyplay_mapname_R	Ranglisten-Level
stage_restriction_dot	・
stage_restriction_cost_over	Nur %d ￠ oder mehr
stage_restriction_cost_under	Nur %d ￠ oder weniger
stage_restriction_cost_just	Nur %d ￠
stage_restriction_limit_1	Seltenheit: Nur <color=255,255,0>%@</color>
stage_restriction_limit_2	Max. Anzahl einsetzbarer Katzen: <color=255,255,0>%d</color>
stage_restriction_limit_3	Nur aus <color=255,255,0>%d.</color> Reihe einsetzen
stage_restriction_limit_4	Katzen-Einsatzkosten: <color=255,255,0>%@</color>
stage_restriction_limit_5	Einheitenrestriktionen: <color=255,255,0>%@</color>
stage_restriction_text_0	Kampfrestriktionen
stage_restriction_text_1	Diese Aufstellung erfüllt die Anforderungen nicht!
stage_restriction_warning	Diese Einheit kann nicht eingesetzt werden!
stage_restriction_level_select	<color=255,255,0>Kampfrestriktionen</color>
stage_restriction_charagroup_1	
stage_restriction_charagroup_2	Keine kleine Homura/Homura Akemi
stage_restriction_charagroup_3	Keine Bebe/Nagisa & Katze
initializing_adgeneration	Funktionen laden.\nBitte warten.
VAMPErrorCodeNotSupportedOsVersion	The Battle Cats unterstützt diese OS-Version nicht.
VAMPErrorCodeUnknown	Unbekannter Fehler
VAMPErrorCodeServerError	Verbindungsfehler
VAMPErrorCodeNoAdnetwork	Verbindung abgelaufen
VAMPErrorCodeNeedConnection	Keine Netzwerkverbindung
VAMPErrorCodeMediationTimeout	Verbindung abgelaufen
VAMPErrorCodeUserCancel	Abgebrochen
VAMPErrorCodeNoAdStock	Werbung nicht verfügbar
VAMPErrorCodeAdnetworkError	Verbindung abgelaufen
VAMPIncentiveError	Lesefehler: Kann nicht<br>abgeholt werden.
everyplay_community_url	https://everyplay.com/the-battle-cats/home
GiftMessage_000	<flash>☆★☆ Bonusgegenstand ☆★☆</flash><br>Schließe „Katzenimperium Kap. 2“ ab<br>und erhalte die Walkürenkatze!
GiftMessage_001	<flash>☆★☆ Bonusgegenstand ☆★☆</flash><br>Schließe „Katzenimperium Kap. 3“ ab<br>und erhalte die Bahamut-Katze!
GiftMessage_002	<flash>☆★☆ Bonusgegenstand ☆★☆</flash><br>Schließe „Zukunftsreise Kap. 2“ ab<br>und schalte die wahre Form der Walkürenkatze frei!
GiftMessage_003	<flash>☆★☆ Bonusgegenstand ☆★☆</flash><br>Schließe das Griechenland-Level ab, um die<br>Spezialeinheit „Bohnenkatzen“ freizuschalten.
GiftMessage_004	<flash>☆★☆ Bonusgegenstand ☆★☆</flash><br>Schließe „Katzenimperium Kap. 1“ ab,<br>um die Spezialeinheit „Moneko“ freizuschalten.
GiftMessage_005	<flash>Levelabschlussbelohnung 1</flash><br>Schließe „Der Große Kettensprenger“ ab<br>und erhalte vielleicht die Spezialeinheit<br>„Ururun-Wolf“!
GiftMessage_006	<flash>Levelabschlussbelohnung 2</flash><br>Schließe „Sankt Rotfuchs“ ab<br>und erhalte vielleicht die Spezialeinheit<br>„Kleiner Nyandam“!
GiftMessage_007	<flash>☆★☆ Bonusgegenstand ☆★☆</flash><br>Schließe „Zukunftsreise Kap. 3“ ab<br>und schalte die wahre Form der Bahamut-Katze frei!
GiftMessage_008	<flash>Levelabschlussbelohnung 3</flash><br>Schließe „Das Lieben gelernt“ ab<br>und erhalte vielleicht die Spezialeinheit<br>„Rotkäppchen-Mina“!
GiftMessage_009	<flash>Levelabschlussbelohnung 4</flash><br>Schließe „Multiversal Studios“ ab<br>und erhalte vielleicht die Spezialeinheit<br>„Miyamoku Musashi“!
GiftMessage_010	<flash>☆★☆ Levelabschlussbelohnung 1 ☆★☆</flash><br>Schließe „Kosmische Katzen Kap. 1“ ab<br>und erhalte eine mysteriöse Belohnung ...
GiftMessage_011	<flash>☆★☆ Bonusgegenstand ☆★☆</flash><br>Schließe „Zukunftsreise Kap. 1“ab<br>und schalte neue Katzenkombos für den Kampf frei!
GiftMessage_012	<flash>Levelabschlussbonus!</flash><br>Schließe das letzte Level von „Eine neue Legende“ ab<br>und schalte die wahre Form von Mecha-Bun frei!
GiftMessage_013	<flash>Levelabschlussbonus!</flash><br>Schließe das letzte Level von „Die Passion des Katzengottes“ ab<br>und schalte eine mysteriöse Belohnung frei!
GiftMessage_014	<flash>☆★☆ Levelabschlussbonus ☆★☆</flash><br>Schließe das letzte Level von<br>„Kosmische Katzen Kap. 3“ ab und verdiene<br>eine tolle Belohnung!
GiftMessage_015	<flash>☆★☆ Levelabschlussbonus ☆★☆</flash><br>Besiege das allmächtige Wesen von<br>Kapitel 3 und verdiene<br>eine tolle Belohnung!
GiftMessage_016	<flash>Levelabschlussbelohnung 6</flash><br>Schließe „Primitive Seelen“ ab<br>und erhalte vielleicht die Spezialeinheit<br>„Dogumaru“!
GiftMessage_017	<flash>Levelabschlussbonus 7</flash><br>Schließe das letzte Level von „Die Gelatinemine“ ab,<br>um vielleicht die Sonderkatze<br>„Urs & Fenrir“ freizuschalten!
GiftMessage_018	<flash>Im Labor der Relikte (Stufe 4) erscheint eine seltsame Lebensform!</flash>
LvUpLimit_txt	Diese Einheit hat die Maximalstufe erreicht.
LvUpLimitMax_txt	Maximalstufe für die aktuelle Version erreicht.
option_qrcode_title	Mein QR-Code
option_qrcode_txt1	Dieser QR-Code kann für Spezialevents verwendet werden.
option_qrcode_txt2	Nutze den Code nicht außerhalb der angegebenen Eventzeiten.
option_qrcode_txt3	Sorge dafür, dass dein Bildschirm hell genug ist, damit er gut gelesen werden kann.
matatabi_growup_1	${itemName} x${Num} wird verbraucht,<br>um eine Katzenfrucht herzustellen.<br>*Geringe Chance auf eine epische Katzenfrucht!
matatabi_growup_2	${itemName} x${Num} wird verbraucht,<br>um eine Katzenfrucht herzustellen.
drop_popup_item	${rewardName}<br><color=255,255,0>Gegenstand</color> ${itemName} +${itemNum}<br>${itemPossession}
drop_popup_xp	${rewardName}:<br>${itemName} +${itemNum}
drop_reward	Beutebelohnung <flash>verdient!</flash>
score_reward	Punktebelohnung <flash>verdient!</flash>
drop_popup_chara_first	%@<br>%@ „%@“ erhalten!<br><flash>Im Verbesserungenmenü aktivieren!</flash>
drop_popup_treasure	<color=255,255,0>Schatz: </color>%@ %@<br><flash>erhalten!</flash>
drop_popup_chara_third_evolve	%@<br>%@: wahre Form von<br>„%@“ erhalten!<br><flash>Bei Erreichen von Stufe 20 freischalten!</flash>
drop_popup_chara_levelup1	%@<br>%@ %@ erhalten!<br><flash>Verbessert </flash><br>Stufe %d → Stufe %d +%d
drop_popup_chara_levelup2	%@<br>%@ %@ erhalten!<br><flash>Verbessert </flash><br>Stufe %d +%d → Stufe %d +%d
drop_popup_chara_levelmax1	%@<br>%@ %@ erhalten!<br><flash>Neue Maximalstufe!</flash><br>Stufe %d → Stufe %d +%d
drop_popup_chara_levelmax2	%@<br>%@ %@ erhalten!<br><flash>Neue Maximalstufe!</flash><br>Stufe %d +%d → Stufe %d +%d
drop_popup_chara_limit	%@<br>%@ %@ erhalten!<br>Kann derzeit nicht mit weiteren<br>MAX+-Stufen verbessert werden.
drop_rarity_1	Sonderkatze
drop_rarity_2	Seltene Katze
drop_rarity_3	Superseltene Katze
drop_rarity_4	Megaseltene Katze
drop_rarity_5	Legendär seltene Einheit
nekovitan_Tutorial00	Gehe mit deinen übrigen Katzaminen Blitzlevel an!<br>Kaufe Katzamine mit Katzenbatzen im Gegenstände-Shop!
nekovitan_battle00	Kampf aufgeben?<br>Du erhältst deine Katzamine zurück (10 Sek. oder kürzerer Kampf).
rareGatya_omakeTicket	Ziehe seltene Kapseln und erhalte einmalig<br><flash> %@</flash> geschenkt!
nekovitan_shop0	Nicht genug Katzamine!<br>Zum Gegenstände-Shop?
nekovitan_shop1	Zum Gegenstände-Shop,<br>um Katzamine zu kaufen?
kill_application	App beenden?
receive_item_none_BoxText	*Im Briefkasten warten keine Gegenstände.
nyanko_club_gift_txt_clubitemID0	<flash>Goldpass des Offiziersklubs!<br>Deine Belohnung: 1 seltenes Ticket!</flash><br>
nyanko_club_gift_txt_clubitemID1	<flash>Goldpass des Offiziersklubs!<br>30 Tage unbegrenzte Beschleuniger!</flash><br>
nyanko_club_expiration_date_txt1	Dein Goldpass gilt nur noch<br>%d Tage!<br>Erneuere deinen Goldpass im Offiziersklub!
nyanko_club_expiration_date_txt2	Dein Goldpass<br>läuft bald ab!<br>Erneuere deinen Goldpass im Offiziersklub!
nyanko_club_error_time_manipulation_txt1	Problem mit Gerätezeit aufgetreten. *Es kann bis zu 48 Std. dauern, bis das Problem nach der Zeitänderung gelöst ist.
nyanko_club_error_already_gold_txt1	Du besitzt schon einen aktiven Goldpass!
nyanko_club_error_gold_400_txt1	-Ein Fehler ist aufgetreten-
nyanko_club_error_gold_500_txt1	Ein Fehler ist aufgetreten.
nyanko_club_error_out_of_term_txt1	Dieser Gegenstand kann gerade nicht gekauft werden.
nyanko_club_error_gold_none_user_data_txt1	Ein Fehler ist aufgetreten ...
nyanko_club_error_normal_none_user_ID_txt1	--Ein Fehler ist aufgetreten--
nyanko_club_error_normal_400_txt1	*Ein Fehler ist aufgetreten*
nyanko_club_error_normal_500_txt1	Ein Fehler ist aufgetreten.
nyanko_club_error_other_txt1	Verbindungsfehler
nyanko_club_char_change_txt1	Tippen, um Symbol zu ändern
potential_exchange_np	Wird gegen NP eingetauscht.<br>Bist du sicher? (%d→<color=255,255,0>%d</color>)
potential_exchange_np_set	%d wird gegen NP eingetauscht.<br>Bist du sicher?<br>(%d→<color=255,255,0>%d</color>)
potential_exchange_all_item	Alles wird eingetauscht.<br>Willst du NP oder XP?
potential_exchange_all_item_np	Alle Einheiten im Lager werden gegen NP<br>eingetauscht.<br>Bist du sicher? (%d→<color=255,255,0>%d</color>)
potential_exchange_gatya_result	Gegen NP oder XP eintauschen?
potential_skill_acquisition	Ein Talent mit<br>NP freischalten?
potential_skill_levelup	Ein Talent mit<br>NP verbessern?
potential_skill_warning00	Nicht genug NP.
potential_skill_lvmax	Max. Verbesserungsstufe erreicht!<br>Du hast die in dieser Version<br>höchste Stufe erreicht.
potential_exchange_error	Keine weiteren Einheiten/Gegenstände<br>gegen NP eintauschbar.
potential_skill_get	Alle Verbesserungen für dieses Talent freigeschaltet.
potential_acquisition_result	<flash>Du hast „%@“ freigeschaltet!<flash>
potential_levelup_result	<flash>%@ auf Stufe %d verbessert!<flash>
potential_skill_name01	Schwächen
potential_skill_name02	Einfrieren
potential_skill_name03	Lähmung
potential_skill_name04	Angriff nur gegen
potential_skill_name05	Stark gegen
potential_skill_name06	Resistent
potential_skill_name07	Heftiger Schaden
potential_skill_name08	Rückstoß
potential_skill_name09	Teleport
potential_skill_name10	Willensstärke
potential_skill_name11	Überlebenswille
potential_skill_name12	Basiszerstörer
potential_skill_name13	Haudrauf
potential_skill_name14	Zombietöter
potential_skill_name15	Abwehrbrecher
potential_skill_name16	Bonuszahlung
potential_skill_name17	Wellenangriff
potential_skill_name18	Schwächen-Resistenz
potential_skill_name19	Einfrieren-Resistenz
potential_skill_name20	Lähmung-Resistenz
potential_skill_name21	Rückstoß-Resistenz
potential_skill_name22	Wellen-Resistenz
potential_skill_name23	Wellenschild
potential_skill_name24	Teleport-Resistenz
potential_skill_name25	Kosten –
potential_skill_name26	Erholungsbeschleuniger
potential_skill_name27	Bewegungsbeschleuniger
potential_skill_name28	Besserer Rückstoß
potential_skill_name29	Immun gg. Flüche
potential_skill_name30	Fluch-Resistenz
potential_skill_name31	Angriffsstärkung
potential_skill_name32	Verteidigungsstärkung
potential_skill_name33	Ziel: Rot
potential_skill_name34	Ziel: Fliegend
potential_skill_name35	Ziel: Schwarz
potential_skill_name36	Ziel: Eisern
potential_skill_name37	Ziel: Engel
potential_skill_name38	Ziel: Alien
potential_skill_name39	Ziel: Zombie
potential_skill_name40	Ziel: Relikt
potential_skill_name41	Ziel: Wertelos
potential_skill_name44	Immun gg. Schwächen
potential_skill_name45	Immun gg. Einfrieren
potential_skill_name46	Immun gg. Verlangs.
potential_skill_name47	Immun gg. Rückstoß
potential_skill_name48	Immun gg. Wellen
potential_skill_name49	Teleport-Resistenz
potential_skill_name50	Wilder Schlag
potential_skill_name51	Angriff ausweichen
potential_skill_name52	Gift-Resistenz
potential_skill_name53	Immun gegen Gifte
potential_skill_name54	Zufalls-Resistenz
potential_skill_name55	Immun gegen Zufallsangriffe
potential_skill_name56	Zufallsangriff
return_stageselect_error00	Dieses Event ist vorbei.<br>Rückkehr zur Katzenbasis ...
return_stageselect_error01	Dieses Event kann nicht mehr gespielt werden.<br>Rückkehr zur Katzenbasis ...
return_stageselect_error02	Dich erwartet eine Belohnung!<br>Rückkehr zur Katzenbasis!
h13_inquiry_button	Bericht senden
h13_inquiry_error	Netzwerkverbindung nicht möglich.\nVerbindung prüfen und\nerneut versuchen.
filter_option_description0	<color=0,0,0>Wähle deine Favoriten im Katzenkompendium aus,<br>um schnell nur diese Katzen zu sehen!<br>Du musst min. 1 Favoriten auswählen, um diesen Filter zu nutzen.</color>
filter_option_description1	<color=0,0,0>Nur Katzen anzeigen, die die Levelbeschränkungen erfüllen.</color>
sort_tutorial_txt1	<flash>Die Filter- und Sortierungsoptionen sind freigeschaltet!</flash><br>Du kannst mit der rechten<br>Schaltfläche filtern und mit<br>der linken sortieren.
item_pack_purchased_chara	%@ Einheit<color=255,255,0>「%@」</color><br>
enemy_list_title	Feinde erscheinen
enemy_name_question	???
calendar_title	Das markierte Event hat begonnen!
calendar_error	Ein Serververbindungs- oder Gerätezeit-Fehler ist<br>aufgetreten. Überprüfe deine<br>Netzwerkverbindung und Uhrzeiteinstellungen.
calendar_99h	Über 99 Std.
