%s|Un adorable shiba, ennemi des Battle Cats.|Essaie d’entrer à l’université cette année.|Très attentionné, il envoie tous les ans|des cartes d’anniversaire aux Chats.|
%s|Se peint le corps à l’aquarelle.|Par conséquent, il est sensible à l’eau...|Cette information n’a rien à voir|avec le contenu du jeu.|
%s|Des petits bonhommes qui aiment la bagarre.|Ils se sont rencontrés sur Internet.|Étonnamment,|ils sont tous pleins aux as.|
%s|Ce dangereux hippo a foi en|sa résistance et en sa puissance.|Il (elle ?) possède une compétence d’attaque multiple.|On ignore si c’est un mâle ou une femelle.|
%s (Rouge)|Adore aller faire des UV,|ce qui explique son teint.|Elle est née dans une ferme biologique en plein air.|Le savais-tu ? Les porcs aiment la propreté !|
%s|Adore les films de kung-fu|et aimerait percer à Hollywood.|A appris le kung-fu en autodidacte.||
%s|Sa mine patibulaire lui a valu|d’être renvoyé du zoo.|N’ayant ni diplômes ni travail,|il s’est tourné vers l’alcool et les jeux d’argent.|
%s|Un nom bébête. Un style bébête...|A un complexe d’infériorité dont il essaie|de se débarrasser en suivant|des cours de théâtre.|
%s (Rouge)|A quitté la tranquillité du littoral|pour l’effervescence de la ville.|Pour attirer l’attention, il s’est|peint en rouge.|
%s|A une portée ridiculement élevée.|Il aime les femmes aux formes (très) voluptueuses.|Il collectionne les magazines...|d’un certain genre.|
%s|A toujours rêvé d’être un boxeur.|Il n’y est jamais parvenu étant donné qu’il est...|un kangourou, tout simplement.|C’est la vie !|
%s (Rouge)|Il aime aider les autres.|Il travaille à mi-temps dans une caserne de pompiers.|Mais comme il est lent,|il n’arrive jamais sur les lieux d’un incendie à temps.|
%s|Un enseignant de maternelle. Il ADORE les enfants.|Ses griffes ne font pas bon ménage avec sa profession.|N’est pas de la famille de l’autre ours.|Personne ne connaît son vrai nom.|
%s|Sauvé par Dundee !|Amateur de cours par correspondance.|Il a obtenu plusieurs qualifications, notamment|une certification en Traitement de texte niveau 2.|
%s (Rouge)|A quitté une grande entreprise.|Maintenant, il en gère pas moins de 4 !|Aspire à devenir maire, un de ces jours.||
%s|Parle un dialecte francophone ancien (?).|Ça ressemble au français, mais ce qu’il raconte|est quasi incompréhensible.|Il travaille à l’école française près de la gare.|
%s (Noir)|Permis de tuer.|La crise économique mondiale ne joue pas en sa faveur,|cela dit. Cf sa carte de visite.|Il demande un million par tête, maintenant !|
%s (Rouge/Flottant)|Timide maladif.|Chante à ses heures perdues, mais toujours|en cachette.|Ça compte, le miroir ? Adepte du karaoké en solitaire.|
%s (Flottant)|À force de faire des régimes, son corps a disparu.|Personne ne sait pourquoi il flotte.|Personne, vraiment ?|(N’essaie pas ça chez toi !)|
|||||
|||||
%s (Aku)|Après 560 000 ans, est rentré dans notre monde sous|la forme d’un tyran infernal pour prendre une photo |pour un blind date. Prévoit totalement de faire impression|avec sa taille, ses excellentes notes et sa forte glycémie.|
【%s】|Horrible enchanteresse résidant dans les plus profonds|confins d’un labyrinthe. Piège ses victimes dans des|boucles d’histoires sans fin affreusement monotones|portant sur son grand frère dans les Royaumes Akus.|
【%s】|||||
【%s】|||||
【%s】|||||
【%s】|||||
【%s】|||||
%s (Ange)|Loutre gardienne des portes du paradis.|Envoie tous ceux indignes de déambuler au paradis|aux enfers grâce à son orbe d’or. Invoque des|monstres avec le pouvoir des répliques offensives.|
%s (Relique/Béhémoth)|Ancêtre de toutes les espèces envahisseuses. Il|devait exterminer tous les nuisibles, mais son|appétit incontrôlable l’a rendu difficile à dresser et|est devenu un danger pour le monde qui l’entoure.|
【%s】|||||
